,V1
V1_L,0.982823345534112
MST_L,0.493057968074503
V6_L,0.977727487946885
V2_L,0.942356428877426
V3_L,0.804831918293558
V4_L,0.769517576166104
V8_L,0.603030286123224
_4_L,0.996548162556181
_3b_L,0.233458669184302
FEF_L,0.997482922887926
PEF_L,0.995754743557085
_55b_L,0.994734245097277
V3A_L,0.522572015852469
RSC_L,0.623002390225066
POS2_L,0.942881696829326
V7_L,0.857290553565172
IPS1_L,0.885717053693748
FFC_L,0.438931090878471
V3B_L,0.95375568233404
LO1_L,0.757740774378391
LO2_L,0.182061958147181
PIT_L,0.883582335618564
MT_L,0.788026157106432
A1_L,0.880819138439831
PSL_L,0.640814731968298
SFL_L,0.867648758014525
PCV_L,0.0315159028905295
STV_L,0.969203581717648
_7Pm_L,0.190162089868043
_7m_L,0.0486765265947978
POS1_L,0.683330980269145
_23d_L,0.591618522825682
v23ab_L,0.388066843849803
d23ab_L,0.738494696607056
_31pv_L,0.741663982454081
_5m_L,0.991966146002155
_5mv_L,0.580922723486359
_23c_L,0.508875086030607
_5L_L,0.497020282992342
_24dd_L,0.477760115792206
_24dv_L,0.143480628543346
_7AL_L,0.999160274582378
SCEF_L,0.650935828696632
_6ma_L,0.988773620855358
_7Am_L,0.999949878158249
_7Pl_L,0.836741870801798
_7PC_L,0.999370475958975
LIPv_L,0.2713586595655
VIP_L,0.971004726063197
MIP_L,0.993724378277106
_1_L,0.996630536478953
_2_L,0.998411862547867
_3a_L,0.9366401857887
_6d_L,0.833924054786977
_6mp_L,0.0958980432046074
_6v_L,0.863801921898653
p24pr_L,0.457390053902509
_33pr_L,0.986963493622096
a24pr_L,0.931332959946868
p32pr_L,0.710422579072947
a24_L,0.384832776067993
d32_L,3.29789631117679e-05
_8BM_L,0.103684245221998
p32_L,0.0373284076025677
_10r_L,0.684661956148201
_47m_L,0.575195315413946
_8Av_L,0.102704897141046
_8Ad_L,0.539565896740478
_9m_L,0.175924917496682
_8BL_L,0.324747898501702
_9p_L,0.986516099470252
_10d_L,0.18323951107185
_8C_L,0.917450792273146
_44_L,0.969915217136325
_45_L,0.0840004813844176
_47l_L,0.671934163572597
a47r_L,0.917968132445347
_6r_L,0.570813486220298
IFJa_L,0.72224134715519
IFJp_L,0.979278798494563
IFSp_L,0.867791422028617
IFSa_L,0.625999558269182
p9Y46v_L,0.371971734829126
_46_L,0.859043064588661
a9Y46v_L,0.433224689218402
_9Y46d_L,0.30982189216528
_9a_L,0.474810437150008
_10v_L,0.673457079030822
a10p_L,0.0798845170924016
_10pp_L,0.0119785908691612
_11l_L,0.91223227738668
_13l_L,0.834353019500697
OFC_L,0.936877644492224
_47s_L,0.975207300478908
LIPd_L,0.957909968487007
_6a_L,0.992352996224172
i6Y8_L,0.427955230262065
s6Y8_L,0.881045562425785
_43_L,0.923815287765381
OP4_L,0.0720401426902296
OP1_L,0.0015836969610585
OP2Y3_L,0.587978160588732
_52_L,0.149412501168559
RI_L,0.957266995237961
PFcm_L,0.866209898443035
PoI2_L,0.922871498911836
TA2_L,0.0175664963245207
FOP4_L,0.199438861398165
MI_L,0.945012087899075
Pir_L,0.0131286116654484
AVI_L,0.975372788418533
AAIC_L,0.929524162628871
FOP1_L,0.639266970821756
FOP3_L,0.676197038980659
FOP2_L,0.863226862716338
PFt_L,0.996692962969027
AIP_L,0.912989520038704
EC_L,0.271858353588489
PreS_L,0.424577513850752
H_L,0.85888975492206
ProS_L,0.789498563395784
PeEc_L,0.871990332815858
STGa_L,0.825042145987055
PBelt_L,0.617183951152894
A5_L,0.532311724068222
PHA1_L,0.475814170558479
PHA3_L,0.285755509182467
STSda_L,0.898487334350695
STSdp_L,0.086888056632225
STSvp_L,0.977781925532605
TGd_L,0.224795676476645
TE1a_L,0.997376863625179
TE1p_L,0.315703051584286
TE2a_L,0.887095307573044
TF_L,0.180561583914187
TE2p_L,0.18341606014028
PHT_L,0.891846738133975
PH_L,0.74639295844288
TPOJ1_L,0.875645528260602
TPOJ2_L,0.0905476671056372
TPOJ3_L,0.866809663994556
DVT_L,0.962979347166066
PGp_L,0.724648138718338
IP2_L,0.998895667749176
IP1_L,0.428850910716836
IP0_L,0.980931987600423
PFop_L,0.777747673315304
PF_L,0.450812232353884
PFm_L,0.992337071222939
PGi_L,0.958122918703661
PGs_L,0.976467991533748
V6A_L,0.0194346276448088
VMV1_L,0.689675054011253
VMV3_L,0.168780580453815
PHA2_L,0.51917604820893
V4t_L,0.704128346096909
FST_L,0.927301210614797
V3CD_L,0.40989593101148
LO3_L,0.998106733711374
VMV2_L,0.493911708503674
_31pd_L,0.728492384235115
_31a_L,0.620539921348943
VVC_L,0.208262696750331
_25_L,0.769765694248982
s32_L,0.0495807711687305
pOFC_L,0.0117357598752334
PoI1_L,0.969246304225197
Ig_L,0.831639209250146
FOP5_L,0.245836660837154
p10p_L,0.22413954590617
p47r_L,0.535605757367521
TGv_L,0.0529310669761083
MBelt_L,0.767896094925495
LBelt_L,0.189209805733633
A4_L,0.571505102621194
STSva_L,0.0027411061891485
TE1m_L,0.744494975594165
PI_L,0.174262720113739
a32pr_L,0.993523572833574
p24_L,0.0223543875746722
V1_R,0.861567263336095
MST_R,0.527876336607529
V6_R,0.926706561935147
V2_R,0.809692055886085
V3_R,0.856415359331713
V4_R,0.712763777966817
V8_R,0.219643900396784
_4_R,0.44849076497899
_3b_R,0.967477484471146
FEF_R,0.353694262378551
PEF_R,0.358681958906659
_55b_R,0.0544321681924062
V3A_R,0.13839094042675
RSC_R,0.767178590289585
POS2_R,0.901392570302021
V7_R,0.0293914609221655
IPS1_R,0.0008128197181734
FFC_R,0.819460358308112
V3B_R,0.159270515718092
LO1_R,0.140177091183545
LO2_R,0.431970731294822
PIT_R,0.906505114256368
MT_R,0.0039252318405495
A1_R,0.542339937813257
PSL_R,0.629936156655876
SFL_R,0.905705953280416
PCV_R,0.943450224933292
STV_R,0.991825650261946
_7Pm_R,0.128374014400828
_7m_R,0.0749327665207307
POS1_R,0.823246583458746
_23d_R,0.120133719612548
v23ab_R,0.570909916968166
d23ab_R,0.876342618961956
_31pv_R,0.756318088702612
_5m_R,0.547179723271377
_5mv_R,0.5623731440669
_23c_R,0.745347109527557
_5L_R,0.93653338091364
_24dd_R,0.826460948975674
_24dv_R,0.87263448967872
_7AL_R,0.941397002928478
SCEF_R,0.691963683369924
_6ma_R,0.5553951778326
_7Am_R,0.627160473219328
_7Pl_R,0.974658430461168
_7PC_R,0.390402071998747
LIPv_R,0.834158726885663
VIP_R,0.0449176910394747
MIP_R,0.995924743319708
_1_R,0.455058742581979
_2_R,0.372140385293415
_3a_R,0.970116287027985
_6d_R,0.512294051273708
_6mp_R,0.519121585013748
_6v_R,0.389048715650787
