,V1
V1_L,0.971819632057304
MST_L,0.0163887619535495
V6_L,0.970695237757683
V2_L,0.940704567151248
V3_L,0.7653676614053
V4_L,0.743614731406553
V8_L,0.596741138678558
_4_L,0.996786507321378
_3b_L,0.263466431557879
FEF_L,0.994466536231425
PEF_L,0.995874582782543
_55b_L,0.996205828187937
V3A_L,0.0005127165616013
RSC_L,0.55588673234207
POS2_L,0.943490616657036
V7_L,0.76021863151797
IPS1_L,0.900885632571358
FFC_L,0.263667318567337
V3B_L,0.95383242289804
LO1_L,0.756558891633447
LO2_L,0.405715041489326
PIT_L,0.740886209229308
MT_L,0.829984289318621
A1_L,0.842863523654183
PSL_L,0.480168519054042
SFL_L,0.878435297167126
PCV_L,0.0277748080583968
STV_L,0.981070914670256
_7Pm_L,0.224312444199185
_7m_L,0.142088881449845
POS1_L,0.689318126652929
_23d_L,0.6068709775957
v23ab_L,0.394042653544781
d23ab_L,0.729399803600012
_31pv_L,0.731626936625373
_5m_L,0.991383063440297
_5mv_L,0.545363362817341
_23c_L,0.61857546282785
_5L_L,0.406312551346642
_24dd_L,0.755927942115427
_24dv_L,0.131582085353335
_7AL_L,0.999269510971966
SCEF_L,0.711398460198553
_6ma_L,0.750490320639525
_7Am_L,0.998005943273926
_7Pl_L,0.820155025837074
_7PC_L,0.999774806694769
LIPv_L,0.162102259497478
VIP_L,0.979532948758882
MIP_L,0.999111211114816
_1_L,0.996216789464605
_2_L,0.998583658490546
_3a_L,0.889745858120312
_6d_L,0.833036279714922
_6mp_L,0.392439547361619
_6v_L,0.926073098228412
p24pr_L,0.419893315139271
_33pr_L,0.987167629462357
a24pr_L,0.925309961905958
p32pr_L,0.634169233416922
a24_L,0.455894088891753
d32_L,0.0042508897905632
_8BM_L,0.135090104974708
p32_L,0.050094747474249
_10r_L,0.658355560590767
_47m_L,0.0465757021877326
_8Av_L,0.230516534486367
_8Ad_L,0.544546182308581
_9m_L,0.134395188244404
_8BL_L,0.254501504036369
_9p_L,0.987688935663282
_10d_L,0.191251957625912
_8C_L,0.896294658322575
_44_L,0.668770076205143
_45_L,0.0375947565194146
_47l_L,0.58459611137934
a47r_L,0.919670812205999
_6r_L,0.571930157959193
IFJa_L,0.623624834243675
IFJp_L,0.978650259508973
IFSp_L,0.87819959984042
IFSa_L,0.644315640715022
p9Y46v_L,0.715713895423742
_46_L,0.864686005947181
a9Y46v_L,0.59960420522998
_9Y46d_L,0.272275046810184
_9a_L,0.601208823739172
_10v_L,0.532029883109362
a10p_L,0.0966747031786249
_10pp_L,0.499426397114709
