,V1
V1_L,0.321831339011099
MST_L,0.647746454488396
V6_L,0.609251860505283
V2_L,0.0359202632119134
V3_L,0.827599989268116
V4_L,0.350575405765259
V8_L,0.144146029946695
_4_L,0.935873483130941
_3b_L,0.97334206404836
FEF_L,0.769623559789668
PEF_L,0.923867791260186
_55b_L,0.832312434556188
V3A_L,0.273553872103587
RSC_L,0.0958584505914809
POS2_L,0.810290687285815
V7_L,0.943201984497362
IPS1_L,0.944266304351894
FFC_L,0.336890436069471
V3B_L,0.908043780102139
LO1_L,0.815381261320951
LO2_L,0.306935818105328
PIT_L,0.994609430378487
MT_L,0.387876400652312
A1_L,0.964973618175179
PSL_L,0.755033009602417
SFL_L,0.808505050145889
PCV_L,0.987827659769874
STV_L,0.0018477262614813
_7Pm_L,0.206039633602531
_7m_L,0.38480675502943
POS1_L,0.196650186870936
_23d_L,0.930436991604916
v23ab_L,0.819579511725681
d23ab_L,0.191074882026224
_31pv_L,0.100928456426861
_5m_L,0.0831243121656224
_5mv_L,0.0772794490431332
_23c_L,0.0159853631397745
_5L_L,0.559430642422535
_24dd_L,0.102720347436872
_24dv_L,0.809837319687807
_7AL_L,0.89760373898814
SCEF_L,0.364963187833429
_6ma_L,0.902269856528886
_7Am_L,0.713245520418795
_7Pl_L,0.52532681817023
_7PC_L,0.891107670154108
LIPv_L,0.737173750014699
VIP_L,0.828067314811421
MIP_L,0.500138914607561
_1_L,0.82485117769003
_2_L,0.899786624543109
_3a_L,0.0339597797768853
_6d_L,0.32841845231881
_6mp_L,0.918173596549759
_6v_L,0.907487172169909
p24pr_L,0.243912690871924
_33pr_L,0.997586642799955
a24pr_L,0.994941096872335
p32pr_L,0.713055285168517
a24_L,0.316050250861522
d32_L,0.104111819529238
_8BM_L,0.498573555946689
p32_L,0.709492441248429
_10r_L,0.0457742046595318
_47m_L,0.0009496436563998
_8Av_L,0.969487023910563
_8Ad_L,0.957537279411976
_9m_L,0.510970419048492
_8BL_L,0.949581353590073
_9p_L,0.830364697733704
_10d_L,0.0085015134291229
_8C_L,0.953486250290367
_44_L,0.874531725507096
_45_L,0.742680955071926
_47l_L,0.0079629218334297
a47r_L,0.753957581078957
_6r_L,0.940178725284406
IFJa_L,0.969527672842045
IFJp_L,0.797478587005835
IFSp_L,0.0015056583770626
IFSa_L,0.756758643880666
p9Y46v_L,0.812372644399012
_46_L,0.812452859103638
a9Y46v_L,0.902026610417876
_9Y46d_L,0.82193111951264
_9a_L,0.983888288119598
_10v_L,0.219085126381406
a10p_L,0.790487878426202
_10pp_L,0.7744569018287
_11l_L,0.802854872449774
_13l_L,0.817713229390559
OFC_L,0.81927722269929
_47s_L,0.0100990094354951
LIPd_L,0.854379002542586
_6a_L,0.860558810223446
i6Y8_L,0.889111606595616
s6Y8_L,0.840776806418774
_43_L,0.813997207674292
OP4_L,0.740947340626966
OP1_L,0.126965050685098
OP2Y3_L,0.920423629666666
_52_L,0.69390502649504
RI_L,0.244200733699529
PFcm_L,0.721374031884186
PoI2_L,0.867581623186429
TA2_L,0.859654841530827
FOP4_L,0.75677168223701
MI_L,0.933550626636904
Pir_L,0.769241891981336
AVI_L,0.897436737159688
AAIC_L,0.833650727649763
FOP1_L,0.657989950519503
FOP3_L,0.619964817311783
FOP2_L,0.87040441410166
PFt_L,0.037255538186767
AIP_L,0.921179787654409
EC_L,0.494922278202374
PreS_L,0.164774391101745
H_L,0.815276208762013
ProS_L,0.02931719727583
PeEc_L,0.87799580669134
STGa_L,0.21978514089008
PBelt_L,0.982277565448767
A5_L,0.809334322290295
PHA1_L,0.760920662218968
PHA3_L,0.827173998344332
STSda_L,0.962842866121591
STSdp_L,0.839257815231658
STSvp_L,0.903897255377805
TGd_L,0.713007959067634
TE1a_L,0.842260302960051
TE1p_L,0.501368487674129
TE2a_L,0.418007413686879
TF_L,0.87969415198575
TE2p_L,0.574802744168013
PHT_L,0.779583269329108
PH_L,0.502322231785043
TPOJ1_L,0.315860645634318
TPOJ2_L,0.0008197266515071
TPOJ3_L,0.36065808954467
DVT_L,0.848921982184493
PGp_L,0.766354303402926
IP2_L,0.671897270483389
IP1_L,0.981242249063614
IP0_L,0.896405702160027
PFop_L,0.764343886222271
PF_L,0.764695572593173
PFm_L,0.809113022865386
PGi_L,0.722674413057574
PGs_L,0.0027061915490154
V6A_L,0.962813781249925
VMV1_L,0.0030622417672926
VMV3_L,0.995584913756186
PHA2_L,0.742551415982941
V4t_L,0.310723560748618
FST_L,0.262022425358287
V3CD_L,0.770408314591189
LO3_L,0.123333366331052
VMV2_L,0.364484308874747
_31pd_L,0.649652236759182
_31a_L,0.789130051828247
VVC_L,0.31585281246491
_25_L,0.878076211264018
s32_L,0.821513390747495
pOFC_L,0.776208429248915
PoI1_L,0.962338461600681
Ig_L,0.110117978631716
FOP5_L,0.905643783065992
p10p_L,0.975900961958149
p47r_L,0.0197213687296092
TGv_L,0.419324926930054
MBelt_L,0.449254880772759
LBelt_L,0.19378132973508
A4_L,0.396052279132733
STSva_L,0.959084700153984
TE1m_L,0.824423643618155
PI_L,0.960804223506775
a32pr_L,0.495317793900892
p24_L,0.367776917434358
V1_R,0.91830518350101
MST_R,0.911238176886983
V6_R,0.889645678533262
V2_R,0.922270643542933
V3_R,0.893330319685305
V4_R,0.767447224592704
V8_R,0.988257027536836
_4_R,0.906300450593027
_3b_R,0.928295735477034
FEF_R,0.848436274165481
PEF_R,0.596094941269677
_55b_R,0.780738265721341
V3A_R,0.406993886777395
RSC_R,0.750421236632154
POS2_R,0.721728127580553
V7_R,0.841931229437808
IPS1_R,0.909220040881668
FFC_R,0.57491695426348
V3B_R,0.522268256777478
LO1_R,0.0011076151091488
LO2_R,0.138555759235838
PIT_R,0.260250371353963
MT_R,0.218570934687912
A1_R,0.0127134097045691
PSL_R,0.830475966483734
SFL_R,0.974092867459013
PCV_R,0.706064943728426
STV_R,0.787606417488125
_7Pm_R,0.134188391846646
_7m_R,0.64041908455498
POS1_R,0.244868883121361
_23d_R,0.819034210576496
v23ab_R,0.931068291334353
d23ab_R,0.485240969031579
_31pv_R,0.476126471818549
_5m_R,0.844470288118989
_5mv_R,0.682928967046775
_23c_R,0.879786898426299
_5L_R,0.799714267453551
_24dd_R,0.822164893147024
_24dv_R,0.752811682592242
_7AL_R,0.569453076482034
SCEF_R,0.851366424287145
_6ma_R,0.819987555997838
_7Am_R,0.81821700655631
_7Pl_R,0.218422530691195
_7PC_R,0.0713972765186048
LIPv_R,0.0839167228541041
VIP_R,0.791239057802272
MIP_R,0.410061211628819
_1_R,0.89416370972004
_2_R,0.316196288102148
_3a_R,0.902070073286452
_6d_R,0.874155480245441
_6mp_R,0.986997843037665
_6v_R,0.130095120237417
p24pr_R,0.797301150021167
_33pr_R,0.758794373874817
a24pr_R,0.81228769817507
p32pr_R,0.788791256147596
a24_R,0.930385064859675
d32_R,0.957907769659303
_8BM_R,0.919489013264144
p32_R,0.758006265833716
_10r_R,0.900197609806672
_47m_R,0.870178862040726
_8Av_R,0.956005109159866
_8Ad_R,0.808868179940553
_9m_R,0.987237631184532
_8BL_R,0.823838774904495
_9p_R,0.300207936586367
_10d_R,0.948656244095708
_8C_R,0.995987798817402
_44_R,0.0471382242660172
_45_R,0.027975549229279
_47l_R,0.900340842705934
a47r_R,0.508328368024937
_6r_R,0.916719191966788
IFJa_R,0.402694011081501
IFJp_R,0.898137760585431
IFSp_R,0.972668434903414
IFSa_R,0.963154532876495
p9Y46v_R,0.873836858520932
_46_R,0.880868928665651
a9Y46v_R,0.0373457492875393
_9Y46d_R,0.912144547425158
_9a_R,1.83681362352022e-05
_10v_R,0.742840603647432
a10p_R,0.225972623068817
_10pp_R,0.82794813717476
_11l_R,0.699390798786226
_13l_R,0.5287520510733
OFC_R,0.0152830140083848
_47s_R,0.735463839237775
LIPd_R,0.681393508515572
_6a_R,0.835350269919362
i6Y8_R,0.86496214953643
s6Y8_R,0.99947695322877
_43_R,0.912048477470188
OP4_R,0.935431663008889
OP1_R,0.975088615976949
OP2Y3_R,0.262664655736798
_52_R,0.403842486924067
RI_R,0.0784851619666351
PFcm_R,0.166825581627877
PoI2_R,0.772260772311295
TA2_R,0.849573410173298
FOP4_R,0.947576819584287
MI_R,0.499864361332084
Pir_R,0.936986119509083
AVI_R,0.0729177160205788
AAIC_R,0.475522154620183
FOP1_R,0.546804096267887
FOP3_R,0.919818201022851
FOP2_R,0.995773233956753
PFt_R,0.936586242659411
AIP_R,0.928391296464609
EC_R,0.146452790640132
PreS_R,0.0083594057124876
H_R,0.796161214771385
ProS_R,0.221417443251221
PeEc_R,0.27067851969061
STGa_R,0.112445906385093
PBelt_R,0.699006060968838
A5_R,0.506024089850436
PHA1_R,0.751523332586506
PHA3_R,0.862504584262793
STSda_R,0.218253771110125
STSdp_R,0.987101889447664
STSvp_R,0.127001130090881
TGd_R,0.0713921839013815
TE1a_R,0.93590637947784
TE1p_R,0.364936888698706
TE2a_R,0.418325938004738
TF_R,0.145124287005124
TE2p_R,0.956930150397333
PHT_R,0.743843456865085
PH_R,0.268425066712594
TPOJ1_R,0.991339034900085
TPOJ2_R,0.887024248516026
TPOJ3_R,0.997381305605524
DVT_R,0.88148710775124
PGp_R,0.0918490994230216
IP2_R,0.703177983471074
IP1_R,0.890834754966612
IP0_R,0.732294978998713
PFop_R,0.825528860644068
PF_R,0.824159553102303
PFm_R,0.842018243915759
PGi_R,0.720180389774879
PGs_R,0.0333201488898335
V6A_R,0.839137634654044
VMV1_R,0.991556525661671
VMV3_R,0.93527553202218
PHA2_R,0.684701290992285
V4t_R,0.927974223851658
FST_R,0.378408816854386
V3CD_R,0.906933296619457
LO3_R,0.911571717227928
VMV2_R,0.986984249828718
_31pd_R,0.797412700367288
_31a_R,0.796523121872377
VVC_R,0.0042112568209771
_25_R,0.763837266853034
s32_R,0.628138183233987
pOFC_R,0.932157361320979
PoI1_R,0.110141285446309
Ig_R,0.187766933918134
FOP5_R,0.935145583043473
p10p_R,0.461833017997004
p47r_R,0.534856114837594
TGv_R,0.401601117412171
MBelt_R,0.901116091010481
LBelt_R,0.519077341070568
A4_R,0.975034867602024
STSva_R,0.944044364468583
TE1m_R,0.986002757097595
PI_R,0.955833435291188
a32pr_R,0.943687684982039
p24_R,0.885436498448367
