,V1
V1_L,0.820439604831554
MST_L,0.0004174094641124
V6_L,0.858329644647797
V2_L,0.845685250529881
V3_L,0.93308442362312
V4_L,0.954835315948419
V8_L,0.549116733911509
_4_L,0.983279288683088
_3b_L,0.984384750782857
FEF_L,0.115818544417885
PEF_L,0.13937247838768
_55b_L,0.0207743324192835
V3A_L,0.957556073895573
RSC_L,0.539721314357363
POS2_L,0.85731514080685
V7_L,0.930567866281231
IPS1_L,0.945579030430983
FFC_L,0.021941100371823
V3B_L,0.758884916213368
LO1_L,0.148147333929541
LO2_L,0.0743672345540203
PIT_L,0.713741962666347
MT_L,0.956078982743253
A1_L,0.168735551924053
PSL_L,0.948548591110006
SFL_L,0.91926404397847
PCV_L,0.705357206416622
STV_L,0.7486798491463
_7Pm_L,0.915417481886402
_7m_L,0.815675427132807
POS1_L,0.826774543227428
_23d_L,0.515194995096052
v23ab_L,0.21548099831608
d23ab_L,0.41864027739054
_31pv_L,0.82436315308719
_5m_L,0.946421754097784
_5mv_L,0.845125250009084
_23c_L,0.718943228941648
_5L_L,0.839696736711381
_24dd_L,0.901424649640691
_24dv_L,0.746953083874092
_7AL_L,0.930284322957033
SCEF_L,0.916453240034518
_6ma_L,0.701462069994902
_7Am_L,0.816899918647148
_7Pl_L,0.884650019144754
_7PC_L,0.993301055110467
LIPv_L,0.937461337928069
VIP_L,0.865835212343053
MIP_L,0.675766898636894
_1_L,0.898781194036974
_2_L,0.644432858110706
_3a_L,0.934083792735534
_6d_L,0.123590133675705
_6mp_L,0.984037508904442
_6v_L,0.673026149132742
p24pr_L,0.501371960824301
_33pr_L,0.354024789538489
a24pr_L,0.773840979312906
p32pr_L,0.697451156364704
a24_L,0.950712340755005
d32_L,0.166756850719737
_8BM_L,0.771899555573748
p32_L,0.275371539145498
_10r_L,0.516093211677672
_47m_L,0.68150892202157
_8Av_L,0.0711291925602397
_8Ad_L,0.418309320977793
_9m_L,0.161382039372835
_8BL_L,0.519392055004107
_9p_L,0.102043067445242
_10d_L,0.235168010866731
_8C_L,0.14546476624602
_44_L,0.970034599492204
_45_L,0.89369151745406
_47l_L,0.172054397883025
a47r_L,0.655514395269495
_6r_L,0.666030958616782
IFJa_L,0.88734426063632
IFJp_L,0.0219386139773712
IFSp_L,0.197349431965132
IFSa_L,0.253653497454888
p9Y46v_L,0.271525523280064
_46_L,0.182621579008153
a9Y46v_L,0.0525719335343068
_9Y46d_L,0.183214388218246
_9a_L,0.0363717174279463
_10v_L,0.579068881370058
a10p_L,0.221385613786997
_10pp_L,0.436614806960911
_11l_L,0.950146756585922
_13l_L,0.292122432166024
OFC_L,0.371370827927227
_47s_L,0.250690626430403
LIPd_L,0.750535627944221
_6a_L,0.376301812972484
i6Y8_L,0.225323874301632
s6Y8_L,0.567202989148918
_43_L,0.923799940405882
OP4_L,0.940386138815629
OP1_L,0.595505138740455
OP2Y3_L,0.930651692536712
_52_L,0.845167215846987
RI_L,0.994665943793873
PFcm_L,0.629585490988391
PoI2_L,0.456620585803214
TA2_L,0.586704460004356
FOP4_L,0.388254193963162
MI_L,0.639942814879813
Pir_L,0.0449019410550052
AVI_L,0.72827873062178
AAIC_L,0.406537216602896
FOP1_L,0.963990671182008
FOP3_L,0.0737400961663292
FOP2_L,0.846860251959756
PFt_L,0.908716148585211
AIP_L,0.998490060918787
EC_L,0.978939716972916
PreS_L,0.296691761873473
H_L,0.41773605111855
ProS_L,0.56695162248329
PeEc_L,0.965139803849685
STGa_L,0.884540317431751
PBelt_L,0.869195962914552
