,V1
V1_L,0.0604686542159687
MST_L,0.895272104134973
V6_L,0.424716816476317
V2_L,0.176118533120492
V3_L,0.427413810247452
V4_L,0.91358738806853
V8_L,0.0971461430458445
_4_L,0.893638906357722
_3b_L,0.846296647894539
FEF_L,0.720421808913182
PEF_L,0.344520663322917
_55b_L,0.891085114720371
V3A_L,0.103214711378871
RSC_L,0.138756211138963
POS2_L,0.897528355666715
V7_L,0.968952507730595
IPS1_L,0.40724951689039
FFC_L,0.170601810005964
V3B_L,0.624139399341163
LO1_L,0.33042343810195
LO2_L,0.0153406409163778
PIT_L,0.97845912491206
MT_L,0.822687249594087
A1_L,0.972920029338469
PSL_L,0.786356819232623
SFL_L,0.889208766195261
PCV_L,0.987591393046582
STV_L,0.452240066926342
_7Pm_L,0.584661136098744
_7m_L,0.112004470633012
POS1_L,0.527427895628675
_23d_L,0.950549632293389
v23ab_L,0.361454440223603
d23ab_L,0.0532205924411631
_31pv_L,0.256715282182004
_5m_L,0.961666524166458
_5mv_L,0.0751306624532209
_23c_L,0.114754312166509
_5L_L,0.899558525165114
_24dd_L,0.132377729701297
_24dv_L,0.855436322606062
_7AL_L,0.82688415219391
SCEF_L,0.0575357069046567
_6ma_L,0.826309899965256
_7Am_L,0.532646856686449
_7Pl_L,0.68669629527977
_7PC_L,0.184383107791996
LIPv_L,0.577724523908596
VIP_L,0.844602955370719
MIP_L,0.188215002441978
_1_L,0.879962639286912
_2_L,0.308136404920275
_3a_L,0.991174186452462
_6d_L,0.71601256068011
_6mp_L,0.379022275698628
_6v_L,0.911934372410373
p24pr_L,0.0024249908942813
_33pr_L,0.892745723570521
a24pr_L,0.452424583601282
p32pr_L,0.592065321466337
a24_L,0.20382140364401
d32_L,0.0683037166598263
_8BM_L,0.336787684642731
p32_L,0.612504855860005
_10r_L,0.0069182402272162
_47m_L,0.262054886592739
_8Av_L,0.982886397463452
_8Ad_L,0.948136672575416
_9m_L,0.498772475607182
_8BL_L,0.98977234778113
_9p_L,0.862908640171818
_10d_L,0.837718909692727
_8C_L,0.943106739876203
_44_L,0.742782292112837
_45_L,0.751678586938792
_47l_L,0.982631270592201
a47r_L,0.654337704710437
_6r_L,0.281894316570489
IFJa_L,0.418574786750065
IFJp_L,0.810570607157083
IFSp_L,0.267230911053391
IFSa_L,0.802289222611072
p9Y46v_L,0.770017112616266
_46_L,0.610615699919914
a9Y46v_L,0.732000474768419
_9Y46d_L,0.907495317163801
_9a_L,0.993913518244122
_10v_L,0.204544050885745
a10p_L,0.226940795093184
_10pp_L,0.89993770345208
_11l_L,0.789311744460226
_13l_L,0.931786334044292
OFC_L,0.974596978674044
_47s_L,0.143101342169573
LIPd_L,0.88207003150322
_6a_L,0.64804439378665
i6Y8_L,0.878313247120754
s6Y8_L,0.460599546827005
_43_L,0.835772506925832
OP4_L,0.700470979475464
OP1_L,0.0475629876494139
OP2Y3_L,0.963683740914285
_52_L,0.332348407608745
RI_L,0.154725406955436
PFcm_L,0.759824444926423
PoI2_L,0.663691599794181
TA2_L,0.914469067399699
FOP4_L,0.805094411941788
MI_L,0.609651270493418
Pir_L,0.916791123363411
AVI_L,0.562981670061464
AAIC_L,0.959533597890238
FOP1_L,0.604208912269848
FOP3_L,0.411629313646859
FOP2_L,0.913174276164308
PFt_L,0.888429090119691
AIP_L,0.173715254044861
EC_L,0.0406685666826847
PreS_L,0.778174325269641
H_L,0.598780349821816
ProS_L,0.172727163636318
PeEc_L,0.0316173802897705
STGa_L,0.492820548151606
PBelt_L,0.880370717253378
A5_L,0.86732942581937
PHA1_L,0.876176498870556
PHA3_L,0.753315611866652
STSda_L,0.923691325046554
STSdp_L,0.894878231605145
STSvp_L,0.669075777023181
TGd_L,0.974640837257059
TE1a_L,0.958010739682528
TE1p_L,0.79251446367306
TE2a_L,0.525172438831907
TF_L,0.893808461831623
TE2p_L,0.991543755892696
PHT_L,0.81962141803397
PH_L,0.146980613468473
TPOJ1_L,0.982926020877848
TPOJ2_L,0.769594895945585
TPOJ3_L,0.995349556823267
DVT_L,0.672609102440911
PGp_L,0.775844070671535
IP2_L,0.0343376379116576
IP1_L,0.923970205475426
IP0_L,0.189925552996287
PFop_L,0.800011724617381
PF_L,0.766564215456858
PFm_L,0.490116560331177
PGi_L,0.784310637197738
PGs_L,0.872782955566929
V6A_L,0.690669230104735
VMV1_L,0.959933747783323
VMV3_L,0.956956364099051
PHA2_L,0.778490429165874
V4t_L,0.34700214298172
FST_L,0.994453659966774
V3CD_L,0.326921044300668
LO3_L,0.463376632860981
VMV2_L,0.435296871719302
_31pd_L,0.559371355879468
_31a_L,0.46347662591993
VVC_L,0.26008731801603
_25_L,0.875445089036382
s32_L,0.893749966966765
pOFC_L,0.785970108106808
PoI1_L,0.0078280933136414
Ig_L,0.821528047022164
FOP5_L,0.0759002122282592
p10p_L,0.996762110305083
p47r_L,0.149679838768906
TGv_L,0.439998192535812
MBelt_L,0.270355936982787
LBelt_L,0.927039100358944
A4_L,0.633319093860075
STSva_L,0.998671527483356
TE1m_L,0.815118263360144
PI_L,0.663468473085378
a32pr_L,0.692023857205437
p24_L,0.0015248392261507
V1_R,0.014652158973541
MST_R,0.998272239216864
V6_R,0.917594188736493
V2_R,0.116694410311632
V3_R,0.209790594692808
V4_R,0.998310240976406
V8_R,0.964409427107669
_4_R,0.0069618464721303
