,V1
V1_L,0.954312733262582
MST_L,0.569692593285541
V6_L,0.65312829187814
V2_L,0.900192865525457
V3_L,0.787761942027965
V4_L,0.770660499234813
V8_L,0.626139975299885
_4_L,0.997698283406784
_3b_L,0.240456970490985
FEF_L,0.45689808588534
PEF_L,0.989156098015924
_55b_L,0.999740899372225
V3A_L,0.31866915750415
RSC_L,0.674708362651678
POS2_L,0.871369929453946
V7_L,0.650572589333124
IPS1_L,0.820829745653914
FFC_L,0.596784282646068
V3B_L,0.957577714486017
LO1_L,0.768205882923576
LO2_L,0.135036532073013
PIT_L,0.995485531502984
MT_L,0.0499958022809626
A1_L,0.888757662580566
PSL_L,0.266879881959926
SFL_L,0.56654193708308
PCV_L,0.03793045780581
STV_L,0.961134916930359
_7Pm_L,0.358393767087174
_7m_L,0.101014908089465
POS1_L,0.736973487013984
_23d_L,0.568614665750039
v23ab_L,0.6284976833506
d23ab_L,0.664647876025619
_31pv_L,0.93893813399782
_5m_L,0.706387944495306
_5mv_L,0.737242857053995
_23c_L,0.184243292491921
_5L_L,0.0383071632236658
_24dd_L,0.783905779646403
_24dv_L,1.09601782770663e-06
_7AL_L,0.999941118165102
SCEF_L,0.394623683322286
_6ma_L,0.771187035856319
_7Am_L,0.999305716497779
_7Pl_L,0.894883793463199
_7PC_L,0.999565967005934
LIPv_L,0.931774442103695
VIP_L,0.934176699345777
MIP_L,0.97087478164958
_1_L,0.992319773804971
_2_L,0.991075928741793
_3a_L,0.779062312625706
_6d_L,0.846329375667844
_6mp_L,0.147384070837777
_6v_L,0.988390293129833
p24pr_L,0.418235979827177
_33pr_L,0.992017924128052
a24pr_L,0.947969304110552
p32pr_L,0.825980105531875
a24_L,0.128912218354124
d32_L,0.0016473431970321
_8BM_L,0.226961996487918
p32_L,0.266556863320961
_10r_L,0.861482650419236
_47m_L,0.996275527661776
_8Av_L,0.0060270715290249
_8Ad_L,0.681171119437485
_9m_L,0.280367300184101
_8BL_L,0.0992880363883274
_9p_L,0.691930110925065
_10d_L,0.23968264776937
_8C_L,0.928807871650653
_44_L,0.985029125972249
_45_L,0.105902897808714
_47l_L,0.455225906552469
a47r_L,0.732352983009927
_6r_L,0.975725936489626
IFJa_L,0.0161379046312272
IFJp_L,0.97679856600387
IFSp_L,0.913770195435367
IFSa_L,0.845274620603734
p9Y46v_L,0.154629675770458
_46_L,0.677153809830025
a9Y46v_L,0.505136368507221
_9Y46d_L,0.495470588831139
_9a_L,0.619885012904574
_10v_L,0.663621088136336
a10p_L,0.168700147400146
_10pp_L,0.401196782872179
_11l_L,0.557088417197641
_13l_L,0.890181425123573
OFC_L,0.576159415419855
_47s_L,0.595225502183995
LIPd_L,0.89259365162658
_6a_L,0.959605485999399
i6Y8_L,0.554599551081465
s6Y8_L,0.551826691044033
_43_L,0.945739465264808
OP4_L,0.0130523091133697
OP1_L,0.331708558790171
OP2Y3_L,0.44495388813582
_52_L,0.468937444627372
RI_L,0.933949161278596
PFcm_L,0.206199183624671
PoI2_L,0.878901173938713
TA2_L,0.0010311107544422
FOP4_L,0.0562136096326625
MI_L,0.901986438758284
Pir_L,0.145565113001184
AVI_L,0.710690621371768
AAIC_L,0.940915054569608
FOP1_L,0.945850193544297
FOP3_L,0.870254281212608
FOP2_L,0.797921991448032
PFt_L,0.994394487597254
AIP_L,0.879577821986048
EC_L,0.246753897925599
PreS_L,0.451775047182182
H_L,0.929648793849049
ProS_L,0.905650891523494
PeEc_L,0.978431970773208
STGa_L,0.805031357065973
PBelt_L,0.440437825588344
A5_L,0.764420937011527
PHA1_L,0.581914867268014
PHA3_L,0.299722801596759
STSda_L,0.783952231603669
STSdp_L,0.0040994702299619
STSvp_L,0.989702515487244
TGd_L,0.964513921172926
TE1a_L,0.95305744419373
TE1p_L,0.142210635986135
TE2a_L,0.94381497377809
TF_L,0.313844206433644
TE2p_L,0.325671407562818
PHT_L,0.912738442697011
PH_L,0.687829004114908
TPOJ1_L,0.872406840550204
TPOJ2_L,0.182691759411028
TPOJ3_L,0.941426721138982
DVT_L,0.867940165230235
PGp_L,0.562285044979771
IP2_L,0.999853080301857
IP1_L,0.515431392806534
IP0_L,0.963183387213082
PFop_L,0.999513992102144
PF_L,0.712897841661382
PFm_L,0.999108937820086
PGi_L,0.926348308299476
PGs_L,0.919722645954256
V6A_L,0.125644068405216
VMV1_L,0.655119309175201
VMV3_L,0.0974495995597747
PHA2_L,0.827111700909409
V4t_L,0.736692975340548
FST_L,0.950667049810369
V3CD_L,0.244260378504135
LO3_L,0.999155403200503
VMV2_L,0.514006260868034
_31pd_L,0.4515156766487
_31a_L,0.803611686028388
VVC_L,0.188379165059142
_25_L,0.969881306628042
s32_L,0.0004037196842775
pOFC_L,0.408451735550312
PoI1_L,0.964520515338709
Ig_L,0.993788588733571
FOP5_L,0.254967253492195
p10p_L,0.0446759393468365
p47r_L,0.0142048711389429
TGv_L,0.119279367811482
MBelt_L,0.998662797195842
LBelt_L,0.161911947601234
A4_L,0.997994747980111
STSva_L,0.0972282654793883
TE1m_L,0.874117202626986
PI_L,0.263930470685571
a32pr_L,0.98383750468314
p24_L,0.0736807397593548
V1_R,0.822595931091099
MST_R,0.356355447631866
V6_R,0.871562276721435
V2_R,0.610726607952033
V3_R,0.757913214158022
V4_R,0.764180726211668
V8_R,0.297495681963505
_4_R,0.492838427637461
_3b_R,0.981144207043595
FEF_R,0.247424154312188
PEF_R,0.319370938023689
_55b_R,0.344259486263553
V3A_R,0.213236925597718
RSC_R,0.652775368482474
POS2_R,0.766528693196746
V7_R,0.0371805938582045
IPS1_R,0.0015429974618991
FFC_R,0.639302074413693
V3B_R,0.0145739594799806
LO1_R,0.327080184796958
LO2_R,0.865485670846817
PIT_R,0.920175889693715
MT_R,0.513514787752494
A1_R,0.807141738768144
PSL_R,0.925833744830873
SFL_R,0.356336506836997
PCV_R,0.85073252950117
STV_R,0.991546386421368
_7Pm_R,0.528758226397931
_7m_R,0.0002875197635832
POS1_R,0.777245707909037
_23d_R,0.0046315171613802
v23ab_R,0.0986263366199391
d23ab_R,0.932265898337685
_31pv_R,0.739703818438758
_5m_R,0.968651911854652
_5mv_R,0.0526382672930769
_23c_R,0.784651507128813
_5L_R,0.988441396380574
_24dd_R,0.955857092428141
_24dv_R,0.933644725609935
_7AL_R,0.905596195446789
SCEF_R,0.341420334760935
_6ma_R,0.433147736312806
_7Am_R,0.303914398370191
_7Pl_R,0.973902773368657
_7PC_R,0.407876027741418
LIPv_R,0.821059692279359
VIP_R,0.102245501523053
MIP_R,0.931899776228467
_1_R,0.521745983755372
_2_R,0.451620949690232
_3a_R,0.983228736370035
_6d_R,0.426787858946668
_6mp_R,0.354708835698068
_6v_R,0.284537556610028
p24pr_R,0.493633473740737
_33pr_R,0.957798179664557
a24pr_R,0.833279399985028
p32pr_R,0.958702887519289
a24_R,0.82973693631006
d32_R,0.331455758459648
_8BM_R,0.386855639427715
p32_R,0.134214992282296
_10r_R,0.836089704015622
_47m_R,0.976359192933619
_8Av_R,0.329165073544249
_8Ad_R,0.94560413568183
_9m_R,0.978438021385475
_8BL_R,0.442169005955854
_9p_R,0.760142553404841
_10d_R,0.251394312743141
_8C_R,0.252593799428647
_44_R,0.857065137016797
_45_R,0.272029101383451
_47l_R,0.0746425252156779
a47r_R,0.001988258108442
_6r_R,0.0001113520285411
IFJa_R,0.696911246655793
IFJp_R,0.829651060937269
IFSp_R,0.421670920315285
IFSa_R,0.468051215029166
p9Y46v_R,0.493201283846816
_46_R,0.5417144399403
a9Y46v_R,0.492480777764741
_9Y46d_R,0.452450287925284
_9a_R,0.880099405477699
_10v_R,0.154404105913007
a10p_R,0.0882025448113962
_10pp_R,0.004544699308426
_11l_R,0.497211736805749
_13l_R,0.891196088192576
OFC_R,0.150516363901865
_47s_R,0.668787401591213
LIPd_R,0.961183634246608
_6a_R,0.10494950507133
