,V1
V1_L,0.532460530408673
MST_L,0.98846965445137
V6_L,0.801147428929952
V2_L,0.290344839872994
V3_L,0.200315353905539
V4_L,0.952282648607633
V8_L,0.0696022079047546
_4_L,0.245412280555531
_3b_L,0.413368084426113
FEF_L,0.394789934410615
PEF_L,0.169489125869797
_55b_L,0.513282178612889
V3A_L,0.0176716956018195
RSC_L,0.889442835702642
POS2_L,0.224147451211891
V7_L,0.792389125499263
IPS1_L,0.120190849319887
FFC_L,0.153247358828794
V3B_L,0.990110375794105
LO1_L,0.980090382107751
LO2_L,0.762213569654746
PIT_L,0.893471830249149
MT_L,0.998721357997783
A1_L,0.833005452575617
PSL_L,0.880343627638927
SFL_L,0.878532106553486
PCV_L,0.971874644834715
STV_L,0.806090945915959
_7Pm_L,0.288224034916843
_7m_L,0.0915961570243677
POS1_L,0.955026853636404
_23d_L,0.76181430468987
v23ab_L,0.127200526288739
d23ab_L,0.0433070266152544
_31pv_L,0.0701432084404482
_5m_L,0.406209538668718
_5mv_L,0.433628840348045
_23c_L,0.471432456523595
_5L_L,0.927232008922147
_24dd_L,0.38991624160247
_24dv_L,0.836521662667727
_7AL_L,0.545384401136528
SCEF_L,0.0643656552836996
_6ma_L,0.794851955407361
_7Am_L,0.507848642838913
_7Pl_L,0.99772551252516
_7PC_L,0.832270725617873
LIPv_L,0.95043811661137
VIP_L,0.908974620448721
MIP_L,0.178890204782018
_1_L,0.516423045181919
_2_L,0.109514455629112
_3a_L,0.919819133654503
_6d_L,0.237440651813775
_6mp_L,0.118949962598828
_6v_L,0.0037067191198805
p24pr_L,0.992120824996363
_33pr_L,0.748875012296359
a24pr_L,0.605428930017333
p32pr_L,0.506440102062489
a24_L,0.142605691282601
d32_L,0.000951507063995
_8BM_L,0.13327972293915
p32_L,0.701368806369833
_10r_L,0.0899449472887707
_47m_L,0.199514275806471
_8Av_L,0.969451680725988
_8Ad_L,0.914413641456283
_9m_L,0.282281201599262
_8BL_L,0.95291805574517
_9p_L,0.396272726539157
_10d_L,0.662459166329415
_8C_L,0.328612603497739
_44_L,0.49749847252869
_45_L,0.679295067753039
_47l_L,0.977765790219818
a47r_L,0.394778574989053
_6r_L,0.343902971665411
IFJa_L,0.409535623329698
IFJp_L,0.754223438077109
IFSp_L,0.393554731153528
IFSa_L,0.427433575758336
p9Y46v_L,0.519233912302619
_46_L,0.371272950218356
a9Y46v_L,0.487969333544512
_9Y46d_L,0.570825671616608
_9a_L,0.942242270460465
_10v_L,0.332701341903382
a10p_L,0.0578198113388817
_10pp_L,0.0817371776997138
_11l_L,0.222881639411051
_13l_L,0.493421675368805
OFC_L,0.067803238827459
_47s_L,0.296060218712476
LIPd_L,0.727384321904029
_6a_L,0.174294390590538
i6Y8_L,0.916688733209277
s6Y8_L,0.694084681648481
_43_L,0.845109233361847
OP4_L,0.767031129036006
OP1_L,0.283604498154965
OP2Y3_L,0.690521090972367
_52_L,0.755782133919545
RI_L,0.0637947607090057
PFcm_L,0.733789035515878
PoI2_L,0.856467642477533
TA2_L,0.267614294015956
FOP4_L,0.748501667271571
MI_L,0.0215867973514821
Pir_L,0.934267004144849
AVI_L,0.369519999339734
AAIC_L,0.952662949400888
FOP1_L,0.654000082795988
FOP3_L,0.163099191581547
FOP2_L,0.848337681978634
PFt_L,0.921518714263316
AIP_L,0.998303805176933
EC_L,0.265159731324107
PreS_L,0.34175247848738
H_L,0.52764024787442
ProS_L,0.649425167983366
PeEc_L,0.98175730756702
STGa_L,0.833781711186223
PBelt_L,0.96807116679789
A5_L,0.872634877292386
PHA1_L,0.515456696200442
PHA3_L,0.0002169712638013
STSda_L,0.512209120574529
STSdp_L,0.908458887143201
STSvp_L,0.997320321408299
TGd_L,0.391491588313107
TE1a_L,0.42093097267665
TE1p_L,0.323767088613153
TE2a_L,0.12722568733747
TF_L,0.01117807915591
TE2p_L,0.891873863894021
PHT_L,0.175616896340327
PH_L,0.0360520128759751
TPOJ1_L,0.990215165402511
TPOJ2_L,0.755759950399183
TPOJ3_L,0.924209410419276
DVT_L,0.92425200680003
PGp_L,0.85035897047565
IP2_L,0.622416472355375
IP1_L,0.897631801835512
IP0_L,0.141067907072508
PFop_L,0.783429884512401
PF_L,0.706406591518931
PFm_L,0.121529739148514
PGi_L,0.0169842454418358
PGs_L,0.630099157673053
V6A_L,0.171850135373079
VMV1_L,0.988088331184855
VMV3_L,0.933970841805483
PHA2_L,0.873608695197225
V4t_L,0.278579863610612
FST_L,0.996277464893178
V3CD_L,0.467175706324996
LO3_L,0.939772091584341
VMV2_L,0.658617260482655
_31pd_L,0.327055277965857
_31a_L,0.535886838618592
VVC_L,0.221618442100061
_25_L,0.767800077524607
s32_L,0.749768550618923
pOFC_L,0.606219599103611
PoI1_L,0.128943734112169
Ig_L,0.999062129024468
FOP5_L,0.0877098852761138
p10p_L,0.75448901647924
p47r_L,0.588157300636356
TGv_L,0.0004310326324732
MBelt_L,0.691661314643899
LBelt_L,0.898237444126923
A4_L,0.994313211921444
STSva_L,0.79045501574086
TE1m_L,0.752421512632376
PI_L,0.60219345146718
a32pr_L,0.991502092456241
p24_L,0.0009695237738791
V1_R,0.278882324837593
MST_R,0.694985380276413
V6_R,0.857476316320119
V2_R,0.0102619256254049
V3_R,0.006418647601701
V4_R,0.976458532153536
V8_R,0.893255771323552
_4_R,0.316773428203322
_3b_R,0.360064975146445
FEF_R,0.181053039495597
PEF_R,0.685265843171917
_55b_R,0.726880116562084
V3A_R,0.0001025382348987
RSC_R,0.22335737749621
POS2_R,0.121178001336209
V7_R,0.306721819597445
IPS1_R,0.390460670207811
FFC_R,0.0838481459757706
V3B_R,0.924526877072283
LO1_R,0.104231282966814
LO2_R,0.546717440556966
PIT_R,0.119332884134425
MT_R,0.676024680848253
A1_R,0.870078827076872
PSL_R,0.223963342876349
SFL_R,0.949523148278795
PCV_R,0.244691093711866
STV_R,0.881921608004032
_7Pm_R,0.0725216879251767
_7m_R,0.456076361929184
POS1_R,0.996580540971902
_23d_R,0.219783914250676
v23ab_R,0.001276492394299
d23ab_R,0.338268242800102
_31pv_R,0.0614439099823848
_5m_R,0.928951174211988
_5mv_R,0.0674283800820284
_23c_R,0.24127960105669
_5L_R,0.627029675169252
_24dd_R,0.991050652972724
_24dv_R,0.805662794961748
_7AL_R,0.995753185086872
SCEF_R,0.895850825695941
_6ma_R,0.723201424607162
_7Am_R,0.148323438335558
_7Pl_R,0.450864961135181
_7PC_R,0.886968219026187
LIPv_R,0.310526114531866
VIP_R,0.814080765381329
MIP_R,0.0446373281146909
_1_R,0.369487980942759
_2_R,0.0303047559089987
_3a_R,0.939237670872881
_6d_R,0.763130410004648
_6mp_R,0.823307524189531
_6v_R,0.532074333878631
p24pr_R,0.936429219329513
_33pr_R,0.744956692106771
a24pr_R,0.510243132847598
p32pr_R,0.761918860403775
a24_R,0.279645673036066
d32_R,0.353023693243033
_8BM_R,0.825922405032953
p32_R,0.180530571083845
_10r_R,0.161274990287233
_47m_R,0.964170798256692
_8Av_R,0.491238201064743
_8Ad_R,0.324424979397856
_9m_R,0.889944044457708
_8BL_R,0.779244209814992
_9p_R,0.1500992698024
_10d_R,0.871063149524127
_8C_R,0.535066793223489
_44_R,0.999362620633783
_45_R,0.327464019876029
_47l_R,0.29072222005377
a47r_R,0.352995210426913
_6r_R,0.689282489948013
IFJa_R,0.0216544817582905
IFJp_R,0.816509357588812
IFSp_R,0.958370510453057
IFSa_R,0.727363349718014
p9Y46v_R,0.836612295346838
_46_R,0.877159986746594
a9Y46v_R,0.803479513014322
_9Y46d_R,0.318220922360413
_9a_R,0.820323362194308
_10v_R,0.209642435994689
a10p_R,0.916944721827285
_10pp_R,0.154199300299701
_11l_R,0.189030088094746
_13l_R,0.955203538521615
OFC_R,0.170092365475649
_47s_R,0.925129027812767
LIPd_R,0.0034544595643961
_6a_R,0.876694691333622
i6Y8_R,0.807596333947564
s6Y8_R,0.986852864648615
_43_R,0.806810036479658
OP4_R,0.866882981645806
OP1_R,0.97613380211246
OP2Y3_R,0.533015875706346
_52_R,0.620999270601947
RI_R,0.128403443952447
PFcm_R,0.331326493193505
PoI2_R,0.99780928413298
TA2_R,0.868601410533801
FOP4_R,0.0803284533982446
MI_R,0.0050655814706297
Pir_R,0.717715475263646
AVI_R,0.744928757123715
AAIC_R,0.543224979076876
FOP1_R,0.952495483491195
FOP3_R,0.795985074373711
FOP2_R,0.464606868810646
PFt_R,0.963173945060803
AIP_R,0.769308753264062
EC_R,0.90669178814398
PreS_R,0.61561393333366
H_R,0.505970287541373
ProS_R,0.551558992734221
PeEc_R,0.122693118721752
STGa_R,0.43461993815632
PBelt_R,0.987804375800707
A5_R,0.615701105772263
PHA1_R,0.652581641356912
PHA3_R,0.80175569406147
STSda_R,0.14477038909445
STSdp_R,0.994606350679701
STSvp_R,0.0114514913408461
TGd_R,0.0612391351206723
TE1a_R,0.907512686792172
TE1p_R,0.0042477944109833
TE2a_R,0.987355859223955
TF_R,0.241853872728045
TE2p_R,0.932094792462807
PHT_R,0.972469737000353
PH_R,0.308997113509994
TPOJ1_R,0.994327762553607
TPOJ2_R,0.800475297769346
TPOJ3_R,0.235547388018035
DVT_R,0.803080731510377
PGp_R,0.242144842748145
IP2_R,0.272977738653148
IP1_R,0.0732839091031263
IP0_R,0.135797456321227
PFop_R,0.928676192561728
PF_R,0.714344028967036
PFm_R,0.627617675252438
PGi_R,0.186291635100901
PGs_R,0.0121142236652401
V6A_R,0.245533459470182
VMV1_R,0.640041574872752
VMV3_R,0.127478184946666
PHA2_R,0.561561785343888
V4t_R,0.989192629788493
FST_R,0.488652477551512
V3CD_R,0.290205877900866
LO3_R,0.948133512875396
VMV2_R,0.980802045706321
_31pd_R,0.167755581727575
_31a_R,0.206065640099213
VVC_R,0.59934727598058
_25_R,0.576853125578679
s32_R,0.696257524248527
pOFC_R,0.144142400175688
PoI1_R,0.926952355762962
Ig_R,0.285371475992783
FOP5_R,0.899254964417927
p10p_R,0.283895305482276
p47r_R,0.893423699490536
TGv_R,0.978327274887938
MBelt_R,0.498277396892282
LBelt_R,0.962452550819614
A4_R,0.991843373153261
STSva_R,0.968352455393891
TE1m_R,0.981459304948296
PI_R,0.974979410221748
a32pr_R,0.327978803420203
p24_R,0.774065910432373
