,V1
V1_L,0.715617850276798
MST_L,0.905644255491248
V6_L,0.961683234050654
V2_L,0.503370333879228
V3_L,0.975736152567172
V4_L,0.86379425806483
V8_L,0.953857131758477
_4_L,0.941167525014165
_3b_L,0.871573447887204
FEF_L,0.692600727767544
PEF_L,0.0631834987671043
_55b_L,0.764888837533274
V3A_L,0.880318851689977
RSC_L,0.807640062349523
POS2_L,0.291056907116245
V7_L,0.911026144380171
IPS1_L,0.947357348416325
FFC_L,0.951233750975538
V3B_L,0.527615332718163
LO1_L,0.739130056299418
LO2_L,0.786159998380965
PIT_L,0.819218714139431
MT_L,0.986016850365334
A1_L,0.959306921271395
PSL_L,0.831924840946279
SFL_L,0.947123647895163
PCV_L,0.714202007007051
STV_L,0.499129172608976
_7Pm_L,0.987973645642498
_7m_L,0.614500088130865
POS1_L,0.940998775392927
_23d_L,0.294262845016766
v23ab_L,0.868999248647971
d23ab_L,0.036679084774364
_31pv_L,0.984886780039432
_5m_L,0.952464351088995
_5mv_L,0.634279597934528
_23c_L,0.976011856553196
_5L_L,0.959043280510873
_24dd_L,0.322620341567721
_24dv_L,0.928014961050581
_7AL_L,0.940937007719698
SCEF_L,0.97200414937882
_6ma_L,0.999298320680623
_7Am_L,0.336363448122658
_7Pl_L,0.947468604102437
_7PC_L,0.808291536187476
LIPv_L,0.875717445899542
VIP_L,0.892694718506686
MIP_L,0.174273844006967
_1_L,0.793878694021522
_2_L,0.994806301442979
_3a_L,0.972777037372735
_6d_L,0.964662866235043
_6mp_L,0.559225255907008
_6v_L,0.971013648442903
p24pr_L,0.984818984966524
_33pr_L,0.944660602497749
a24pr_L,0.894910452637411
p32pr_L,0.430306926071374
a24_L,0.969871281513621
d32_L,0.861899877151258
_8BM_L,0.348707860714035
p32_L,0.833796887697834
_10r_L,0.877781549229349
_47m_L,0.297596988599633
_8Av_L,0.757291907362907
_8Ad_L,0.979872869175558
_9m_L,0.967762922609717
_8BL_L,0.0163213323159687
_9p_L,0.926202056958631
_10d_L,0.0075613562966172
_8C_L,0.0543283050846834
_44_L,0.17837508343668
_45_L,0.868179888985824
_47l_L,0.950929198431334
a47r_L,0.98102635074464
_6r_L,0.984340840273748
IFJa_L,0.865032140422271
IFJp_L,0.809182290965235
IFSp_L,0.656242891816513
IFSa_L,0.999682803256464
p9Y46v_L,0.637211967900237
_46_L,0.882005931649231
a9Y46v_L,0.990022838151766
_9Y46d_L,0.929748331823834
_9a_L,0.808112551109823
_10v_L,0.122774092133783
a10p_L,0.994935515097491
_10pp_L,0.620567496813945
_11l_L,0.887139133526323
_13l_L,0.230850039380421
OFC_L,0.994213034427469
_47s_L,0.0064970782440008
LIPd_L,0.0707531390496421
_6a_L,0.980770574262117
i6Y8_L,0.977726430876769
s6Y8_L,0.488761189402401
_43_L,0.271443996588049
OP4_L,0.564185523642758
OP1_L,0.988755538373995
OP2Y3_L,0.936853234938626
_52_L,0.998815942693727
RI_L,0.026722362216736
PFcm_L,0.754612295596886
PoI2_L,0.876544345642385
TA2_L,0.130140033762169
FOP4_L,0.886705142446633
MI_L,0.986734004104167
Pir_L,0.663187273864715
AVI_L,0.0031860585101691
AAIC_L,0.997594932733035
FOP1_L,0.0160658912523652
FOP3_L,0.996050911292865
FOP2_L,0.999916741308966
PFt_L,0.961119968140589
AIP_L,0.961657598682196
EC_L,0.895541363563114
PreS_L,0.634290892845259
H_L,0.996132173403857
ProS_L,0.571614737943535
PeEc_L,0.779109502141479
STGa_L,0.993257266328625
PBelt_L,0.947827664484008
A5_L,0.164110773208504
PHA1_L,0.996475060251485
PHA3_L,0.986858575845919
STSda_L,0.864557720438387
STSdp_L,0.0006330407489905
