,V1
V1_L,0.940696643208763
MST_L,0.873726402153149
V6_L,0.930266147176552
V2_L,0.463247699894808
V3_L,0.393349595840356
V4_L,0.0325601236577711
V8_L,0.910517724805239
_4_L,0.0223995313616362
_3b_L,0.724491372933005
FEF_L,0.273946959934488
PEF_L,0.144303889066164
_55b_L,0.996969344495068
V3A_L,0.752557454603566
RSC_L,0.0565695770661976
POS2_L,0.0626911890044538
V7_L,0.980579238749544
IPS1_L,0.398648910241508
FFC_L,0.545546103295219
V3B_L,0.0474655143931583
LO1_L,0.993809747487185
LO2_L,0.550493241116648
PIT_L,0.980710032152112
MT_L,0.586357951866437
A1_L,0.95097238628036
PSL_L,0.997475346470389
SFL_L,0.984873243790356
PCV_L,0.992870303659909
STV_L,0.882219651552367
_7Pm_L,0.901834409833441
_7m_L,0.286735369034784
POS1_L,0.946334983185655
_23d_L,0.754549233522459
v23ab_L,0.986009672053784
d23ab_L,0.876049530439371
_31pv_L,0.0355907108637415
_5m_L,0.128652103572901
_5mv_L,0.12808792256066
_23c_L,0.980067776848398
_5L_L,0.992575013010478
_24dd_L,0.0046433336757316
_24dv_L,0.950089995895362
_7AL_L,0.0650444230138897
SCEF_L,0.0083497508563183
_6ma_L,0.711110612388696
_7Am_L,0.0006012468970185
_7Pl_L,0.992360370772893
_7PC_L,0.971600694595705
LIPv_L,0.235888204397973
VIP_L,0.981798604909142
MIP_L,0.29717847129914
_1_L,0.922253405039027
_2_L,0.688770350645077
_3a_L,0.941784859775922
_6d_L,0.541481644975428
_6mp_L,0.527360321344094
_6v_L,0.0032285402673459
p24pr_L,0.262358808355399
_33pr_L,0.969380251590292
a24pr_L,0.155580618594572
p32pr_L,0.939600970046917
a24_L,0.444385592198654
d32_L,0.579526961819798
_8BM_L,0.527440682531385
p32_L,0.935884077136425
_10r_L,0.440763155223438
_47m_L,0.508678066012043
_8Av_L,0.494165729778993
_8Ad_L,0.786109112796329
_9m_L,0.818070017969964
_8BL_L,0.989113967244124
_9p_L,0.978034792481242
_10d_L,0.945851625211407
_8C_L,0.703478674291215
_44_L,0.916034758763556
_45_L,0.198131027651355
_47l_L,0.998363519364475
a47r_L,0.53077835475923
_6r_L,0.572841085785359
IFJa_L,0.907679292759374
IFJp_L,0.041071748531901
IFSp_L,0.437015283591715
IFSa_L,0.926631744548189
p9Y46v_L,0.754660205161092
_46_L,0.59518891175938
a9Y46v_L,0.642258864433902
_9Y46d_L,0.166439188474397
_9a_L,0.884115065846357
_10v_L,0.538606819485207
a10p_L,0.465607605819465
_10pp_L,0.966737003171027
_11l_L,0.790960393215175
_13l_L,0.975488813959503
OFC_L,0.0234652442035425
_47s_L,0.0107629065020503
LIPd_L,0.974788888692187
_6a_L,0.870267529182959
i6Y8_L,0.960827234359668
s6Y8_L,0.954179291233342
_43_L,0.932281257070078
OP4_L,0.845023359089368
OP1_L,0.918682968147508
OP2Y3_L,0.833439562113715
_52_L,0.789037827586702
RI_L,0.991509453613675
PFcm_L,0.981867207345126
PoI2_L,0.566808561597603
TA2_L,0.975732881428776
FOP4_L,0.969111490274006
MI_L,0.518854540918438
Pir_L,0.975493343619313
AVI_L,0.71924468973791
AAIC_L,0.992077786391284
FOP1_L,0.962040256238206
FOP3_L,0.013733826060834
FOP2_L,0.62457013005415
PFt_L,0.220931190813571
AIP_L,0.753491052167378
EC_L,0.0378882480829469
PreS_L,0.794719071373735
H_L,0.186743870815626
ProS_L,0.844807861795397
PeEc_L,0.145618642117442
STGa_L,0.714435405788787
PBelt_L,0.717798814684762
A5_L,0.905583105778957
PHA1_L,0.999185678787444
PHA3_L,0.711777440020856
STSda_L,0.112709404477253
STSdp_L,0.628700684697943
STSvp_L,0.586953526594079
TGd_L,0.141309158770578
TE1a_L,0.986537187044797
TE1p_L,0.921318466538606
TE2a_L,0.961718313040628
TF_L,0.62970887944944
TE2p_L,0.892666660416892
PHT_L,0.918030292142753
PH_L,0.969256203426329
TPOJ1_L,0.892476195352315
TPOJ2_L,0.928564094060433
TPOJ3_L,0.93523688808321
DVT_L,0.96298458092854
PGp_L,0.740348292283965
IP2_L,0.85968167462984
IP1_L,0.965252487606673
IP0_L,0.999444695154962
PFop_L,0.348446826328729
PF_L,0.0288108182108006
PFm_L,0.147984675626048
PGi_L,0.551453616978791
PGs_L,0.358583429638167
V6A_L,0.878868716090796
VMV1_L,0.318925541966807
VMV3_L,0.821857970608621
PHA2_L,0.302107491489522
V4t_L,0.573306438692077
FST_L,0.474839537285694
V3CD_L,0.329156447506198
LO3_L,0.985849835209567
VMV2_L,0.238122262203684
_31pd_L,0.61136242214649
_31a_L,0.555725699525241
VVC_L,0.924402204214449
_25_L,0.78587975405262
s32_L,0.785552966484835
pOFC_L,0.775181873729075
PoI1_L,0.636428854070348
Ig_L,0.110223024669098
FOP5_L,0.383302468732614
p10p_L,0.241392746540437
p47r_L,0.208553487538738
TGv_L,0.906842030710345
MBelt_L,0.61426895058548
LBelt_L,0.0582865197300636
A4_L,0.97654419021438
STSva_L,0.0480862805225162
TE1m_L,0.962970742768484
PI_L,0.192752969563694
a32pr_L,0.854685895318361
p24_L,0.0107559191567966
V1_R,0.666685308085617
MST_R,0.994431756057323
V6_R,0.495575748076588
V2_R,0.557504346343086
V3_R,0.115530118781577
V4_R,0.605382302250284
V8_R,0.0676063300102615
_4_R,0.0714763342089399
_3b_R,0.846347848905427
FEF_R,0.0598362289200052
PEF_R,0.196802489200687
_55b_R,0.874304081151436
V3A_R,0.0923519692147442
RSC_R,0.240962581928927
POS2_R,0.494993683122978
V7_R,0.0040707079610612
IPS1_R,0.627308749438316
FFC_R,0.934365788752489
V3B_R,0.924455442597062
LO1_R,0.555205862226585
LO2_R,0.756016568275951
PIT_R,0.74451263705794
MT_R,0.436548336866502
A1_R,0.77166205329512
PSL_R,0.141177659681263
SFL_R,0.917744350204829
PCV_R,0.619679085391837
STV_R,0.928010245867392
_7Pm_R,0.0060128089710958
_7m_R,0.146781869487843
POS1_R,0.968786501624784
_23d_R,0.295103683318322
v23ab_R,0.928079572078997
d23ab_R,0.0003944558825877
_31pv_R,0.680432964315859
_5m_R,0.005790464392891
_5mv_R,0.201391178706651
_23c_R,0.670609068262764
_5L_R,0.317325520944642
_24dd_R,0.979447742201184
_24dv_R,0.53669359050339
_7AL_R,0.953147193102091
SCEF_R,0.28531720397212
_6ma_R,0.97520677996431
_7Am_R,0.0380900116633827
_7Pl_R,0.966208471706577
_7PC_R,0.0361012998470177
LIPv_R,0.741803469627992
VIP_R,0.983719854850881
MIP_R,0.0782844698055187
_1_R,0.988029386549526
_2_R,0.455506514686321
_3a_R,0.937571901720749
_6d_R,0.270077781902214
_6mp_R,0.697064762946511
_6v_R,0.000428755920962
p24pr_R,0.199069981160571
_33pr_R,0.0789838465412312
a24pr_R,0.236893282947038
p32pr_R,0.203352096997378
a24_R,0.350837251850803
d32_R,0.918767080944948
_8BM_R,0.94646521107201
p32_R,0.380697488602712
_10r_R,0.443500521128098
_47m_R,0.950686209788882
_8Av_R,0.884851921507555
_8Ad_R,0.787566757260635
_9m_R,0.164669290152455
_8BL_R,0.919425872049936
_9p_R,0.94290083353861
_10d_R,0.0207434428210668
_8C_R,0.109260047683582
_44_R,0.887289048374198
_45_R,0.985927309767992
_47l_R,0.767123036830482
a47r_R,0.944484283618154
_6r_R,0.001932615613043
IFJa_R,0.999625722241391
IFJp_R,0.992397032727718
IFSp_R,0.914948525682258
IFSa_R,0.57275164612322
p9Y46v_R,0.700939439639952
_46_R,0.949454371671862
a9Y46v_R,0.990564332630781
_9Y46d_R,0.481843142714599
_9a_R,0.952961177590844
_10v_R,0.286281729693234
a10p_R,0.27805482743664
_10pp_R,0.81881734963703
_11l_R,0.0139634435630004
_13l_R,0.360566116984478
OFC_R,0.595234155389054
_47s_R,0.806200194710974
LIPd_R,0.0001061252834918
_6a_R,0.661290085782939
i6Y8_R,0.990044826592798
s6Y8_R,0.203443166447601
_43_R,0.997881552097733
OP4_R,0.942445323142871
OP1_R,0.64943598563948
OP2Y3_R,0.0822285223957287
_52_R,0.436918420455925
RI_R,0.528638937229006
PFcm_R,0.941179471656978
PoI2_R,0.536611854433352
TA2_R,0.0321939501879474
FOP4_R,0.997965150756381
MI_R,0.991758207737467
Pir_R,0.8687233962377
AVI_R,0.986698777030373
AAIC_R,0.998431316955391
FOP1_R,0.996353856833449
FOP3_R,0.157246699927883
FOP2_R,0.999707675002255
PFt_R,0.873881933695523
AIP_R,0.000933723483362
