,V1
V1_L,0.230728147605541
MST_L,0.142058949065399
V6_L,0.942222095927482
V2_L,0.392182445036619
V3_L,0.376026380525917
V4_L,0.321826732143887
V8_L,0.0961353198109915
_4_L,0.997373635110922
_3b_L,0.765178525918777
FEF_L,0.765168515192125
PEF_L,0.946948076873776
_55b_L,0.791394244122204
V3A_L,0.949436383953998
RSC_L,0.778249875576586
POS2_L,0.937168450730039
V7_L,0.965374055264677
IPS1_L,0.999567899925391
FFC_L,0.332314983431424
V3B_L,0.935257999924033
LO1_L,0.480007804794855
LO2_L,0.263814138854324
PIT_L,0.842415134646628
MT_L,0.224307838477342
A1_L,0.873943813759865
PSL_L,0.877409226536084
SFL_L,0.538303766191571
PCV_L,0.968084792566875
STV_L,0.694582905459242
_7Pm_L,0.993287077746592
_7m_L,0.101297947797676
POS1_L,0.920744562372369
_23d_L,0.970636529875186
v23ab_L,0.703872405537618
d23ab_L,0.323282685809035
_31pv_L,0.122201613816867
_5m_L,0.78103134028686
_5mv_L,0.986535436736666
_23c_L,0.112138078204789
_5L_L,0.711029009680397
_24dd_L,0.163327054287364
_24dv_L,0.797800445960809
_7AL_L,0.040889220034282
SCEF_L,0.324575727602986
_6ma_L,0.969376326345749
_7Am_L,0.44700010615042
_7Pl_L,0.561720127186246
_7PC_L,0.9387177954549
LIPv_L,0.570232504247629
VIP_L,0.916062498177895
MIP_L,4.39184245977099e-05
_1_L,0.898483024957849
_2_L,0.985091880472219
_3a_L,0.947829959129512
_6d_L,0.948732654344624
_6mp_L,0.0434549077517223
_6v_L,0.852580354347994
p24pr_L,0.0571747515595716
_33pr_L,0.985137430029905
a24pr_L,0.807243338726789
p32pr_L,0.610007463222442
a24_L,0.0596333072315012
d32_L,0.819775972024322
_8BM_L,0.0146378334096032
p32_L,0.161188596843043
_10r_L,0.0729973453260626
_47m_L,0.0187491890787151
_8Av_L,0.98726733439124
_8Ad_L,0.935713351487577
_9m_L,0.780184633917631
_8BL_L,0.76666975187521
_9p_L,0.892623096510621
_10d_L,0.362862740944063
_8C_L,0.937372119309244
_44_L,0.980200749566491
_45_L,0.820431830475513
_47l_L,0.147829609440694
a47r_L,0.853942638900131
_6r_L,0.848691096237789
IFJa_L,0.921015034018727
IFJp_L,0.356324270816294
IFSp_L,0.0015438570605925
IFSa_L,0.998493239054098
p9Y46v_L,0.860018600639615
_46_L,0.834651403388398
a9Y46v_L,0.977729546311049
_9Y46d_L,0.98976058981889
_9a_L,0.918177320526758
_10v_L,0.0569831540921785
a10p_L,0.815814095847694
_10pp_L,0.888427992964304
_11l_L,0.920143256549372
_13l_L,0.0095462672028012
OFC_L,0.886672419617246
_47s_L,0.929938580340304
LIPd_L,0.707315859621005
_6a_L,0.89661211461709
i6Y8_L,0.955342630303859
s6Y8_L,0.836819290030781
_43_L,0.874226761659175
OP4_L,0.852517839246192
OP1_L,0.833134036767003
OP2Y3_L,0.0171194842844903
_52_L,0.0676480589952411
RI_L,0.921343483539038
PFcm_L,0.833186953931655
PoI2_L,0.691256933317132
TA2_L,0.979215846537214
FOP4_L,0.34836909466953
MI_L,0.877350697460598
Pir_L,0.803267690449965
AVI_L,0.966110475568718
AAIC_L,0.930614918043674
FOP1_L,0.633023275673938
FOP3_L,0.196123354032829
FOP2_L,0.0183898596475173
PFt_L,0.89683812970673
AIP_L,0.878019780748915
EC_L,0.85515240210017
PreS_L,0.803273461310872
H_L,0.756066595725133
ProS_L,0.837027193543518
PeEc_L,0.82447724360709
STGa_L,0.670535671734185
PBelt_L,0.984415702261357
A5_L,0.101615000462074
PHA1_L,0.850122319157171
PHA3_L,0.836699270350424
STSda_L,0.503812890346405
STSdp_L,0.0046074314673961
STSvp_L,0.73220387612786
TGd_L,0.392721410044941
TE1a_L,0.871503527069678
TE1p_L,0.835055716124358
TE2a_L,0.54894116631638
TF_L,0.806042024494306
TE2p_L,0.897412824942944
PHT_L,0.814404702830363
PH_L,0.506043539032016
TPOJ1_L,0.0406770128973936
TPOJ2_L,0.834221701998528
TPOJ3_L,0.984285302606355
DVT_L,0.65907597197928
PGp_L,0.471395191661745
IP2_L,0.991059571138186
IP1_L,0.986050159256444
IP0_L,0.765371279649385
PFop_L,0.816220281057209
PF_L,0.937869680850081
PFm_L,0.29838111803079
PGi_L,0.738621996508204
PGs_L,0.94983619044314
V6A_L,0.490330158973996
VMV1_L,0.212999754119102
VMV3_L,0.93391866738652
PHA2_L,0.487497137847397
V4t_L,0.543068629964134
FST_L,0.931201108156387
V3CD_L,0.541213467983037
LO3_L,0.869971691759985
VMV2_L,0.528452038006631
_31pd_L,0.0023120446732763
_31a_L,0.17967696547779
VVC_L,0.163382653073712
_25_L,0.916379910815374
s32_L,0.684556727971689
pOFC_L,0.922900983300043
PoI1_L,0.148500348254507
Ig_L,0.561465954272866
FOP5_L,0.244518279621634
p10p_L,0.997063563088995
p47r_L,0.0900970321686905
TGv_L,0.0164745653204963
MBelt_L,0.94672868063117
LBelt_L,0.0128379057969277
A4_L,0.0003222127936693
STSva_L,0.984397923176611
TE1m_L,0.178630640425026
PI_L,0.757075048154
a32pr_L,0.0069292473617257
p24_L,0.473648715940001
V1_R,0.441619046918395
MST_R,0.921247938936839
V6_R,0.995482238296732
V2_R,0.313305035943844
V3_R,0.905929274791996
V4_R,0.998717632823307
V8_R,0.374883568087673
_4_R,0.0002754213958274
_3b_R,0.821867935460058
FEF_R,0.869872332312381
PEF_R,0.769977014718913
_55b_R,0.904292870860615
V3A_R,0.0598897782069465
RSC_R,0.681569239505308
POS2_R,0.536069480192947
V7_R,0.037590984282375
IPS1_R,0.438424133217392
FFC_R,0.9388769270872
V3B_R,0.770667140986428
LO1_R,0.926757415241937
LO2_R,0.962971960532134
PIT_R,0.5062612211158
MT_R,0.93744605038262
A1_R,0.303860495851501
PSL_R,0.972083932287369
SFL_R,0.790424812547763
PCV_R,0.899313024817144
STV_R,0.738268603454662
_7Pm_R,0.114229904758443
_7m_R,0.454765622594085
POS1_R,0.0208825297363128
_23d_R,0.849409511510762
v23ab_R,0.946099999921665
d23ab_R,0.664399247836308
_31pv_R,0.369638737037132
_5m_R,0.812784030008253
_5mv_R,0.645676778216868
_23c_R,0.678967477796859
_5L_R,0.885986571982828
_24dd_R,0.861309806215298
_24dv_R,0.80141061694941
_7AL_R,0.73739516387279
SCEF_R,0.964372932565374
_6ma_R,0.933088988055307
_7Am_R,0.717814774740365
_7Pl_R,0.130255320195331
_7PC_R,0.438811232812423
LIPv_R,0.992876049714926
VIP_R,0.869063678630092
MIP_R,0.251319483714099
_1_R,0.978464204793518
_2_R,0.406483220039848
_3a_R,0.929111164294233
_6d_R,0.893647523685256
_6mp_R,0.124606899860563
_6v_R,0.991037325410706
p24pr_R,0.817938759077422
_33pr_R,0.849937785660962
a24pr_R,0.0332006937634165
p32pr_R,0.811977558756804
a24_R,0.892786407019316
d32_R,0.104807326456834
_8BM_R,0.980097453818322
p32_R,0.657214932353783
_10r_R,0.914310240181276
_47m_R,0.829716763416498
