,V1
V1_L,0.89576929738047
MST_L,0.98515434447111
V6_L,0.0257076240247268
V2_L,0.93406007142963
V3_L,0.99786915322277
V4_L,0.995126417667311
V8_L,0.68995945329426
_4_L,0.997941661826396
_3b_L,0.300660690826169
FEF_L,0.636846705693394
PEF_L,0.525594795042527
_55b_L,0.993831334530231
V3A_L,0.898748712057502
RSC_L,0.351899661044814
POS2_L,0.194442321942908
V7_L,0.904718105861166
IPS1_L,0.960247538521219
FFC_L,0.487839720767295
V3B_L,0.99546662885461
LO1_L,0.911581234561894
LO2_L,0.995497211089012
PIT_L,0.579735448749693
MT_L,0.836811878143796
A1_L,0.321336628684265
PSL_L,0.201318630040795
SFL_L,0.881209907949081
PCV_L,0.0079332683034836
STV_L,0.894087182262401
_7Pm_L,0.0903065958241448
_7m_L,0.0186173254538937
POS1_L,0.652886113759059
_23d_L,0.515266669954346
v23ab_L,0.791306782711795
d23ab_L,0.611988854779812
_31pv_L,0.573537115200811
_5m_L,0.976546182709588
_5mv_L,0.668319139195359
_23c_L,0.129723425865601
_5L_L,0.617205472934073
_24dd_L,0.993606815934463
_24dv_L,0.0337421118216908
_7AL_L,0.0346686881188201
SCEF_L,0.887425181778428
_6ma_L,0.613949164996788
_7Am_L,0.0757147199458184
_7Pl_L,0.885766301620776
_7PC_L,0.982330814191841
LIPv_L,0.914917350877035
VIP_L,0.981722435717263
MIP_L,0.862373089440037
_1_L,0.998638519277105
_2_L,0.783656521084965
_3a_L,0.788729087090111
_6d_L,0.829633984307533
_6mp_L,0.472076994014853
_6v_L,0.353444653427749
p24pr_L,0.275160309487202
_33pr_L,0.994232979823451
a24pr_L,0.950478427526068
p32pr_L,0.632070676060408
a24_L,0.23563267211645
d32_L,0.084233640241444
_8BM_L,0.542366947440179
p32_L,0.929174825424568
_10r_L,0.346875138357995
_47m_L,0.565777451874196
_8Av_L,0.615080657354365
_8Ad_L,0.349688412566124
_9m_L,0.200204874767998
_8BL_L,0.788191796183192
_9p_L,0.975964343649119
_10d_L,0.130041281116948
_8C_L,0.0525016462051148
_44_L,0.437773217414967
_45_L,0.149918958724951
_47l_L,0.755617445389328
a47r_L,0.895961884703419
_6r_L,0.887984462290689
IFJa_L,0.995399788595789
IFJp_L,0.981185619426961
IFSp_L,0.911952012504428
IFSa_L,0.0024888195020654
p9Y46v_L,0.477227625126491
_46_L,0.0956988106055323
a9Y46v_L,0.382446103148176
_9Y46d_L,0.561778737874475
_9a_L,0.526492624712322
_10v_L,0.708004629067305
a10p_L,0.69234346248386
_10pp_L,0.613035153995065
_11l_L,0.797427362069143
_13l_L,0.0425785941346281
OFC_L,0.906987913140188
_47s_L,0.824617816753896
LIPd_L,0.982217666917972
_6a_L,0.973294124534704
i6Y8_L,0.483440113194228
s6Y8_L,0.954190625362205
_43_L,0.836367547235389
OP4_L,0.871578402953316
OP1_L,0.10952969842603
OP2Y3_L,0.584789689399869
_52_L,0.0060712626106751
RI_L,0.837851618527342
PFcm_L,0.741038764740547
PoI2_L,0.947420768649463
TA2_L,0.013114506826527
FOP4_L,0.924629213986557
MI_L,0.932036456435605
Pir_L,0.960310608606786
AVI_L,0.744900457248625
AAIC_L,0.927538341960153
FOP1_L,0.396920128022679
FOP3_L,0.601608352022768
FOP2_L,0.41564306427774
PFt_L,0.0333647211940792
AIP_L,0.958861917095934
EC_L,0.206923940821763
PreS_L,0.312489998367008
H_L,0.84216286952593
ProS_L,0.760227397414786
PeEc_L,0.853099775609291
STGa_L,0.7361684762953
PBelt_L,0.342947576398171
A5_L,0.967183945888163
PHA1_L,0.440413951077182
PHA3_L,0.245495415329872
STSda_L,0.892786682254676
STSdp_L,0.972122413284686
STSvp_L,0.794898268055725
TGd_L,0.355934502695546
TE1a_L,0.964062211391593
TE1p_L,0.734626308813604
TE2a_L,0.807163443200416
TF_L,0.151429324252703
TE2p_L,0.27101231036095
PHT_L,0.97438854192197
PH_L,0.797392181678874
TPOJ1_L,0.872660056038032
TPOJ2_L,0.147457084813511
TPOJ3_L,0.875829962110415
DVT_L,0.988955211769398
PGp_L,0.713368138648321
IP2_L,0.580321386367236
IP1_L,0.501408855290328
IP0_L,0.839819811547724
PFop_L,0.977996491896976
PF_L,0.369138077350844
PFm_L,0.119497820254581
PGi_L,0.978608266704842
PGs_L,0.993776435662658
V6A_L,0.0054251986672518
VMV1_L,0.670488880286184
VMV3_L,0.190339180848666
PHA2_L,0.503181087518298
V4t_L,0.0241790237334698
FST_L,0.943722414496121
V3CD_L,0.91883332439746
LO3_L,0.999581690697686
VMV2_L,0.264040209386842
_31pd_L,0.0154680531945146
_31a_L,0.849963067822449
VVC_L,0.288619031799666
_25_L,0.0879725348462741
s32_L,0.152043248207127
pOFC_L,0.322435566178879
PoI1_L,0.936574670408688
Ig_L,0.527354221095529
FOP5_L,0.532477172228923
p10p_L,0.278907489161208
p47r_L,0.431252652874364
TGv_L,0.316787777497656
MBelt_L,0.988187552389485
LBelt_L,0.0512545259903363
A4_L,0.413105484195538
STSva_L,0.559229310408035
TE1m_L,0.941609135317663
PI_L,0.490114275800847
a32pr_L,0.966425398219333
p24_L,0.273700236497747
V1_R,0.833738803819773
MST_R,0.21271975915175
V6_R,0.975432886296908
V2_R,0.974697302268924
V3_R,0.981253107150271
V4_R,0.0620256786251157
V8_R,0.421589955947153
_4_R,0.731659984288014
_3b_R,0.007087408683014
FEF_R,0.0393533550573992
PEF_R,0.384571792486791
_55b_R,0.17297241017637
V3A_R,0.0480286148959829
RSC_R,0.535737988773847
POS2_R,0.45302877924147
V7_R,0.106004560660964
IPS1_R,0.0157948573793885
FFC_R,0.538467865952212
V3B_R,0.0383812669378881
LO1_R,0.927971172335564
LO2_R,0.209552944878151
PIT_R,0.431011649192629
MT_R,0.0105680091387293
A1_R,0.430674116037915
PSL_R,0.298280182438345
SFL_R,0.900109127528452
PCV_R,0.945985617041881
STV_R,0.769492875932072
_7Pm_R,0.235880043027157
