,V1
V1_L,0.691268939068426
MST_L,0.542435305352831
V6_L,0.99844215696538
V2_L,0.025534693281238
V3_L,0.311242285960728
V4_L,0.916002187211402
V8_L,0.0096711782378281
_4_L,0.96451757272837
_3b_L,0.820926087882445
FEF_L,0.66632137585677
PEF_L,0.0836844787213362
_55b_L,0.913254209126358
V3A_L,0.675618299656437
RSC_L,0.823668393240522
POS2_L,0.0783053732943489
V7_L,0.951984616948813
IPS1_L,0.115033797684086
FFC_L,0.104647952899364
V3B_L,0.974658032743365
LO1_L,0.0797755632414697
LO2_L,0.987703658502545
PIT_L,0.99176511779863
MT_L,0.883061805146382
A1_L,0.946265229232245
PSL_L,0.806637463207581
SFL_L,0.575203597498099
PCV_L,0.94668139087841
STV_L,0.970212413376975
_7Pm_L,0.982799710053588
_7m_L,0.276988582180468
POS1_L,0.017773788651503
_23d_L,0.995708396390502
v23ab_L,0.371082183882826
d23ab_L,0.0794349998817551
_31pv_L,0.30264538025082
_5m_L,0.0843587567467019
_5mv_L,0.995635221970568
_23c_L,0.994589094031824
_5L_L,0.0014204976248199
_24dd_L,0.365572596970892
_24dv_L,0.876292143707593
_7AL_L,0.461727294119136
SCEF_L,0.0103987304120405
_6ma_L,0.933362496605561
_7Am_L,0.980572573745613
_7Pl_L,0.603413053339365
_7PC_L,0.244430840742312
LIPv_L,0.931536337972514
VIP_L,0.977174353519097
MIP_L,0.752047261646973
_1_L,0.905808406568213
_2_L,3.34445795432689e-05
_3a_L,0.991151410396667
_6d_L,0.673983565136497
_6mp_L,0.250268152067926
_6v_L,0.862847625066767
p24pr_L,0.962646181775614
_33pr_L,0.995251810334886
a24pr_L,0.901650466519545
p32pr_L,0.448347580918831
a24_L,0.0359019464777776
d32_L,0.216940226953002
_8BM_L,0.976201174201843
p32_L,0.594703142802113
_10r_L,0.0184904497315991
_47m_L,0.451828016715859
_8Av_L,0.147202717073706
_8Ad_L,0.979884682910273
_9m_L,0.992396484445024
_8BL_L,0.278232791293658
_9p_L,0.932378676192364
_10d_L,0.884984883495862
_8C_L,0.953104690709827
_44_L,0.639297614900201
_45_L,0.776831921653777
_47l_L,0.972805436065402
a47r_L,0.0870446440873791
_6r_L,0.0436340581238111
IFJa_L,0.0919808133379817
IFJp_L,0.772367249377923
IFSp_L,0.905553092389765
IFSa_L,0.994575218117099
p9Y46v_L,0.665883394129162
_46_L,0.490207999675533
a9Y46v_L,0.683276001864126
_9Y46d_L,0.958651469278334
_9a_L,0.993551227459131
_10v_L,0.160389378647
a10p_L,0.233020230886326
_10pp_L,0.884152484590022
_11l_L,0.835774184236407
_13l_L,0.0299719914335661
OFC_L,0.993876190276935
_47s_L,0.0263159856625394
LIPd_L,0.971966574292783
_6a_L,0.545989064002494
i6Y8_L,0.937884083208159
s6Y8_L,0.988012414519076
_43_L,0.908848932012566
OP4_L,0.590368249339017
OP1_L,0.800526023720686
OP2Y3_L,0.486982834757734
_52_L,0.17000107003226
RI_L,0.999351009284729
PFcm_L,0.7748870375421
PoI2_L,0.555096223333613
TA2_L,0.657184685115846
FOP4_L,0.558317156124949
MI_L,0.0008929514325693
Pir_L,0.847470540420222
AVI_L,0.204793190668812
AAIC_L,0.0387294956287521
FOP1_L,0.491151257348671
FOP3_L,0.479635258717739
FOP2_L,0.686120352707446
PFt_L,0.91147551350969
AIP_L,0.435297090183266
EC_L,0.323850869178428
PreS_L,0.780493981514351
H_L,0.486539840425076
ProS_L,0.525556776603669
PeEc_L,0.931872365308822
STGa_L,0.402411603265452
PBelt_L,0.955349235321376
A5_L,0.888893610575874
PHA1_L,0.974593321950934
PHA3_L,0.255700612380588
STSda_L,0.0012004145469051
STSdp_L,0.916002092235318
STSvp_L,0.999297130925272
TGd_L,0.956647088349106
TE1a_L,0.163079227694522
TE1p_L,0.752208901437441
TE2a_L,0.63492446070099
TF_L,0.865665174303572
TE2p_L,0.998453797254365
PHT_L,0.889635698326189
PH_L,0.0028749779383264
TPOJ1_L,0.823666614074047
TPOJ2_L,0.83505135844822
TPOJ3_L,0.969737935445839
DVT_L,0.927657659997376
PGp_L,0.8436684955925
IP2_L,0.883574971817594
IP1_L,0.955948831241658
IP0_L,0.998173725354952
PFop_L,0.816521283938759
PF_L,0.83968536036832
PFm_L,0.0340169499350237
PGi_L,0.847120606884067
PGs_L,0.162508371985565
V6A_L,0.572163312666796
