,V1
V1_L,0.978904935049959
MST_L,0.993701318409928
V6_L,0.283078372327746
V2_L,0.893819275432197
V3_L,0.96302437920052
V4_L,0.998246636875599
V8_L,0.73221164010108
_4_L,0.99969712201188
_3b_L,0.26645820263431
FEF_L,0.000323157292049
PEF_L,0.507510783213352
_55b_L,0.999989688730059
V3A_L,0.69356353217464
RSC_L,0.453227957937881
POS2_L,0.055869636076584
V7_L,0.889254098189974
IPS1_L,0.914896894356507
FFC_L,0.593760687415311
V3B_L,0.99472085487757
LO1_L,0.830866428252501
LO2_L,0.999772687845357
PIT_L,0.981385278731871
MT_L,0.927671111388288
A1_L,0.732711478881454
PSL_L,0.704628999945155
SFL_L,0.686848887696434
PCV_L,0.0191079343014811
STV_L,0.657703230561296
_7Pm_L,0.185951546414279
_7m_L,0.0915833225176797
POS1_L,0.726095704903972
_23d_L,0.516032429096553
v23ab_L,0.865538710908234
d23ab_L,0.550460466273985
_31pv_L,0.852807501598325
_5m_L,0.978117226240401
_5mv_L,0.783512174525123
_23c_L,0.671567830071774
_5L_L,0.328490842568811
_24dd_L,0.834928704096569
_24dv_L,0.0394220270464448
_7AL_L,0.934882785839725
SCEF_L,0.760705014332285
_6ma_L,0.591673407325361
_7Am_L,0.0058042788605065
_7Pl_L,0.938857340051328
_7PC_L,0.978599237909827
LIPv_L,0.906169316410079
VIP_L,0.951301948130383
MIP_L,0.70427528535705
_1_L,0.996052112155598
_2_L,0.876223031459318
_3a_L,0.593946505608097
_6d_L,0.894107173598975
_6mp_L,0.449176013380695
_6v_L,0.772079292979545
p24pr_L,0.337054569554265
_33pr_L,0.993096786919625
a24pr_L,0.314923521901126
p32pr_L,0.821884985769991
a24_L,0.145250415681199
d32_L,0.0985156766540193
_8BM_L,0.609530155959317
p32_L,0.841221094211162
_10r_L,0.219909185464324
_47m_L,0.318282162454757
_8Av_L,0.938430292228645
_8Ad_L,0.876254716595819
_9m_L,0.288700653334248
_8BL_L,0.948893657734394
_9p_L,0.884104651323336
_10d_L,0.232932793829007
_8C_L,0.0074417293137802
_44_L,0.672904103383834
_45_L,0.137399240058317
_47l_L,0.833976681042749
a47r_L,0.791934551021371
_6r_L,0.886097453825613
IFJa_L,0.994462774454924
IFJp_L,0.959211685296037
IFSp_L,0.949702481807197
IFSa_L,0.0329424963706192
p9Y46v_L,0.665549693681872
_46_L,0.680237203654036
a9Y46v_L,0.369024664445954
_9Y46d_L,0.584433841368283
_9a_L,0.632260734766319
_10v_L,0.827029591889529
a10p_L,0.858073305869806
_10pp_L,0.732943369168405
_11l_L,0.881356557071204
_13l_L,0.0873248833990528
OFC_L,0.507342256742765
_47s_L,0.934461684292279
LIPd_L,0.961455033473805
_6a_L,0.914191594869157
i6Y8_L,0.21263234350881
s6Y8_L,0.613789193109993
_43_L,0.942628491465573
OP4_L,0.89310627957466
OP1_L,0.0058846843007347
OP2Y3_L,0.183685449460747
_52_L,0.97987434890614
RI_L,0.811352461591248
PFcm_L,0.002110042346266
PoI2_L,0.893893492285264
TA2_L,0.0116443394957876
FOP4_L,0.991157008129423
MI_L,0.916254663832922
Pir_L,0.897711424847748
AVI_L,0.677606802724279
AAIC_L,0.928676077811826
FOP1_L,0.979110988507955
FOP3_L,0.845231738792229
FOP2_L,0.0523477434897307
PFt_L,0.0585567851051946
AIP_L,0.886214999750353
EC_L,0.20882393199688
PreS_L,0.353044690777905
H_L,0.915248591627023
ProS_L,0.896922148482155
PeEc_L,0.926936568462162
STGa_L,0.715022589562299
PBelt_L,0.208581781112116
A5_L,0.983802503408594
PHA1_L,0.570790293251908
PHA3_L,0.279358247826906
STSda_L,0.775896242039953
STSdp_L,0.460882615511728
STSvp_L,0.515577718380055
TGd_L,0.42950014019263
TE1a_L,0.897028254972831
TE1p_L,0.671862821206394
TE2a_L,0.863466577352989
TF_L,0.246118166681503
TE2p_L,0.455735515544112
PHT_L,0.948563785015667
PH_L,0.729062051693791
TPOJ1_L,0.859662671803158
TPOJ2_L,0.24475502142908
TPOJ3_L,0.949932283554641
DVT_L,0.888028782003051
PGp_L,0.950952821217092
IP2_L,0.673542041592882
IP1_L,0.634335515672189
IP0_L,0.222090542897879
PFop_L,0.995008920583125
PF_L,0.986010401704879
PFm_L,0.0366629423112282
PGi_L,0.957065324430999
PGs_L,0.956617929496829
V6A_L,0.199007776929496
VMV1_L,0.692867873508371
VMV3_L,0.103563942698434
PHA2_L,0.852970979587661
V4t_L,0.0235650887935761
FST_L,0.986097880758103
V3CD_L,0.882417787406657
LO3_L,0.999633193530472
VMV2_L,0.423004492388486
_31pd_L,0.524906362538704
_31a_L,0.820059542099156
VVC_L,0.276245083206423
_25_L,0.0337529293239146
s32_L,0.151404779557934
pOFC_L,0.624240055780827
PoI1_L,0.918984305958808
Ig_L,0.664761116803385
FOP5_L,0.567950115209002
p10p_L,0.431058647216038
p47r_L,0.933679526673929
TGv_L,0.323263412258452
MBelt_L,0.963546107781094
LBelt_L,0.0505343418173402
A4_L,0.0720815869238842
STSva_L,0.982150965061098
TE1m_L,0.795292429376401
PI_L,0.416084647581719
a32pr_L,0.785714589524553
p24_L,0.219982664578397
V1_R,0.825649944127472
MST_R,0.127824687306049
V6_R,0.962012847176722
V2_R,0.885588533683468
V3_R,0.966874825238111
V4_R,0.0555566464643372
V8_R,0.435184233348818
_4_R,0.750632523612649
_3b_R,0.167831567800248
FEF_R,0.188589573669304
PEF_R,0.317320947762357
_55b_R,0.171254468743958
V3A_R,0.0938572841733264
RSC_R,0.594117813470553
POS2_R,0.830054562918294
V7_R,0.0948791788969024
IPS1_R,0.0206915312633009
FFC_R,0.501359332532069
V3B_R,0.0024716631265422
LO1_R,0.0711846829649358
LO2_R,0.803514921476388
PIT_R,0.296250888060592
MT_R,0.707352350703177
A1_R,0.742684576626732
PSL_R,0.395311475767166
SFL_R,0.909053698042161
PCV_R,0.911128750569004
STV_R,0.999400506954007
_7Pm_R,0.0936144395901389
_7m_R,0.38406387997191
POS1_R,0.968874950497503
_23d_R,0.940558969194709
v23ab_R,0.492705999269641
d23ab_R,0.922746164410663
_31pv_R,0.665719477851641
_5m_R,0.979840485702254
_5mv_R,0.535405747269498
_23c_R,0.642405206417112
_5L_R,0.997570412357499
_24dd_R,0.9230314467848
_24dv_R,0.743175597349499
_7AL_R,0.888430189685752
SCEF_R,3.41978208486459e-05
_6ma_R,0.540901927531099
_7Am_R,0.210035735304334
_7Pl_R,0.9651160311194
_7PC_R,0.208847814286753
LIPv_R,0.774770035390177
VIP_R,0.831229283279589
MIP_R,0.164082537449213
_1_R,0.71231439864779
_2_R,0.736426489476147
_3a_R,0.633564184661401
_6d_R,0.456795891672481
_6mp_R,0.655013405285861
_6v_R,0.397257425837077
p24pr_R,0.359449727227231
_33pr_R,0.0019674163659476
a24pr_R,0.549283784830016
p32pr_R,0.891524194717745
a24_R,0.644079316606293
d32_R,0.0764415592559534
_8BM_R,0.28157744672598
p32_R,0.11639887953939
_10r_R,0.690525307762795
_47m_R,0.998723644368847
_8Av_R,0.399021550912742
_8Ad_R,0.939114908941612
_9m_R,0.99514187007087
_8BL_R,0.548896778297175
_9p_R,0.798968453239283
_10d_R,0.341248842087175
_8C_R,0.402374109860969
_44_R,0.849846420647476
_45_R,0.318037277557833
_47l_R,0.102912704262312
a47r_R,0.0233693601130269
_6r_R,0.0092784441268601
IFJa_R,0.939211469431443
IFJp_R,0.934163825571095
IFSp_R,0.612428941341925
IFSa_R,0.768653035315749
p9Y46v_R,0.640364034681892
_46_R,0.593251876648913
a9Y46v_R,0.528802740309915
_9Y46d_R,0.67752485653886
_9a_R,0.85515689645103
_10v_R,0.196557926790084
a10p_R,0.805177340980136
_10pp_R,0.0069730312154477
_11l_R,0.0006247438256614
_13l_R,0.0048256993250159
OFC_R,0.845081501066756
_47s_R,0.901834253530727
LIPd_R,0.974915893505279
_6a_R,0.152237372563777
i6Y8_R,0.0912915181430776
s6Y8_R,0.907074948125422
_43_R,0.71226296848682
OP4_R,0.704901538592217
OP1_R,0.144030901829984
OP2Y3_R,0.0501308936675181
_52_R,0.369164769784792
RI_R,0.19638210281184
PFcm_R,0.1012548046976
PoI2_R,0.772648647526555
TA2_R,0.398489523338924
FOP4_R,0.745168586619479
MI_R,0.283836232563521
Pir_R,0.796726594865049
AVI_R,0.411950863634
AAIC_R,0.437917017029197
FOP1_R,0.421533683986807
FOP3_R,0.137980471513933
FOP2_R,0.555630753976392
PFt_R,0.839093902547662
AIP_R,0.331806422220467
EC_R,0.312315754022312
PreS_R,0.485752958861152
H_R,0.622353511225705
ProS_R,0.710253420267799
PeEc_R,0.180802471870828
STGa_R,0.491744791813547
PBelt_R,0.997846820142422
A5_R,0.634645987819078
PHA1_R,0.324201080710897
PHA3_R,0.293707260697606
STSda_R,0.978017887735479
STSdp_R,0.110349236841397
STSvp_R,0.998352298252599
TGd_R,0.113987429494245
TE1a_R,0.253946710372084
TE1p_R,0.607012376752402
TE2a_R,0.294895869216809
TF_R,0.0229339515903342
TE2p_R,0.120027060533569
PHT_R,0.768258784635686
PH_R,0.17208118875166
TPOJ1_R,0.894580824291281
TPOJ2_R,0.909541943941577
TPOJ3_R,0.479751855951328
DVT_R,0.990874751653221
PGp_R,0.507711633589887
IP2_R,0.952952504880926
IP1_R,0.414913303188843
IP0_R,0.972441267487401
PFop_R,0.403795061316129
PF_R,0.248333456028796
PFm_R,0.548045148501955
PGi_R,0.40376537846097
PGs_R,0.91093174619979
V6A_R,0.995258885268811
VMV1_R,0.0190022300843683
VMV3_R,0.181567020034557
PHA2_R,0.288842159329869
V4t_R,0.214054595931297
FST_R,0.704850933032264
V3CD_R,0.158920388109799
LO3_R,0.182868625495707
VMV2_R,0.152429295653721
_31pd_R,0.802984525206342
_31a_R,0.874634388497279
VVC_R,0.17265232677393
_25_R,0.119644772529762
s32_R,0.332273332095327
pOFC_R,0.407452160802351
PoI1_R,0.700433605067744
Ig_R,0.663078949368492
FOP5_R,0.250819332741523
p10p_R,0.801765329434438
p47r_R,0.875349960081403
TGv_R,0.68971958019658
MBelt_R,0.771761503501995
LBelt_R,0.949148854189019
A4_R,0.516722808109446
STSva_R,0.891001554919112
TE1m_R,0.402491528422147
PI_R,0.862275940947537
a32pr_R,0.992745718025027
p24_R,0.0631282939237481
