,V1
V1_L,0.0965054581014333
MST_L,0.0268366709232032
V6_L,0.841736738025665
V2_L,0.0261074592183011
V3_L,0.0141824271489615
V4_L,0.12439126624337
V8_L,0.213854529469922
_4_L,0.159434428494478
_3b_L,0.457299509766072
FEF_L,0.58659892009253
PEF_L,0.911434225791831
_55b_L,0.26086552669344
V3A_L,0.000161221157422
RSC_L,0.657322742744581
POS2_L,0.0018600113270945
V7_L,0.337629520968514
IPS1_L,0.686217274192836
FFC_L,0.84829781679046
V3B_L,0.311246905545988
LO1_L,0.224140455003896
LO2_L,0.995001423684663
PIT_L,0.146399591931579
MT_L,0.735505051291096
A1_L,0.833879413609706
PSL_L,0.678703776233754
SFL_L,0.22673762679615
PCV_L,0.979905754348382
STV_L,0.689891581981144
_7Pm_L,0.132150924135634
_7m_L,0.817454572263438
POS1_L,0.150646860100755
_23d_L,0.544187516148163
v23ab_L,0.290927424486764
d23ab_L,0.435899027337583
_31pv_L,0.0014579546473731
_5m_L,0.816527073043936
_5mv_L,0.0836878180950835
_23c_L,0.129232828953318
_5L_L,0.0211212516278303
_24dd_L,0.542966169807615
_24dv_L,0.872214886745081
_7AL_L,0.142259801282571
SCEF_L,0.983274990677539
_6ma_L,0.0629070073599828
_7Am_L,0.764934529802591
_7Pl_L,0.978604635324177
_7PC_L,0.5145487709517
LIPv_L,0.987636476270333
VIP_L,0.973366650009615
MIP_L,0.0229134046296313
_1_L,0.30176159837623
_2_L,0.210573452692747
_3a_L,0.259632669762938
_6d_L,0.0582930011443803
_6mp_L,0.457151969154857
_6v_L,0.140664547182525
p24pr_L,0.658622692233275
_33pr_L,0.96402041494437
a24pr_L,0.962216383123157
p32pr_L,0.0502116940662407
a24_L,0.997756268857049
d32_L,0.203093129227356
_8BM_L,0.0095175554911872
p32_L,0.429221736612868
_10r_L,0.929436156319687
_47m_L,0.89966131046594
_8Av_L,0.875949388426916
_8Ad_L,0.272314702751488
_9m_L,0.0077145165752861
_8BL_L,0.458090152359216
