,V1
V1_L,0.0861046400234594
MST_L,0.365920195316281
V6_L,0.416997238178058
V2_L,0.301664622706768
V3_L,0.151167926375675
V4_L,0.0
V8_L,0.0
_4_L,3.08997925813069e-44
_3b_L,0.0
FEF_L,4.6248237212678e-11
PEF_L,5.07590017042117e-44
_55b_L,0.271008924291604
V3A_L,0.467721416485387
RSC_L,0.426896829800044
POS2_L,0.331104173691826
V7_L,0.0474915526250418
IPS1_L,0.0763797128896536
FFC_L,0.0436399832571974
V3B_L,1.55163434256817e-41
LO1_L,0.324780989907722
LO2_L,0.162557339606252
PIT_L,0.0244798287136106
MT_L,0.269738754324366
A1_L,0.0056152583186143
PSL_L,2.0951512807970103e-46
SFL_L,0.424558246371219
PCV_L,0.376149051392318
STV_L,0.0
_7Pm_L,0.134416173739724
_7m_L,0.0
POS1_L,0.149954604111579
_23d_L,5.82305097342211e-46
v23ab_L,0.121086178785557
d23ab_L,0.335720013361941
_31pv_L,6.26676809056895e-45
_5m_L,0.083395378350782
_5mv_L,0.123913209053015
_23c_L,0.10907957683357
_5L_L,0.0280603087289669
_24dd_L,0.194129727997127
_24dv_L,0.173774720240158
_7AL_L,0.250079929602889
SCEF_L,0.0
_6ma_L,0.0
_7Am_L,0.0
_7Pl_L,0.03850544017132
_7PC_L,0.0
LIPv_L,1.14999014065353e-10
VIP_L,0.0
MIP_L,2.48395108515441e-46
_1_L,0.370138086715508
_2_L,0.116092843777706
_3a_L,1.28889570192191e-43
_6d_L,0.26185735312647
_6mp_L,0.375083061185903
_6v_L,0.0913785379303746
p24pr_L,0.299986810908468
_33pr_L,0.121004520816879
a24pr_L,0.227931176167937
p32pr_L,1.63892567707442e-44
a24_L,0.256260576159031
d32_L,0.463339352335303
_8BM_L,0.222901529910317
p32_L,0.0142216366597514
_10r_L,0.113230279851688
_47m_L,0.500629657974126
_8Av_L,0.0
_8Ad_L,0.0
_9m_L,0.594639943398161
_8BL_L,0.52568181858733
_9p_L,5.6252554044923294e-12
_10d_L,0.213713808633221
_8C_L,0.305917844533631
_44_L,0.0773675816979388
_45_L,0.377379683051641
_47l_L,0.25849923113364
a47r_L,0.374475094607741
_6r_L,0.191501120248498
IFJa_L,0.0
IFJp_L,4.6143900945796396e-48
IFSp_L,0.206075029149939
IFSa_L,0.576030803448368
p9Y46v_L,0.408121510874366
_46_L,0.455425020177853
a9Y46v_L,0.342274207730629
_9Y46d_L,0.0146539368001583
_9a_L,0.103979427906914
_10v_L,0.462069290725725
a10p_L,0.166202376151299
_10pp_L,0.202979981231737
_11l_L,0.256060168862114
_13l_L,0.25809101188143
OFC_L,6.7294160476784e-10
_47s_L,0.302574564037708
LIPd_L,0.0
_6a_L,0.102601836888237
i6Y8_L,0.0988770264092053
s6Y8_L,1.62269371583655e-13
_43_L,0.0
OP4_L,0.0472314898196711
OP1_L,0.0294820787790478
OP2Y3_L,0.182801212969168
_52_L,0.208637535705314
RI_L,0.0846365753776238
PFcm_L,0.0526668604605811
PoI2_L,0.448158255569049
TA2_L,0.507689645503274
FOP4_L,0.178343782869256
MI_L,0.488338100968905
Pir_L,0.0792791847497297
AVI_L,0.405757245393386
AAIC_L,0.206129425127044
FOP1_L,0.0
FOP3_L,0.0
FOP2_L,8.003021616922339e-42
PFt_L,0.483757833179768
AIP_L,0.0
EC_L,0.0982166899223009
PreS_L,1.01393411617105e-09
H_L,9.85614796980711e-43
ProS_L,0.514677248065801
PeEc_L,0.264688354834062
STGa_L,0.462953949481092
PBelt_L,0.281543673172463
A5_L,0.273693625794204
PHA1_L,0.0511294083728802
PHA3_L,0.341083043082749
STSda_L,0.30696449458974
STSdp_L,0.0
STSvp_L,0.111380871294356
TGd_L,0.404522320758338
TE1a_L,0.434116839104366
