,V1
V1_L,0.013019030713182
MST_L,0.193459158478024
V6_L,0.431796352629155
V2_L,0.0218378642957319
V3_L,0.172090449532399
V4_L,0.101066976933819
V8_L,0.393179994107852
_4_L,4.50919453398578e-12
_3b_L,0.0486250933132713
FEF_L,0.051345532555736
PEF_L,0.217258637987693
_55b_L,9.58115316093136e-46
V3A_L,0.0
RSC_L,1.7765155826209702e-47
POS2_L,5.43966079142138e-44
V7_L,0.271185281370068
IPS1_L,0.0492040994263693
FFC_L,0.0555632885372608
V3B_L,0.0
LO1_L,3.50690442759051e-45
LO2_L,4.85371324604466e-12
PIT_L,0.0
MT_L,0.248852570772268
A1_L,0.0
PSL_L,0.218103527321092
SFL_L,0.0
PCV_L,0.0
STV_L,8.95412767141304e-10
_7Pm_L,4.0092384408717106e-46
_7m_L,0.282784291653425
POS1_L,4.8329900797339e-13
_23d_L,0.152102661868077
v23ab_L,0.0
d23ab_L,0.280421155741989
_31pv_L,8.35943529596349e-45
_5m_L,1.28036875599641e-44
_5mv_L,0.234856938433067
_23c_L,0.0
_5L_L,5.69647350913838e-54
_24dd_L,0.12936305099215
_24dv_L,0.0
_7AL_L,0.21299754090123
SCEF_L,0.0
_6ma_L,3.71340355775723e-45
_7Am_L,0.0
_7Pl_L,0.0
_7PC_L,6.9857921961785605e-46
LIPv_L,9.46950385325505e-45
VIP_L,1.1715105533275998e-12
MIP_L,0.300680858159752
_1_L,1.20779442161716e-45
_2_L,0.0386421755747762
_3a_L,0.0
_6d_L,0.186780414020703
_6mp_L,0.132024598306023
_6v_L,7.79272777081355e-46
p24pr_L,0.263697299985626
_33pr_L,0.0
a24pr_L,2.4868321460293996e-12
p32pr_L,0.133991402158277
a24_L,0.246546827085152
d32_L,0.265967522343769
_8BM_L,5.4383277216076494e-43
p32_L,0.0
_10r_L,0.178329539234138
_47m_L,3.75123565511405e-45
_8Av_L,0.049692531890281
_8Ad_L,0.128499164884252
_9m_L,1.1235558958981701e-44
_8BL_L,1.23880158020735e-43
_9p_L,0.242667794194886
_10d_L,0.186825703536338
_8C_L,0.0
