,V1
V1_L,0.203788589804375
MST_L,0.233965029443236
V6_L,0.417311593430009
V2_L,0.372296807693042
V3_L,0.460580890541834
V4_L,0.387832514645256
V8_L,0.0470086538115128
_4_L,0.234253080576937
_3b_L,0.263209621708452
FEF_L,0.425574400249166
PEF_L,0.113850789164462
_55b_L,5.39379062315382e-43
V3A_L,0.0904342498497897
RSC_L,1.45178568233923e-46
POS2_L,0.174677778243387
V7_L,9.408800170580441e-10
IPS1_L,0.451224075002426
FFC_L,0.303538248848079
V3B_L,5.90617818144721e-45
LO1_L,0.138298549444889
LO2_L,0.0
PIT_L,3.39781830456098e-18
MT_L,0.364375598468932
A1_L,0.335070787741845
PSL_L,0.13573513334592
SFL_L,0.149081788390247
PCV_L,2.93380384226949e-10
STV_L,0.403745094063409
_7Pm_L,0.219115624213902
_7m_L,0.195299860494512
POS1_L,0.131214006814591
_23d_L,0.18098531159162
v23ab_L,0.229917498522787
d23ab_L,0.115219140185979
_31pv_L,0.294139692320987
_5m_L,0.40222733297813
_5mv_L,0.0671008899749232
_23c_L,0.381259824317381
_5L_L,0.0
_24dd_L,0.0786769584767732
_24dv_L,0.0392024184947817
_7AL_L,0.371927987554935
SCEF_L,0.252247825151422
_6ma_L,0.341461818366276
_7Am_L,0.372953415163819
_7Pl_L,0.0
_7PC_L,0.203840391194494
LIPv_L,0.147123329642498
VIP_L,7.245165556716829e-11
MIP_L,0.510975684470598
_1_L,0.171690875231727
_2_L,0.546521909981166
_3a_L,0.0952553217425605
_6d_L,0.159733442358286
_6mp_L,0.553255668602487
_6v_L,0.258762411179523
p24pr_L,0.411975970302952
_33pr_L,0.0311840351717615
a24pr_L,0.399057918087214
p32pr_L,2.3030638176530197e-42
a24_L,0.638025924460635
d32_L,0.37033167439511
_8BM_L,7.83929252053527e-43
p32_L,0.153559035535852
_10r_L,0.566351770246234
_47m_L,0.123212384766647
_8Av_L,0.400122383721837
_8Ad_L,0.190458039952248
_9m_L,0.103415419223235
_8BL_L,4.6517156663852703e-45
_9p_L,0.0228016691371667
_10d_L,0.133647856438668
_8C_L,0.304963646259943
_44_L,0.271452480832899
_45_L,0.482897163242633
_47l_L,0.0631815498113635
a47r_L,0.240189812682537
_6r_L,8.73096266025492e-43
IFJa_L,0.251933729377468
IFJp_L,0.131843892005481
IFSp_L,1.7200533243795998e-43
IFSa_L,0.220392090636612
p9Y46v_L,0.395864767510281
_46_L,0.41951160660102
a9Y46v_L,0.193197460089831
_9Y46d_L,0.154136661090367
_9a_L,0.117645552084347
_10v_L,0.27489214287581
a10p_L,0.319875416087148
_10pp_L,7.76351785165202e-46
_11l_L,0.220436560178173
_13l_L,0.138398000417528
OFC_L,0.702247497941589
_47s_L,0.0
LIPd_L,6.95062182911448e-46
_6a_L,0.352388868143589
i6Y8_L,0.0
s6Y8_L,0.0810065500871345
_43_L,9.076522822443929e-43
OP4_L,4.546322943933399e-44
OP1_L,7.14767600468818e-41
OP2Y3_L,0.179343518592642
_52_L,0.121121669405948
RI_L,0.145033676495196
PFcm_L,0.0088495347117277
PoI2_L,0.207072129455658
TA2_L,0.0545587660719358
FOP4_L,0.0400017895888384
MI_L,0.163216472606464
Pir_L,0.193002490238784
AVI_L,0.387448294981445
AAIC_L,0.0268310268281821
FOP1_L,0.0
FOP3_L,0.0622473450948775
FOP2_L,0.184521462263109
PFt_L,0.614424619156082
AIP_L,4.4086837426492404e-44
EC_L,0.237302471215991
PreS_L,0.286505158657486
H_L,0.472090133840812
ProS_L,0.121914414358606
PeEc_L,6.350935089556029e-12
STGa_L,9.18162440048074e-45
PBelt_L,0.292222972749476
A5_L,0.0387047581140233
PHA1_L,0.0
PHA3_L,0.23646997797261
STSda_L,0.0
STSdp_L,0.310336264305439
STSvp_L,0.0
TGd_L,1.83744144602434e-11
TE1a_L,0.0
TE1p_L,0.0
TE2a_L,6.87695006944358e-42
TF_L,0.240661057577942
TE2p_L,0.101824108744404
PHT_L,0.0956334585157089
PH_L,0.154722875030686
TPOJ1_L,0.219605831259799
TPOJ2_L,0.104069677611792
TPOJ3_L,0.0228202768320216
DVT_L,0.158796453384034
PGp_L,0.223797404392259
IP2_L,0.265292442601094
IP1_L,0.243855550191063
IP0_L,9.034649936215419e-49
PFop_L,0.333431283297362
PF_L,0.193740318219305
PFm_L,0.630395764797252
PGi_L,0.197291974436091
PGs_L,0.393470329581295
V6A_L,0.256647967829227
VMV1_L,0.303185129184256
VMV3_L,0.288298390093462
PHA2_L,0.232924967055116
