,V1
V1_L,0.386872046244704
MST_L,0.0655694129723212
V6_L,0.33027027615024
V2_L,0.254692290212699
V3_L,0.319962625325566
V4_L,0.256373500615601
V8_L,0.363729694712699
_4_L,0.0
_3b_L,0.333616434134985
FEF_L,0.360689519751948
PEF_L,6.515179007698269e-11
_55b_L,0.0
V3A_L,0.0694738520587055
RSC_L,0.543312082112116
POS2_L,0.290842087383729
V7_L,0.245555219749765
IPS1_L,0.0986742367041624
FFC_L,0.491691682113046
V3B_L,0.0320817901284896
LO1_L,0.331457894403037
LO2_L,0.0379286446965357
PIT_L,0.249669640162245
MT_L,0.236776078909885
A1_L,0.507768507749236
PSL_L,0.0
SFL_L,2.54686920046423e-12
PCV_L,0.556308534949889
STV_L,0.236953755700655
_7Pm_L,0.444354695368358
_7m_L,0.389318081464926
POS1_L,0.404761906070089
_23d_L,0.329137802177518
v23ab_L,0.280289506718405
d23ab_L,0.600361471079082
_31pv_L,0.325311386909389
_5m_L,1.48448689946971e-45
_5mv_L,0.110010821267675
_23c_L,0.0494412703680598
_5L_L,0.321753410305797
_24dd_L,0.214232255926708
_24dv_L,0.329304513683399
_7AL_L,0.114094749929865
SCEF_L,0.0602855651639192
_6ma_L,0.0
_7Am_L,0.222031487660239
_7Pl_L,2.5529947757532297e-42
_7PC_L,0.101046587911404
LIPv_L,4.17854852416694e-44
VIP_L,0.124406851275729
MIP_L,0.0578577186819979
_1_L,1.19246260653307e-42
_2_L,1.95431554979574e-43
_3a_L,0.254551296874885
_6d_L,0.0918177435016875
_6mp_L,0.0467939546966169
_6v_L,0.167225470490664
p24pr_L,0.313826502383531
_33pr_L,0.0270463897689678
a24pr_L,0.11520793425982
p32pr_L,4.88665897312153e-12
a24_L,0.33020647140049
d32_L,0.387208181613206
_8BM_L,0.196281835091372
p32_L,0.126968203910543
_10r_L,0.14446228031669
_47m_L,0.208585285739198
_8Av_L,0.136985654771832
_8Ad_L,0.175129425803081
_9m_L,0.188237151007608
_8BL_L,0.239445488484027
_9p_L,0.10157339099044
_10d_L,0.130258126952388
_8C_L,0.0274763164984065
_44_L,0.0278789109036953
_45_L,0.340713959508559
_47l_L,0.188988158190803
a47r_L,0.273185763376616
_6r_L,0.178418131326662
IFJa_L,0.0720156518889697
IFJp_L,1.36989245247408e-43
IFSp_L,0.0115701380497653
IFSa_L,0.230141402699864
p9Y46v_L,0.255439001146342
_46_L,0.347365868841809
a9Y46v_L,0.141019815266653
_9Y46d_L,0.198936366929187
_9a_L,0.27604329097822
_10v_L,0.326102306910726
a10p_L,0.284876561651702
_10pp_L,0.142477804198031
_11l_L,0.194492241018386
_13l_L,0.267413848967558
OFC_L,0.249623435354043
_47s_L,0.352033073665757
LIPd_L,1.14879010436247e-44
_6a_L,0.0769251383243203
