,V1
V1_L,0.0
MST_L,0.0801395196727443
V6_L,0.134276665530358
V2_L,0.0250244684391671
V3_L,0.0724134942235243
V4_L,3.41601347768386e-42
V8_L,0.28387376486677
_4_L,0.0
_3b_L,5.50562380349874e-10
FEF_L,0.0870522330141711
PEF_L,0.102534692233015
_55b_L,0.0
V3A_L,1.9734303041411397e-11
RSC_L,1.7349705247099401e-46
POS2_L,3.93001006499142e-45
V7_L,0.157856937051215
IPS1_L,0.180874058883965
FFC_L,0.11490659494576
V3B_L,0.0252003885890359
LO1_L,3.99133064966313e-06
LO2_L,3.26227698997241e-44
PIT_L,0.0
MT_L,0.0604845680019747
A1_L,7.70618379836622e-44
PSL_L,0.111201923155885
SFL_L,1.9282537273143003e-45
PCV_L,1.50666175403413e-44
STV_L,7.266464241853119e-11
_7Pm_L,0.0111809982573657
_7m_L,0.11203192906237
POS1_L,0.0
_23d_L,3.60032206307156e-45
v23ab_L,0.0306539871630764
d23ab_L,0.258153614451014
_31pv_L,1.07306385183746e-43
_5m_L,2.59100210845804e-44
_5mv_L,1.28963307724928e-50
_23c_L,5.74412881842705e-47
_5L_L,9.378800579312281e-14
_24dd_L,0.219364783090311
_24dv_L,1.58028349001342e-13
_7AL_L,0.0
SCEF_L,3.14324284382336e-48
_6ma_L,0.0
_7Am_L,0.0
_7Pl_L,9.771438075519771e-46
_7PC_L,0.0189827562916782
LIPv_L,3.71763792698869e-47
VIP_L,1.29940997933093e-44
MIP_L,0.388169213118607
_1_L,0.0
_2_L,1.8237469682394401e-44
_3a_L,5.13330498038607e-13
_6d_L,1.9990797927000698e-42
_6mp_L,4.05930598635267e-44
_6v_L,1.52134459571548e-43
p24pr_L,0.0293262407282688
_33pr_L,8.71749340791366e-48
a24pr_L,1.49167795005983e-12
p32pr_L,0.0806757934551912
a24_L,0.387851819949245
d32_L,0.463608533874505
_8BM_L,2.7145245795619597e-43
p32_L,1.0141664073442899e-43
_10r_L,0.231676580941075
_47m_L,0.0
_8Av_L,1.84787517428027e-12
_8Ad_L,1.5489918626859998e-45
_9m_L,3.37039877535796e-11
_8BL_L,1.0663417864763701e-10
_9p_L,0.0
_10d_L,0.0208897952692261
_8C_L,0.0
_44_L,0.0492736878724095
_45_L,0.0
_47l_L,0.0
a47r_L,0.0543464740691147
_6r_L,0.0
IFJa_L,0.0267564178011703
IFJp_L,0.0
IFSp_L,0.0
IFSa_L,0.12358012551533
p9Y46v_L,0.0
_46_L,0.060497068381967
a9Y46v_L,1.66578102502269e-47
_9Y46d_L,0.0902707978586874
_9a_L,3.57279959759782e-15
_10v_L,0.415426261213403
a10p_L,0.0582313258032827
_10pp_L,0.0
_11l_L,0.0
_13l_L,1.9287367040712e-52
OFC_L,0.316744794331397
_47s_L,2.92829743468497e-45
LIPd_L,4.8753869750757e-46
_6a_L,0.0241297447900832
i6Y8_L,0.0
s6Y8_L,4.60225058308516e-13
_43_L,1.7859932153604902e-09
OP4_L,0.0593285561979026
OP1_L,0.0
OP2Y3_L,4.82007832548791e-44
_52_L,0.146513229807266
RI_L,0.0
PFcm_L,0.0
PoI2_L,0.0147888420959222
TA2_L,1.8158945809083397e-11
FOP4_L,0.0483823062961612
MI_L,0.0
Pir_L,0.133979045192781
AVI_L,0.0298238776697204
AAIC_L,0.0969770143986539
FOP1_L,0.231513526760673
FOP3_L,0.189112226341897
FOP2_L,0.0631905811964379
PFt_L,1.21681012894671e-15
AIP_L,0.0
EC_L,4.3712217051916295e-11
PreS_L,0.0
H_L,1.5730924222597699e-43
ProS_L,9.1709800964011e-43
PeEc_L,0.0
STGa_L,0.0
PBelt_L,0.0730849416349542
A5_L,0.0
PHA1_L,0.156542341077744
PHA3_L,1.01594057055255e-09
STSda_L,0.0
STSdp_L,1.0407538729438601e-17
STSvp_L,1.7279461416014598e-11
TGd_L,7.97772327042731e-12
TE1a_L,7.58180725474984e-12
TE1p_L,0.162671541637463
TE2a_L,3.9176796037360703e-44
TF_L,2.0947820417642997e-43
TE2p_L,0.0390317070241069
PHT_L,0.0326629236606466
PH_L,0.219271815278581
TPOJ1_L,0.0453236215509241
TPOJ2_L,2.46827537004481e-44
TPOJ3_L,5.71996967720836e-18
DVT_L,4.60778561751343e-11
PGp_L,0.0
IP2_L,4.8107986652586995e-43
IP1_L,0.101249564172622
IP0_L,2.49783388780442e-46
PFop_L,0.157563607325388
PF_L,6.30744105819469e-47
PFm_L,0.0
PGi_L,0.0
PGs_L,1.55073901184832e-16
V6A_L,0.0846647336272109
VMV1_L,0.124443888587412
VMV3_L,0.177978961106699
PHA2_L,0.168775837088152
V4t_L,0.272737213623284
FST_L,5.58810601059567e-42
V3CD_L,0.169845754548145
LO3_L,0.0
VMV2_L,0.194222958730824
_31pd_L,0.130437632675409
_31a_L,5.03070189190934e-44
VVC_L,0.442112998946427
_25_L,8.111098152643199e-13
s32_L,9.83340732605931e-46
pOFC_L,8.302400213486919e-12
