,V1
V1_L,0.40233869026798
MST_L,0.576183654259669
V6_L,0.313796399830548
V2_L,0.402406463077732
V3_L,0.265111999159328
V4_L,0.319956885605386
V8_L,0.581915354433751
_4_L,0.244576993027149
_3b_L,0.136720482215793
FEF_L,0.0782692647918499
PEF_L,0.568828705742671
_55b_L,0.50828502587489
V3A_L,0.199354721408866
RSC_L,0.524757360937972
POS2_L,0.379320029183022
V7_L,0.189777340510773
IPS1_L,0.136594831160012
FFC_L,0.375890665018409
V3B_L,0.291007013774536
LO1_L,0.324948321963296
LO2_L,0.385398527980249
PIT_L,0.575879448955407
MT_L,0.441000897836484
A1_L,0.24972607049013
PSL_L,0.190943953426936
SFL_L,0.503446643712433
PCV_L,0.486054083451593
STV_L,0.432806112266684
_7Pm_L,0.17877071683474
_7m_L,0.333549146178051
POS1_L,0.405998217631532
_23d_L,0.435785324809641
v23ab_L,0.41053206526221
d23ab_L,0.632389697885987
_31pv_L,0.382498269944759
_5m_L,0.114090235060303
_5mv_L,0.28102375647201
_23c_L,0.373752221690356
_5L_L,0.302008004401076
_24dd_L,0.334305701383649
_24dv_L,0.572920994568485
_7AL_L,0.156816515109748
SCEF_L,0.541395907851847
_6ma_L,0.482275253637264
_7Am_L,0.300904436690258
_7Pl_L,0.236349210700979
_7PC_L,0.0487027653038298
LIPv_L,0.179098059227863
VIP_L,0.202252615704322
MIP_L,0.33833745661671
_1_L,0.198329067185716
_2_L,0.204580041438397
_3a_L,0.183364766183577
_6d_L,0.265629468777181
_6mp_L,0.319973067145713
_6v_L,0.565851334970481
p24pr_L,0.551875499078975
_33pr_L,0.473474025519394
a24pr_L,0.606115223065964
p32pr_L,0.638382004517278
a24_L,0.140234992047427
d32_L,0.635362003621306
_8BM_L,0.626330739525118
p32_L,0.597565854344889
_10r_L,0.630964755369624
_47m_L,0.531540574454445
_8Av_L,0.670629948344211
_8Ad_L,0.543270322151278
_9m_L,0.623695261116528
_8BL_L,0.530028431934497
_9p_L,0.647125567368016
_10d_L,0.615954155130405
_8C_L,0.548818212512409
_44_L,0.106006635368416
_45_L,0.466070624569444
_47l_L,0.669703438793873
a47r_L,0.60258265449734
_6r_L,0.536377399531894
IFJa_L,0.588888380271668
IFJp_L,0.36853804514713
IFSp_L,0.728607884364847
IFSa_L,0.587991224651764
p9Y46v_L,0.690690442891253
_46_L,0.654758966139783
a9Y46v_L,0.689989961111271
_9Y46d_L,0.666307963238004
_9a_L,0.645128983788409
_10v_L,0.629356518131975
a10p_L,0.647951916273885
_10pp_L,0.594683161289445
_11l_L,0.58089488073566
_13l_L,0.499955748122756
OFC_L,0.570335861104771
_47s_L,0.544079771229087
LIPd_L,0.117923687742753
_6a_L,0.3087590337544
i6Y8_L,0.554164448303988
s6Y8_L,0.328775202028803
_43_L,0.247016512440981
OP4_L,0.145821137185435
OP1_L,0.21217188729904
OP2Y3_L,0.290378198621961
_52_L,0.357199121878257
RI_L,0.214821750168303
PFcm_L,0.151106150685011
PoI2_L,7.108511214217971e-44
TA2_L,0.310337462715961
FOP4_L,0.638587692367671
MI_L,0.507233003220051
Pir_L,0.560660218396703
AVI_L,0.582268741290015
AAIC_L,0.529808203605379
FOP1_L,0.384947249824859
FOP3_L,0.430262120275365
FOP2_L,0.372259826942414
PFt_L,0.202851215745153
AIP_L,0.0091759738361531
EC_L,0.321831651972748
PreS_L,0.574152861934353
H_L,0.594968470357358
ProS_L,0.629403391357922
PeEc_L,0.410826226034074
STGa_L,0.470546701651553
PBelt_L,0.392793722162103
A5_L,0.34522425302511
PHA1_L,0.168289677647761
PHA3_L,0.399943506215843
STSda_L,0.371446407046283
STSdp_L,0.291207793619454
STSvp_L,0.257335406256295
TGd_L,0.478559395883133
TE1a_L,0.444925379294126
TE1p_L,0.403451254886495
TE2a_L,0.389786554431969
TF_L,0.16283775078328
TE2p_L,0.263423162468645
PHT_L,0.456144901245821
PH_L,0.241306861616068
TPOJ1_L,0.253497778684109
TPOJ2_L,0.237627644783309
TPOJ3_L,0.285775557943648
DVT_L,0.374031086947119
PGp_L,0.205571284457503
IP2_L,0.254981009634918
IP1_L,0.252665844400085
IP0_L,0.137608936893475
PFop_L,0.132245350163154
PF_L,0.171921780422184
PFm_L,0.196717038150206
PGi_L,0.297664537280866
PGs_L,0.219209060324575
V6A_L,0.285831563672434
VMV1_L,0.284796932488475
VMV3_L,0.567221306229754
PHA2_L,0.384377039240343
V4t_L,0.511071601394982
FST_L,0.373761753398906
V3CD_L,0.322155383091137
LO3_L,0.239188387159071
VMV2_L,0.450826029792116
_31pd_L,0.308143245212037
_31a_L,0.285980206162904
VVC_L,0.28969665784226
_25_L,0.449141089719839
s32_L,0.535199707365262
pOFC_L,0.408271541521065
PoI1_L,0.296941514985659
Ig_L,0.125307894970853
FOP5_L,0.62395818209966
p10p_L,0.564411107135831
p47r_L,0.629004456130282
TGv_L,0.561190302736884
MBelt_L,0.117360321599608
LBelt_L,0.263717938140312
A4_L,0.416755512957978
STSva_L,0.471478607872402
TE1m_L,0.441328275094233
PI_L,0.457585339309781
a32pr_L,0.648132345645452
p24_L,0.61713873970561
V1_R,0.346781105965791
MST_R,0.500899052155456
V6_R,0.552836628628476
V2_R,0.355080773621468
V3_R,0.361461170602869
V4_R,0.260637644159287
V8_R,0.386858403958287
_4_R,0.394396620041114
_3b_R,0.449157513346263
FEF_R,0.457309182932081
PEF_R,0.470222310665831
_55b_R,0.357034877757097
V3A_R,0.361641945782218
RSC_R,0.342803085738199
POS2_R,0.452837981235109
V7_R,0.582083984892525
IPS1_R,0.506046956521027
FFC_R,0.319263595674783
V3B_R,0.695989384142208
LO1_R,0.190551393474284
LO2_R,0.394826512759046
PIT_R,0.379424404191769
MT_R,0.531171775912953
A1_R,0.605516908598891
PSL_R,0.611274588398064
SFL_R,0.517699995639291
PCV_R,0.42962559132596
STV_R,0.440970916431319
_7Pm_R,0.289936996426743
_7m_R,0.372093333432235
POS1_R,0.478752999499656
_23d_R,0.485547044848654
v23ab_R,0.497975638019794
d23ab_R,0.29158877613262
_31pv_R,0.308678457879793
_5m_R,0.461848340534472
_5mv_R,0.625168477300987
_23c_R,0.451189542663773
_5L_R,0.529023483823052
_24dd_R,0.531500242560297
_24dv_R,0.62471682522686
_7AL_R,0.402588123715614
SCEF_R,0.511559812107268
_6ma_R,0.558936369409593
_7Am_R,0.311679126156707
_7Pl_R,0.42811933124027
_7PC_R,0.241209561655328
LIPv_R,0.604031809346924
VIP_R,0.412006118974542
MIP_R,0.479146015738102
_1_R,0.512535208084762
_2_R,0.574258728481357
_3a_R,0.469663090137851
_6d_R,0.645958075197185
_6mp_R,0.459000475738093
_6v_R,0.50149665874794
p24pr_R,0.473171823807002
_33pr_R,0.61180591633832
a24pr_R,0.572681878789526
p32pr_R,0.635700235938963
a24_R,0.529516471801928
d32_R,0.608557797216242
_8BM_R,0.567184608811395
p32_R,0.659699375949864
_10r_R,0.521309915917809
_47m_R,0.658272279674148
_8Av_R,0.634218074220122
_8Ad_R,0.55086339297986
_9m_R,0.626232891218784
_8BL_R,0.61979282785937
_9p_R,0.571403081451636
_10d_R,0.636690443863415
_8C_R,0.514759109815838
_44_R,0.473448089112015
_45_R,0.480109178519267
_47l_R,0.559622702471689
a47r_R,0.560537754758393
_6r_R,0.631139343359312
IFJa_R,0.619806417311856
IFJp_R,0.613564551292652
IFSp_R,0.488861999845312
IFSa_R,0.557896719893151
p9Y46v_R,0.637102369711298
_46_R,0.655401890587324
a9Y46v_R,0.68779268211655
_9Y46d_R,0.573635713879027
_9a_R,0.587283542044247
_10v_R,0.459345997128999
a10p_R,0.56927992057687
_10pp_R,0.657040304133669
_11l_R,0.475642329510808
_13l_R,0.433948297125235
OFC_R,0.546319999187846
_47s_R,0.436260065703121
LIPd_R,0.591622472299761
_6a_R,0.60255695995165
i6Y8_R,0.550697591138222
s6Y8_R,0.62054608548933
_43_R,0.44996628831817
OP4_R,0.279840260958646
OP1_R,0.367911291683467
OP2Y3_R,0.451881417836062
_52_R,0.373710093150754
RI_R,0.549779609227936
PFcm_R,0.412109976139855
PoI2_R,0.208579057836438
TA2_R,0.299857649933971
FOP4_R,0.513556515893191
MI_R,0.538323079164061
Pir_R,0.0638639500381543
AVI_R,0.484530706990001
AAIC_R,0.17623511320382
FOP1_R,0.58089368448982
FOP3_R,0.585950863680509
FOP2_R,0.412049491130462
PFt_R,0.504133788427887
AIP_R,0.353453470484606
EC_R,0.328230131831276
PreS_R,0.50217868975128
H_R,0.459976285344888
ProS_R,0.270611334455633
PeEc_R,0.460045575044434
STGa_R,0.291474450111436
PBelt_R,0.369551769001247
A5_R,0.34631680528504
PHA1_R,0.394020269773689
PHA3_R,0.258767516660882
STSda_R,0.342735309993984
STSdp_R,0.510736763151511
STSvp_R,0.481090928406734
TGd_R,0.41132617618246
TE1a_R,0.300568329098929
TE1p_R,0.442532437148437
TE2a_R,0.336044754733502
TF_R,0.430822959910892
TE2p_R,0.327924406620034
PHT_R,0.477360570611515
PH_R,0.301704031712781
TPOJ1_R,0.440304816254414
TPOJ2_R,0.250774306576958
TPOJ3_R,0.669945158389748
DVT_R,0.47839156811198
PGp_R,0.606461293985388
