,V1
V1_L,0.421825438372743
MST_L,0.421572181249261
V6_L,0.477627877075496
V2_L,0.47528050177951
V3_L,0.328046714752915
V4_L,0.450952891369916
V8_L,0.301879421468902
_4_L,0.264538120541296
_3b_L,0.115432418387542
FEF_L,0.121904135648756
PEF_L,0.0
_55b_L,0.189217724130724
V3A_L,0.21348664359471
RSC_L,0.147767984654008
POS2_L,0.102450397519982
V7_L,0.0820483971082711
IPS1_L,8.548254498086471e-45
FFC_L,0.21776398825527
V3B_L,0.202257034299409
LO1_L,0.140266874019602
LO2_L,0.152433387541173
PIT_L,0.0482093184884338
MT_L,2.87560999434769e-44
A1_L,0.309720022280274
PSL_L,0.0
SFL_L,0.0
PCV_L,0.235643082453217
STV_L,0.0236689044291841
_7Pm_L,0.32521635468462
_7m_L,0.0462066388627801
POS1_L,0.0365543354993448
_23d_L,0.0387677659856568
v23ab_L,0.0
d23ab_L,0.309410334406602
_31pv_L,0.348408445442926
_5m_L,0.506754558931888
_5mv_L,0.26596581030312
_23c_L,0.266542508644001
_5L_L,0.0390672930219732
_24dd_L,1.86413795065034e-18
_24dv_L,5.60871689642671e-43
_7AL_L,0.194692996352083
SCEF_L,0.0332871535004221
_6ma_L,0.0448009939626839
_7Am_L,0.307817716839861
_7Pl_L,0.387421694577712
_7PC_L,0.416652385801027
LIPv_L,0.279484374416018
VIP_L,0.111099351434612
MIP_L,0.257748314873563
_1_L,0.145283691513339
_2_L,0.253905995064401
_3a_L,0.267114344727517
_6d_L,0.347302268135025
_6mp_L,0.642478804257102
_6v_L,2.20298974931767e-46
p24pr_L,0.0667428019101379
_33pr_L,0.015164015049992
a24pr_L,0.0359447162078589
p32pr_L,0.0842041881659158
a24_L,0.316113579062144
d32_L,0.0864431119387037
_8BM_L,0.367689165385859
p32_L,0.155455417971625
_10r_L,0.186677899051871
_47m_L,1.11772222127162e-43
_8Av_L,0.507426164630846
_8Ad_L,0.359855932314903
_9m_L,0.412249207138292
_8BL_L,0.353616632999037
_9p_L,0.36840891159342
_10d_L,0.29158084756521
_8C_L,0.422127689777285
_44_L,0.20778425483964
_45_L,0.169740780782564
_47l_L,0.338175423131843
a47r_L,0.168183444018148
_6r_L,0.0215855376821522
IFJa_L,0.0
IFJp_L,0.32890642298977
IFSp_L,0.219754561251795
IFSa_L,0.228490965890731
p9Y46v_L,0.307793772054317
_46_L,0.312214770676933
a9Y46v_L,0.283926850780127
_9Y46d_L,0.217718899737328
_9a_L,0.19160408590052
_10v_L,0.177088217316134
a10p_L,0.0931332940653462
_10pp_L,0.492241872057014
_11l_L,0.212240918897883
_13l_L,0.296414912308335
OFC_L,0.412770431860424
_47s_L,0.304003070939729
LIPd_L,5.455089856895171e-44
_6a_L,0.0155305740485908
i6Y8_L,7.432890329322639e-42
s6Y8_L,0.106985842585658
_43_L,0.0456358994852375
OP4_L,0.0101315704299863
OP1_L,0.221161996071822
OP2Y3_L,0.454722129683651
_52_L,0.194173105934792
RI_L,0.277567117271941
PFcm_L,0.201429354764624
PoI2_L,0.0791661673691417
TA2_L,0.262037973721653
FOP4_L,0.318161855758625
MI_L,0.0
Pir_L,0.392616792695802
AVI_L,0.432962519593992
AAIC_L,0.191115875066316
FOP1_L,0.0
FOP3_L,1.8134774071791298e-42
FOP2_L,0.0181107977513252
PFt_L,0.607868416341924
AIP_L,0.345675914937957
EC_L,0.31756920636513
PreS_L,0.274245161678675
H_L,0.563771893255184
ProS_L,0.356749001896304
PeEc_L,0.166459582876795
STGa_L,0.185309899736396
PBelt_L,0.165834661851897
A5_L,2.84462996559219e-08
PHA1_L,0.163662880425163
PHA3_L,0.167680742879353
STSda_L,0.398795651787913
STSdp_L,0.0094115896348704
STSvp_L,0.465229993972622
TGd_L,0.0
TE1a_L,0.31093136939846
TE1p_L,0.207185073802217
TE2a_L,3.67665636749746e-18
TF_L,0.0
TE2p_L,0.211163404180093
PHT_L,9.29866802875331e-43
PH_L,0.0733497867808153
TPOJ1_L,0.18083919861204
TPOJ2_L,0.0
TPOJ3_L,0.235735698362214
DVT_L,0.663793078739417
PGp_L,0.0
IP2_L,0.251388797905686
IP1_L,0.0724227918973881
IP0_L,0.211503711941004
PFop_L,0.427265142316924
PF_L,0.0
PFm_L,0.195657471802245
PGi_L,0.0872643041028502
PGs_L,0.569117771319915
V6A_L,0.0437028336907467
VMV1_L,0.669934547024536
VMV3_L,0.114733236203227
PHA2_L,0.263567266461755
V4t_L,0.0
FST_L,0.0782086407938075
V3CD_L,0.119875719052646
LO3_L,0.0191108458613644
VMV2_L,0.43726387257955
_31pd_L,0.0
_31a_L,0.117786090581509
VVC_L,0.14679706761685
_25_L,0.38635209384536
s32_L,2.5727624949832e-42
pOFC_L,0.1257479861801
PoI1_L,0.350840794549386
Ig_L,0.0111878018059122
FOP5_L,0.0
p10p_L,0.244210440919586
p47r_L,0.119128592385622
TGv_L,1.42823820325133e-09
MBelt_L,0.430260835370178
LBelt_L,0.427010745300217
A4_L,0.3964543783442
STSva_L,0.257238332417707
TE1m_L,0.0876918913110033
PI_L,0.446561876743951
a32pr_L,0.453451497111507
p24_L,0.27221170161533
V1_R,0.472861347523167
MST_R,4.59873238957587e-47
V6_R,0.281542849541115
V2_R,0.195458756034383
V3_R,0.253228969666593
V4_R,0.291061541348466
V8_R,0.0
_4_R,0.618828998784675
_3b_R,0.332717177209535
FEF_R,0.265496818640048
PEF_R,0.442368038796966
_55b_R,2.3451609490588403e-44
V3A_R,0.0777542317002301
RSC_R,0.3472902518945
POS2_R,0.621056307516358
V7_R,0.407484053193805
IPS1_R,0.132954888466473
FFC_R,0.28128007447987
V3B_R,0.0087983037238749
LO1_R,0.422655519253613
LO2_R,2.99109820696901e-16
PIT_R,0.350955215346365
MT_R,0.0
A1_R,0.430970693268227
PSL_R,0.227683663021182
SFL_R,0.341168511099649
PCV_R,1.20999567698172e-43
STV_R,1.1151245520177899e-43
_7Pm_R,0.384454747130522
_7m_R,0.241230053784636
POS1_R,0.251773948695979
_23d_R,0.509342295183445
v23ab_R,0.566551394535626
d23ab_R,0.190261402958074
_31pv_R,0.323874822602675
_5m_R,0.10040246421222
_5mv_R,0.174834240686986
_23c_R,0.219820934831242
_5L_R,0.0
_24dd_R,0.204859689250667
_24dv_R,2.38994621022457e-44
_7AL_R,0.165476231291238
SCEF_R,0.169553976796155
_6ma_R,0.137637631557116
_7Am_R,2.71728610894899e-45
_7Pl_R,5.28802618700014e-10
_7PC_R,0.427640088886129
LIPv_R,1.66278461550391e-46
VIP_R,1.95772994207404e-42
MIP_R,0.269818028379088
_1_R,0.0
_2_R,0.103507336256035
_3a_R,0.221758850795176
_6d_R,0.0319279403069328
_6mp_R,0.314979563426473
_6v_R,0.0
p24pr_R,0.123565892954023
_33pr_R,0.177718533025786
a24pr_R,0.0
p32pr_R,0.496221599370517
a24_R,0.483109683432338
d32_R,0.0522083346143191
_8BM_R,0.278452564714321
p32_R,0.436772026869553
_10r_R,0.197899082987488
_47m_R,3.0864546485618697e-43
_8Av_R,0.112635958229525
_8Ad_R,0.099384955991866
_9m_R,0.174817567539121
_8BL_R,0.0
_9p_R,0.272985860279488
_10d_R,0.266043469196378
_8C_R,0.622135903501443
_44_R,1.05185679471022e-40
_45_R,0.169932674405078
_47l_R,0.0
a47r_R,1.65520591206579e-44
_6r_R,0.28004558759464
IFJa_R,1.9293651253838802e-44
IFJp_R,3.02684879267947e-43
IFSp_R,0.340313659250869
IFSa_R,0.23995732682059
p9Y46v_R,0.590891851659992
_46_R,0.545288911364629
a9Y46v_R,0.0864557297399511
_9Y46d_R,0.207548221021504
_9a_R,4.71057157522146e-42
_10v_R,0.29451310825392
a10p_R,9.06812827310016e-45
_10pp_R,0.101871662526996
_11l_R,0.180709942747144
_13l_R,0.306311908278164
OFC_R,0.195492370308642
_47s_R,0.370268694124168
LIPd_R,0.127594033068174
_6a_R,0.166852078666121
