,V1
V1_L,0.208274708293755
MST_L,0.0078171193418441
V6_L,0.0831980025837955
V2_L,0.260715008363929
V3_L,0.344583280868111
V4_L,0.173245425098595
V8_L,0.0
_4_L,0.0804961864119338
_3b_L,0.195503988525833
FEF_L,0.431335190778883
PEF_L,0.216624576058666
_55b_L,0.0
V3A_L,0.130388206144048
RSC_L,2.7467581288460098e-42
POS2_L,0.115673692153889
V7_L,0.213128292381678
IPS1_L,0.380783825315354
FFC_L,0.315926658906359
V3B_L,2.54550447287858e-43
LO1_L,0.0290355933991686
LO2_L,0.0
PIT_L,0.0562480135673441
MT_L,0.208701402633161
A1_L,0.217475671995177
PSL_L,0.0442408804659954
SFL_L,0.279036967173162
PCV_L,0.0
STV_L,0.171194333632594
_7Pm_L,0.258723723004379
_7m_L,0.109482600651834
POS1_L,0.156191272150328
_23d_L,1.90560438231149e-43
v23ab_L,0.0645913408990042
d23ab_L,0.136996913305119
_31pv_L,0.0418771830967697
_5m_L,0.2736023687784
_5mv_L,0.0
_23c_L,0.231543060304945
_5L_L,0.0
_24dd_L,0.0
_24dv_L,0.0
_7AL_L,0.196356149262913
SCEF_L,0.116073455339797
_6ma_L,0.0137003436631671
_7Am_L,0.252685114459641
_7Pl_L,1.40669036717299e-45
_7PC_L,0.0948097436799543
LIPv_L,4.84906550716814e-10
VIP_L,0.0302298287954835
MIP_L,0.544870397009891
_1_L,0.200956835861532
_2_L,0.0725322468510775
_3a_L,0.0
_6d_L,0.0607700730313348
_6mp_L,0.510021196994466
_6v_L,0.11992177329936
p24pr_L,0.100932618367545
_33pr_L,0.0
a24pr_L,0.123545107314693
p32pr_L,5.3673429327216005e-48
a24_L,0.374118080361946
d32_L,0.416151607013733
_8BM_L,8.61525199655199e-45
p32_L,7.715730634458199e-44
_10r_L,0.228209467956663
_47m_L,8.8823147380327e-44
_8Av_L,0.0733408104981629
_8Ad_L,0.0260635186554345
_9m_L,0.175055660690598
_8BL_L,0.243497368964203
_9p_L,0.203721690816102
_10d_L,0.174966333880112
_8C_L,0.115510422161895
_44_L,0.282846967393582
_45_L,0.394952023482709
_47l_L,0.117860041275642
a47r_L,0.170225086971179
_6r_L,0.010015861850067
IFJa_L,0.23744585051372
IFJp_L,5.49193420936383e-45
IFSp_L,0.0
IFSa_L,0.388131417575313
p9Y46v_L,0.194854556582448
_46_L,0.4346263865987
a9Y46v_L,0.180382457949601
_9Y46d_L,0.18795129325186
_9a_L,0.219280810060354
_10v_L,0.105713935599395
a10p_L,0.283319670293161
_10pp_L,0.0260623799294933
_11l_L,0.393713854270437
_13l_L,0.314901022637445
OFC_L,0.745153638791148
_47s_L,0.114471979923234
LIPd_L,7.753866504393891e-46
_6a_L,0.263698243510199
i6Y8_L,1.9226947669507197e-43
s6Y8_L,0.0
_43_L,0.182008474765633
OP4_L,0.0858216356419132
OP1_L,2.69857293153023e-46
OP2Y3_L,0.0884668435161466
_52_L,0.139662719771529
RI_L,0.0865818673746381
PFcm_L,0.117696716715381
PoI2_L,0.0
TA2_L,0.0
FOP4_L,0.0422198636138233
MI_L,0.256589578008657
Pir_L,9.68498700700802e-44
AVI_L,0.294023646484918
AAIC_L,0.024659211395494
FOP1_L,0.0105578274063644
FOP3_L,0.169923592428449
FOP2_L,0.258508276276812
PFt_L,0.0424649394846608
AIP_L,0.0
EC_L,0.305395563625959
PreS_L,0.161064450090281
H_L,0.195135544387253
ProS_L,0.159982540553432
PeEc_L,0.0
STGa_L,0.108676254396865
PBelt_L,0.345392846138296
A5_L,0.12562431335713
PHA1_L,3.7032695837018996e-49
PHA3_L,0.309600396301113
STSda_L,0.0080345359321499
STSdp_L,0.19392523127487
STSvp_L,4.62702043051326e-44
TGd_L,0.0
TE1a_L,5.648223413710941e-47
TE1p_L,0.0881742114757433
TE2a_L,1.66109459227071e-46
TF_L,0.409552965681784
TE2p_L,0.353807536620761
PHT_L,0.156260707720136
PH_L,0.217627521041908
TPOJ1_L,0.238695542931593
TPOJ2_L,8.31622382181513e-15
TPOJ3_L,0.0
DVT_L,1.3317593767000302e-44
PGp_L,0.145784952664584
IP2_L,0.209302326222468
IP1_L,0.0550208157108553
IP0_L,6.9014739011875995e-50
PFop_L,0.290447099901855
PF_L,0.171631260462143
PFm_L,0.344700958162069
PGi_L,1.43608431531052e-41
PGs_L,0.110208205106458
V6A_L,0.194827101263739
VMV1_L,0.146002708154154
VMV3_L,0.0795651410783072
