,V1
V1_L,0.154876630764579
MST_L,0.0
V6_L,0.632686939751722
V2_L,0.159738827506088
V3_L,0.254832016961882
V4_L,0.175986524337213
V8_L,0.335819230235603
_4_L,0.167743042173017
_3b_L,0.346710080506279
FEF_L,0.384513636268618
PEF_L,0.520788851028901
_55b_L,0.0
V3A_L,0.0634916147228091
RSC_L,0.0221844135126313
POS2_L,0.188877608473113
V7_L,0.154802984121985
IPS1_L,0.525604514619006
FFC_L,0.342299076832878
V3B_L,0.0
LO1_L,0.170006909024656
LO2_L,2.36227470786659e-42
PIT_L,0.227482435097715
MT_L,0.154369691496052
A1_L,0.130068046643442
PSL_L,0.0
SFL_L,0.0
PCV_L,0.076178813102089
STV_L,0.314158624394089
_7Pm_L,0.104687470595838
_7m_L,0.254811441500557
POS1_L,0.0778335786935987
_23d_L,0.193947432624468
v23ab_L,0.0742961807098211
d23ab_L,0.440274440050881
_31pv_L,0.0337334912826537
_5m_L,0.231266112205847
_5mv_L,0.0444789549766525
_23c_L,0.0220641582149045
_5L_L,4.44049350144357e-41
_24dd_L,0.397645561413758
_24dv_L,0.0278745356078046
_7AL_L,0.158751226635959
SCEF_L,0.137505451523135
_6ma_L,0.0
_7Am_L,0.435591420773083
_7Pl_L,2.5426692348300402e-46
_7PC_L,0.0
LIPv_L,2.81675485727733e-43
VIP_L,0.0574250699389837
MIP_L,0.448445478019056
_1_L,0.083020540825744
_2_L,0.257596077138074
_3a_L,0.135061595631181
_6d_L,0.0997056263568414
_6mp_L,0.421637042143464
_6v_L,0.0968928993425979
p24pr_L,5.13571393603078e-44
_33pr_L,6.99315760918064e-47
a24pr_L,0.0
p32pr_L,0.305577657618874
a24_L,0.362422923883034
d32_L,0.5433182591775
_8BM_L,0.364723377189182
p32_L,0.011510039146878
_10r_L,0.300035113214847
_47m_L,1.5117960548144401e-15
_8Av_L,0.0
_8Ad_L,0.100071842221798
_9m_L,0.0854018996410772
_8BL_L,0.0910803536412197
_9p_L,0.329826262910782
_10d_L,0.0335464802039318
_8C_L,0.35262782296084
