,V1
V1_L,0.48686521978663
MST_L,0.304599118575926
V6_L,0.239199401781997
V2_L,0.375050029264009
V3_L,0.456248941646126
V4_L,0.672834611594532
V8_L,0.155311370098492
_4_L,0.54024407346846
_3b_L,0.288911777042341
FEF_L,0.249565024894658
PEF_L,0.220073229901622
_55b_L,0.232280196592586
V3A_L,0.643988054316061
RSC_L,0.208620643189047
POS2_L,0.668571981875509
V7_L,0.275361909288464
IPS1_L,0.413881141938782
FFC_L,0.167447938290691
V3B_L,0.524109642163447
LO1_L,0.0638811772314301
LO2_L,4.89278421811106e-46
PIT_L,0.260043285895001
MT_L,0.525497175753573
A1_L,0.116206908896235
PSL_L,0.314307380505884
SFL_L,0.43664785205397
PCV_L,0.454196958028948
STV_L,0.329362765869462
_7Pm_L,0.337661390766679
_7m_L,0.0485748868006127
POS1_L,0.135989959150071
_23d_L,0.247186148092798
v23ab_L,0.37179297693586
d23ab_L,0.372490096991134
_31pv_L,0.555351700627193
_5m_L,0.173500264569982
_5mv_L,0.63988633638981
_23c_L,0.424949255399656
_5L_L,0.235179898742884
_24dd_L,0.186026813117616
_24dv_L,0.135273510699107
_7AL_L,0.278121181724521
SCEF_L,0.128249661014599
_6ma_L,0.330484699190336
_7Am_L,0.206306583391037
_7Pl_L,2.12213974226681e-07
_7PC_L,0.272684171649001
LIPv_L,0.352156911910863
VIP_L,1.2325101527143798e-11
MIP_L,0.592106898619771
_1_L,0.526968635690212
_2_L,0.635539260069612
_3a_L,0.405780547924967
_6d_L,0.573847495554601
_6mp_L,0.349259691340431
_6v_L,0.456321829158237
p24pr_L,0.0693395996157196
_33pr_L,0.0
a24pr_L,0.054538770290398
p32pr_L,0.217655098709914
a24_L,0.0703799286458626
d32_L,0.441671976050168
_8BM_L,0.173685326397041
p32_L,0.172269046030253
_10r_L,0.0
_47m_L,5.174761521776829e-42
_8Av_L,0.214928485093246
_8Ad_L,0.448759733487972
_9m_L,0.404953816259349
_8BL_L,0.229799349877149
_9p_L,0.249972405348571
_10d_L,0.262263238439347
_8C_L,0.575463018092323
_44_L,0.490543342159365
_45_L,0.30539755538736
_47l_L,0.385126561151081
a47r_L,0.505962053244771
_6r_L,0.199868663468204
IFJa_L,0.404686651627491
IFJp_L,0.274661947738775
IFSp_L,0.479684497482756
IFSa_L,0.641176897182078
p9Y46v_L,0.140213040479377
_46_L,0.43176055277695
a9Y46v_L,0.312976055842116
_9Y46d_L,0.150624156201387
_9a_L,0.506109090342111
