region,rtop
V1_L,296957.39644152165
MST_L,284740.3980876778
V6_L,290152.9088012277
V2_L,300678.1459699127
V3_L,297694.4152875579
V4_L,293947.5612583475
V8_L,313401.5007746333
4_L,317997.5300166218
3b_L,275537.8858590106
FEF_L,300085.43476604554
PEF_L,278298.68738462566
55b_L,291051.60549939267
V3A_L,281717.98531119
RSC_L,359899.1140300347
POS2_L,297605.43531832483
V7_L,272293.01721274643
IPS1_L,268991.91703884513
FFC_L,301574.50759540603
V3B_L,282364.4176811732
LO1_L,286057.9372242674
LO2_L,284669.3509338938
PIT_L,288636.62023398594
MT_L,278739.5950209932
A1_L,306441.20021636924
PSL_L,269492.3038251488
SFL_L,307822.11999166483
PCV_L,305006.9201098224
STV_L,273783.1589862168
7Pm_L,292840.9455549332
7m_L,308793.1565807124
POS1_L,330434.65108206554
23d_L,330378.0960735347
v23ab_L,330900.0814985996
d23ab_L,340867.21991824894
31pv_L,324306.73228607303
5m_L,328510.0926274394
5mv_L,311602.00633873563
23c_L,300640.0624186415
5L_L,306870.05418575497
24dd_L,329966.76157119585
24dv_L,321610.61872288043
7AL_L,289263.80092141405
SCEF_L,327020.394998425
6ma_L,297666.28499132046
7Am_L,294913.9263654812
7Pl_L,285976.461194137
7PC_L,285630.8973920755
LIPv_L,283852.7669595841
VIP_L,289976.9237989303
MIP_L,285741.3576573882
1_L,296581.4903924428
2_L,288654.70666456595
3a_L,273222.6739294386
6d_L,301633.45205417654
6mp_L,309227.7604174054
6v_L,279381.5737331699
p24pr_L,318381.1036698235
33pr_L,345527.5843707772
a24pr_L,311126.3051293247
p32pr_L,323854.08151460404
a24_L,313184.5311281672
d32_L,306993.5452260954
8BM_L,324275.02855822374
p32_L,311863.43579119875
10r_L,323135.762445016
47m_L,295661.13982498134
8Av_L,284620.3161332917
8Ad_L,280768.6277883261
9m_L,295918.2941804903
8BL_L,283912.7294195744
9p_L,264479.5657186916
10d_L,263610.4236338899
8C_L,288572.6328639645
44_L,283960.34524178493
45_L,289163.02118200704
47l_L,282022.69617222605
a47r_L,268771.1458091854
6r_L,280176.38367815537
IFJa_L,301023.039196291
IFJp_L,291659.6985573867
IFSp_L,288279.1227679292
IFSa_L,273750.9579255978
p9-46v_L,280115.03651799576
46_L,271539.8393061665
a9-46v_L,263326.17694117763
9-46d_L,271124.91611151234
