region,SAaxis
V1_L,-1.576481
MST_L,-0.85627085
V6_L,-1.3806612
V2_L,-1.4724902
V3_L,-1.3368403
V4_L,-1.108295
V8_L,-1.0907742
4_L,-1.324649
3b_L,-1.4325795
FEF_L,-0.25576386
PEF_L,0.37499714
55b_L,0.39599115
V3A_L,-1.4139557
RSC_L,-0.55775917
POS2_L,-0.32657206
V7_L,-0.9430508
IPS1_L,-0.9284343
FFC_L,-0.24819931
V3B_L,-0.9929643
LO1_L,-0.7755078
LO2_L,-0.78518826
PIT_L,-0.945163
MT_L,-1.0347896
A1_L,-0.74139273
PSL_L,0.3838421
SFL_L,0.91120404
PCV_L,-0.2340653
STV_L,0.21605903
7Pm_L,-0.3948734
7m_L,0.24563706
POS1_L,-0.11497424
23d_L,0.79863405
v23ab_L,0.48810422
d23ab_L,1.0752246
31pv_L,0.8401836
5m_L,-1.5022864
5mv_L,-0.9182124
23c_L,0.014865185
5L_L,-0.99166715
24dd_L,-1.0567935
24dv_L,-0.2365752
7AL_L,-0.7948764
SCEF_L,0.2354589
6ma_L,0.1847253
7Am_L,-0.58690214
7Pl_L,-0.8241156
7PC_L,-0.7648905
LIPv_L,-0.45213586
VIP_L,-0.67359596
MIP_L,-0.5370442
1_L,-1.2300582
2_L,-0.9900623
3a_L,-1.5002525
6d_L,-1.2316123
6mp_L,-1.1520255
6v_L,-0.40089938
p24pr_L,0.31373015
33pr_L,-0.3148206
a24pr_L,0.5935801
p32pr_L,0.52398616
a24_L,1.5648187
d32_L,1.5373195
8BM_L,1.4331733
p32_L,1.3244638
10r_L,1.0750146
47m_L,0.6702586
8Av_L,1.5691788
8Ad_L,1.3787589
9m_L,1.4797462
8BL_L,1.459758
9p_L,1.4090235
10d_L,1.1522455
8C_L,1.2945818
44_L,0.6730058
45_L,0.96976376
47l_L,1.3734268
a47r_L,1.5486811
6r_L,0.29969218
IFJa_L,0.6509191
IFJp_L,0.7638857
IFSp_L,0.50602585
IFSa_L,0.9334211
p9-46v_L,1.0937144
46_L,1.3410547
a9-46v_L,1.4028581
9-46d_L,1.0963101
9a_L,1.1985708
10v_L,1.0600506
