region,cbf
V1_L,6704.7607
MST_L,5651.5815
V6_L,6083.959
V2_L,6322.941
V3_L,6023.3457
V4_L,5728.8726
V8_L,6023.969
4_L,6144.1343
3b_L,6289.8867
FEF_L,6273.9375
PEF_L,6257.3574
55b_L,6094.0225
V3A_L,5778.311
RSC_L,6364.3984
POS2_L,6718.2607
V7_L,5935.1133
IPS1_L,6032.23
FFC_L,5779.2695
V3B_L,5691.469
LO1_L,5348.602
LO2_L,5201.9194
PIT_L,5596.667
MT_L,5629.1265
A1_L,6760.4424
PSL_L,5887.561
SFL_L,6040.0034
PCV_L,6374.649
STV_L,5744.9365
7Pm_L,6536.61
7m_L,6812.4497
POS1_L,6216.5156
23d_L,6736.481
v23ab_L,6556.52
d23ab_L,6704.7144
31pv_L,6286.169
5m_L,6249.6553
5mv_L,5678.253
23c_L,5999.099
5L_L,5616.2085
24dd_L,6111.693
24dv_L,5956.338
7AL_L,5575.8047
SCEF_L,6452.0737
6ma_L,5994.8975
7Am_L,6043.6733
7Pl_L,6085.7764
7PC_L,5671.9487
LIPv_L,6022.134
VIP_L,5542.472
MIP_L,6084.745
1_L,5584.7715
2_L,5833.8384
3a_L,6301.636
6d_L,5829.099
6mp_L,5941.1816
6v_L,5545.9897
p24pr_L,6351.268
33pr_L,6188.8887
a24pr_L,6343.082
p32pr_L,6174.153
a24_L,6430.2256
d32_L,6161.283
8BM_L,6468.0347
p32_L,6225.71
10r_L,6385.4546
47m_L,6289.181
8Av_L,6053.655
8Ad_L,6152.492
9m_L,5996.493
8BL_L,5681.206
9p_L,5684.4526
10d_L,5842.681
8C_L,6382.0957
44_L,6325.5977
45_L,6170.397
47l_L,6105.1045
a47r_L,5750.007
6r_L,6364.0923
IFJa_L,6405.728
IFJp_L,6354.448
IFSp_L,6449.3047
IFSa_L,6299.2505
p9-46v_L,6251.3213
46_L,6140.5034
a9-46v_L,6250.0845
9-46d_L,6315.8916
9a_L,5767.472
10v_L,6153.999
a10p_L,6081.925
10pp_L,5627.4795
11l_L,5702.0913
13l_L,5898.3804
OFC_L,5936.684
47s_L,6132.4634
LIPd_L,6302.915
6a_L,6066.693
i6-8_L,6269.4253
s6-8_L,6023.941
43_L,6190.949
OP4_L,5830.6567
OP1_L,6187.5835
OP2-3_L,5945.27
52_L,5940.6113
RI_L,6007.1904
PFcm_L,6324.1226
PoI2_L,5948.287
TA2_L,5427.8516
FOP4_L,6286.796
MI_L,6370.433
Pir_L,5332.7524
AVI_L,6210.8687
AAIC_L,5894.459
FOP1_L,6428.7896
FOP3_L,5937.714
FOP2_L,5766.365
PFt_L,5731.623
