region,cmrglc
lh.bankssts,6185.45263671875
lh.caudalanteriorcingulate,5157.3232421875
lh.caudalmiddlefrontal,7178.9697265625
lh.cuneus,7093.01611328125
lh.entorhinal,4389.58837890625
lh.fusiform,5730.9384765625
lh.inferiorparietal,6671.5205078125
lh.inferiortemporal,5804.08056640625
lh.isthmuscingulate,6713.54443359375
lh.lateraloccipital,6457.974609375
lh.lateralorbitofrontal,6362.21484375
lh.lingual,6771.599609375
lh.medialorbitofrontal,6375.1435546875
lh.middletemporal,5895.1337890625
lh.parahippocampal,5069.50341796875
lh.paracentral,6425.9091796875
lh.parsopercularis,6963.17333984375
lh.parsorbitalis,6591.6640625
lh.parstriangularis,6857.46630859375
lh.pericalcarine,7244.162109375
lh.postcentral,6420.71044921875
lh.posteriorcingulate,6169.4296875
lh.precentral,6651.4697265625
lh.precuneus,7004.8310546875
lh.rostralanteriorcingulate,5778.75927734375
lh.rostralmiddlefrontal,6996.25
lh.superiorfrontal,6586.15771484375
lh.superiorparietal,6679.7431640625
lh.superiortemporal,5687.94775390625
lh.supramarginal,6388.431640625
lh.frontalpole,6337.802734375
lh.temporalpole,4395.322265625
lh.transversetemporal,6929.16455078125
lh.insula,5613.1083984375
rh.bankssts,6337.484375
rh.caudalanteriorcingulate,5259.71728515625
rh.caudalmiddlefrontal,7280.78076171875
rh.cuneus,7185.4248046875
rh.entorhinal,4342.82568359375
rh.fusiform,5593.86767578125
rh.inferiorparietal,6666.896484375
rh.inferiortemporal,5744.70751953125
rh.isthmuscingulate,6602.33984375
rh.lateraloccipital,6437.06298828125
rh.lateralorbitofrontal,6538.412109375
rh.lingual,6598.0810546875
rh.medialorbitofrontal,6343.36181640625
rh.middletemporal,5970.3310546875
rh.parahippocampal,5058.9423828125
rh.paracentral,6436.34130859375
rh.parsopercularis,7107.19873046875
rh.parsorbitalis,6674.17919921875
rh.parstriangularis,6944.046875
rh.pericalcarine,7311.95654296875
rh.postcentral,6552.5380859375
rh.posteriorcingulate,6114.58544921875
rh.precentral,6782.71435546875
rh.precuneus,7039.0869140625
rh.rostralanteriorcingulate,5519.150390625
rh.rostralmiddlefrontal,7202.12109375
rh.superiorfrontal,6652.4228515625
rh.superiorparietal,6707.21435546875
rh.superiortemporal,5802.416015625
rh.supramarginal,6318.30712890625
rh.frontalpole,6242.61328125
rh.temporalpole,4378.5068359375
rh.transversetemporal,7145.49560546875
rh.insula,5841.71142578125
