region,evoexp
V1_L,6.677216
MST_L,9.9087925
V6_L,21.468563
V2_L,9.938251
V3_L,7.2492585
V4_L,9.674483
V8_L,14.281346
4_L,8.838424
3b_L,13.220579
FEF_L,20.093864
PEF_L,19.147142
55b_L,25.762049
V3A_L,6.462405
RSC_L,18.53605
POS2_L,33.260662
V7_L,10.647413
IPS1_L,10.885266
FFC_L,17.318943
V3B_L,10.699556
LO1_L,8.328898
LO2_L,9.989255
PIT_L,15.055761
MT_L,9.4694395
A1_L,8.293198
PSL_L,12.378758
SFL_L,24.05392
PCV_L,15.984035
STV_L,21.951176
7Pm_L,12.560765
7m_L,43.692307
POS1_L,33.305225
23d_L,21.828094
v23ab_L,35.812607
d23ab_L,38.414032
31pv_L,30.979221
5m_L,5.8738337
5mv_L,7.7806597
23c_L,14.994493
5L_L,5.109417
24dd_L,8.962462
24dv_L,10.2293415
7AL_L,12.763667
SCEF_L,17.709236
6ma_L,31.447815
7Am_L,5.9901934
7Pl_L,8.096408
7PC_L,14.378517
LIPv_L,9.22666
VIP_L,14.8654175
MIP_L,8.075347
1_L,9.945462
2_L,6.919157
3a_L,11.440116
6d_L,22.231897
6mp_L,18.75251
6v_L,11.03685
p24pr_L,8.833147
33pr_L,6.2720623
a24pr_L,9.796841
p32pr_L,15.430227
a24_L,10.943838
d32_L,16.45865
8BM_L,22.510494
p32_L,12.960551
10r_L,8.314276
47m_L,20.83022
8Av_L,20.203392
8Ad_L,15.783828
9m_L,18.570215
8BL_L,17.805235
9p_L,15.092282
10d_L,11.120037
8C_L,27.185694
44_L,6.9029922
45_L,5.726509
47l_L,8.862518
a47r_L,15.888225
6r_L,6.9821644
IFJa_L,14.156725
IFJp_L,12.38846
IFSp_L,12.761172
IFSa_L,7.6421766
p9-46v_L,13.177498
46_L,9.823589
a9-46v_L,12.173184
9-46d_L,9.899299
9a_L,8.872
10v_L,9.5283375
a10p_L,18.181372
10pp_L,19.265934
11l_L,28.123264
13l_L,22.907667
OFC_L,20.47104
47s_L,17.654541
LIPd_L,3.9567096
6a_L,29.390982
i6-8_L,22.69402
s6-8_L,28.548517
43_L,6.53093
OP4_L,8.908248
OP1_L,10.297175
OP2-3_L,8.309347
52_L,8.9815035
RI_L,6.2266073
PFcm_L,8.277272
PoI2_L,16.668007
TA2_L,9.932563
FOP4_L,11.322475
MI_L,19.032707
Pir_L,4.947237
AVI_L,14.304596
AAIC_L,9.713646
FOP1_L,7.2738223
FOP3_L,12.402422
FOP2_L,9.662644
PFt_L,6.289326
AIP_L,7.84801
EC_L,5.8850126
PreS_L,3.5185459
H_L,3.4901092
ProS_L,5.9569464
PeEc_L,6.932118
STGa_L,9.518627
PBelt_L,5.258274
A5_L,9.258531
PHA1_L,3.500055
PHA3_L,6.4236217
STSda_L,6.498987
STSdp_L,19.175566
STSvp_L,35.62918
TGd_L,10.205025
TE1a_L,30.964474
TE1p_L,56.97906
TE2a_L,32.484905
TF_L,10.303029
TE2p_L,24.194592
PHT_L,48.70524
PH_L,30.276157
TPOJ1_L,15.472012
TPOJ2_L,14.567839
TPOJ3_L,35.102222
DVT_L,23.466114
PGp_L,36.01875
IP2_L,9.584321
IP1_L,13.333909
IP0_L,12.045363
PFop_L,8.177581
PF_L,13.142306
PFm_L,33.22703
PGi_L,57.935364
PGs_L,54.40811
V6A_L,7.993696
VMV1_L,6.025084
VMV3_L,8.201973
PHA2_L,2.5562325
V4t_L,8.785412
FST_L,22.116858
V3CD_L,16.366726
LO3_L,13.783361
VMV2_L,3.6746964
31pd_L,29.645044
31a_L,28.68951
VVC_L,21.246033
25_L,5.437379
s32_L,6.376974
pOFC_L,9.821864
PoI1_L,14.028818
Ig_L,14.155877
FOP5_L,11.551473
p10p_L,12.338643
p47r_L,7.8844657
TGv_L,19.766495
MBelt_L,8.237543
LBelt_L,6.0083117
A4_L,7.1728096
STSva_L,14.668193
TE1m_L,41.34654
PI_L,9.765863
a32pr_L,11.423356
p24_L,7.6807284
V1_R,7.377399
MST_R,7.473787
V6_R,23.292374
V2_R,10.836909
V3_R,6.830177
V4_R,7.2791533
V8_R,7.4965844
4_R,8.593094
3b_R,9.743489
FEF_R,17.764769
PEF_R,14.218942
55b_R,16.668056
V3A_R,5.4379973
RSC_R,16.461414
POS2_R,41.08995
V7_R,6.7948604
IPS1_R,10.253377
FFC_R,14.63686
V3B_R,6.2721224
LO1_R,5.354038
LO2_R,5.1918125
PIT_R,5.6486835
MT_R,6.8863854
A1_R,11.289625
PSL_R,28.333895
SFL_R,19.732159
PCV_R,23.428392
STV_R,18.480734
7Pm_R,18.396603
7m_R,57.280247
POS1_R,49.105114
23d_R,27.461657
v23ab_R,43.39238
d23ab_R,39.15575
31pv_R,37.16623
5m_R,10.004846
5mv_R,14.871136
23c_R,26.692411
5L_R,8.017508
24dd_R,13.71343
24dv_R,11.3705635
7AL_R,7.998029
SCEF_R,21.191017
6ma_R,19.047277
7Am_R,9.365023
7Pl_R,5.75124
7PC_R,14.629074
LIPv_R,7.448733
VIP_R,9.577836
MIP_R,10.163813
1_R,10.47198
2_R,8.145419
3a_R,9.552917
6d_R,25.519411
6mp_R,14.316002
6v_R,9.819801
p24pr_R,10.621615
33pr_R,5.2700496
a24pr_R,7.5477104
p32pr_R,15.441687
a24_R,8.654968
d32_R,19.608295
8BM_R,26.591702
p32_R,7.706338
10r_R,4.865823
47m_R,17.414654
8Av_R,17.69021
8Ad_R,8.756584
9m_R,14.792578
8BL_R,14.736485
