region,fcgradient03
V1_L,-0.64642555
MST_L,-1.2895453
V6_L,-1.1482438
V2_L,-1.0071735
V3_L,-0.98435205
V4_L,-0.9918456
V8_L,-1.218412
4_L,-1.5144514
3b_L,-1.59361
FEF_L,1.0698446
PEF_L,1.5536563
55b_L,-1.4012992
V3A_L,-1.1382788
RSC_L,0.45147353
POS2_L,0.79573244
V7_L,-1.0202957
IPS1_L,-0.11376252
FFC_L,-1.3417608
V3B_L,-0.9319123
LO1_L,-1.0422194
LO2_L,-1.0023624
PIT_L,-1.058599
MT_L,-1.5193201
A1_L,-0.6864892
PSL_L,-1.3187628
SFL_L,-1.6517358
PCV_L,-0.1790567
STV_L,-1.4922463
7Pm_L,0.7716306
7m_L,-2.0023952
POS1_L,-1.529889
23d_L,-0.28559273
v23ab_L,-2.0650246
d23ab_L,-1.3685776
31pv_L,-2.0132885
5m_L,-1.631798
5mv_L,0.24016765
23c_L,1.2253109
5L_L,-1.1216367
24dd_L,-1.4803987
24dv_L,-0.6145362
7AL_L,0.39194864
SCEF_L,0.9065461
6ma_L,1.7486801
7Am_L,1.6236001
7Pl_L,1.74057
7PC_L,-0.2889873
LIPv_L,-0.34417644
VIP_L,0.038689345
MIP_L,1.6027371
1_L,-1.691239
2_L,-1.2340417
3a_L,-1.5015097
6d_L,-1.278562
6mp_L,-1.0309074
6v_L,-0.2589551
p24pr_L,0.33915374
33pr_L,1.4914943
a24pr_L,1.5440493
p32pr_L,1.6021713
a24_L,-1.5334952
d32_L,-0.7908763
8BM_L,0.6142347
p32_L,-0.69336265
10r_L,-2.2768214
47m_L,-1.4320222
8Av_L,-1.5303986
8Ad_L,-1.4423126
9m_L,-2.4881482
8BL_L,-2.062221
9p_L,-1.8057504
10d_L,-1.9835005
8C_L,0.14980324
44_L,-0.7659561
45_L,-2.02715
47l_L,-2.1713583
a47r_L,-0.16544482
6r_L,2.0141008
IFJa_L,-0.053796638
IFJp_L,1.9266927
IFSp_L,-0.57781243
IFSa_L,1.9515771
p9-46v_L,2.062229
46_L,2.3392398
a9-46v_L,1.9093356
9-46d_L,1.876334
9a_L,-1.7112005
10v_L,-2.6414495
a10p_L,0.09078077
10pp_L,-1.3884976
11l_L,2.1130688
13l_L,1.0570955
OFC_L,-0.5580791
47s_L,-2.1734645
LIPd_L,1.8507456
6a_L,1.3133705
i6-8_L,0.34820306
s6-8_L,0.10400012
43_L,0.23086792
OP4_L,-0.677057
OP1_L,-1.2830976
OP2-3_L,-0.9732181
52_L,0.011161399
RI_L,-1.0820425
PFcm_L,0.38621467
PoI2_L,0.3210721
TA2_L,-1.1235405
FOP4_L,1.9712099
MI_L,2.0427067
Pir_L,-0.43832958
AVI_L,1.2916015
AAIC_L,-0.013354708
FOP1_L,1.0771679
FOP3_L,1.2903974
FOP2_L,-0.3534623
PFt_L,0.89495754
AIP_L,1.3269249
EC_L,-1.5228877
PreS_L,-0.95375353
H_L,-1.6901708
ProS_L,-1.1478317
PeEc_L,-0.6290361
STGa_L,-2.412105
PBelt_L,-1.2638545
A5_L,-2.0699475
PHA1_L,-1.4775139
PHA3_L,-0.16523303
STSda_L,-2.4924116
STSdp_L,-2.412045
STSvp_L,-2.101277
TGd_L,-2.6606069
TE1a_L,-2.5247345
TE1p_L,0.24261796
TE2a_L,-0.13150406
TF_L,-1.6246941
TE2p_L,0.9338563
PHT_L,1.6604459
PH_L,0.39146733
TPOJ1_L,-1.6912508
TPOJ2_L,-0.28479126
TPOJ3_L,-0.5948842
DVT_L,-0.28310037
PGp_L,0.6918721
IP2_L,2.1061962
IP1_L,1.313933
IP0_L,0.7807768
PFop_L,1.2928418
PF_L,2.1469402
PFm_L,0.21297322
PGi_L,-2.2991962
PGs_L,-1.3227122
V6A_L,-1.0795097
VMV1_L,-1.1518632
VMV3_L,-1.080062
PHA2_L,-1.1162121
V4t_L,-1.2922804
FST_L,0.06213179
V3CD_L,-0.7752636
LO3_L,-1.1125708
VMV2_L,-1.0183252
31pd_L,-2.2455757
31a_L,-0.29156426
VVC_L,-0.9351886
25_L,-2.4340816
s32_L,-2.20006
pOFC_L,0.18340433
PoI1_L,1.0160317
Ig_L,-1.0109642
FOP5_L,1.4182742
p10p_L,0.07451364
p47r_L,1.2222792
TGv_L,-1.9591509
MBelt_L,-0.8215437
LBelt_L,-1.0038744
A4_L,-1.527867
STSva_L,-2.6832333
TE1m_L,-0.61264545
PI_L,-0.1772468
a32pr_L,1.5893335
p24_L,1.338648
V1_R,-0.68799484
MST_R,-1.3700162
V6_R,-1.1682166
V2_R,-1.0199174
V3_R,-0.9633762
V4_R,-1.0485301
V8_R,-1.2421737
4_R,-1.557944
3b_R,-1.6229956
FEF_R,1.0727805
PEF_R,1.5595692
55b_R,-0.14080164
V3A_R,-1.1418923
RSC_R,0.5734395
POS2_R,1.1603454
V7_R,-1.014451
IPS1_R,-0.08110009
FFC_R,-1.405836
V3B_R,-0.8878981
LO1_R,-1.0462326
LO2_R,-1.112494
PIT_R,-1.1587727
MT_R,-1.5277553
A1_R,-0.70466137
PSL_R,1.0787843
SFL_R,-0.8404137
PCV_R,0.012730592
STV_R,-0.8288759
7Pm_R,1.1872592
7m_R,-1.8331493
POS1_R,-1.2676498
23d_R,0.14264813
v23ab_R,-2.0679412
d23ab_R,-1.1539303
31pv_R,-1.3973558
5m_R,-1.6543
5mv_R,0.12953435
23c_R,1.5195173
5L_R,-1.2087762
24dd_R,-1.5078995
24dv_R,-0.7779418
7AL_R,0.19717409
SCEF_R,1.282858
6ma_R,1.88793
7Am_R,1.4967843
7Pl_R,1.6522446
7PC_R,-0.46719518
LIPv_R,-0.5226095
VIP_R,-0.19510287
MIP_R,1.4095876
1_R,-1.7499833
2_R,-1.333014
3a_R,-1.5621091
6d_R,-1.3155342
6mp_R,-1.0060593
6v_R,-0.07663764
p24pr_R,0.8409753
33pr_R,1.6238073
a24pr_R,1.6053832
p32pr_R,1.7135751
a24_R,-1.008249
d32_R,0.5673198
8BM_R,1.3933578
p32_R,0.09799982
10r_R,-2.0240946
47m_R,-1.6154463
8Av_R,-0.17293826
8Ad_R,-1.3508464
9m_R,-2.2629771
8BL_R,-1.8385377
9p_R,-1.2415401
10d_R,-1.9293104
8C_R,0.86221254
44_R,0.6849083
