region,intersubjvar
V1_L,0.55084777
MST_L,0.63926584
V6_L,0.6086053
V2_L,0.55906564
V3_L,0.56717205
V4_L,0.57059765
V8_L,0.57230765
4_L,0.56613857
3b_L,0.5610116
FEF_L,0.62901914
PEF_L,0.6307782
55b_L,0.63114953
V3A_L,0.5754606
RSC_L,0.5892277
POS2_L,0.6053364
V7_L,0.591772
IPS1_L,0.6072669
FFC_L,0.60626143
V3B_L,0.5979214
LO1_L,0.5892474
LO2_L,0.5891452
PIT_L,0.57962286
MT_L,0.60969055
A1_L,0.5949051
PSL_L,0.6513223
SFL_L,0.63644123
PCV_L,0.61251926
STV_L,0.6442669
7Pm_L,0.5873189
7m_L,0.58777064
POS1_L,0.57427907
23d_L,0.616729
v23ab_L,0.5886113
d23ab_L,0.5894937
31pv_L,0.59312284
5m_L,0.5787587
5mv_L,0.63372904
23c_L,0.63693756
5L_L,0.58761513
24dd_L,0.5688067
24dv_L,0.58066136
7AL_L,0.5830361
SCEF_L,0.59917986
6ma_L,0.6070995
7Am_L,0.59920406
7Pl_L,0.5872349
7PC_L,0.596753
LIPv_L,0.6174569
VIP_L,0.59239954
MIP_L,0.61718696
1_L,0.5658876
2_L,0.5841299
3a_L,0.55905414
6d_L,0.5788037
6mp_L,0.56717426
6v_L,0.5802213
p24pr_L,0.61685
33pr_L,0.61651933
a24pr_L,0.60814846
p32pr_L,0.60756123
a24_L,0.6164395
d32_L,0.62871414
8BM_L,0.6293315
p32_L,0.605605
10r_L,0.6155475
47m_L,0.6541851
8Av_L,0.6262305
8Ad_L,0.6361926
9m_L,0.6231058
8BL_L,0.62941504
9p_L,0.6345141
10d_L,0.612869
8C_L,0.67420846
44_L,0.6569417
45_L,0.6318301
47l_L,0.63179827
a47r_L,0.60950994
6r_L,0.6141243
IFJa_L,0.6651848
IFJp_L,0.65244496
IFSp_L,0.66333336
IFSa_L,0.648283
p9-46v_L,0.6777165
46_L,0.6570776
a9-46v_L,0.6415805
9-46d_L,0.6726625
9a_L,0.6360122
10v_L,0.62457585
a10p_L,0.61073345
10pp_L,0.6191546
11l_L,0.63557315
13l_L,0.626749
OFC_L,0.62143046
47s_L,0.60098416
LIPd_L,0.6512008
6a_L,0.60065234
i6-8_L,0.620936
s6-8_L,0.6246133
43_L,0.58911693
OP4_L,0.5868313
OP1_L,0.5837135
OP2-3_L,0.5747881
52_L,0.6033309
RI_L,0.5802984
PFcm_L,0.6117944
PoI2_L,0.607033
TA2_L,0.60357875
FOP4_L,0.62914515
MI_L,0.60663164
Pir_L,0.5898402
AVI_L,0.61046475
AAIC_L,0.5917402
FOP1_L,0.5999728
FOP3_L,0.61321384
FOP2_L,0.59344333
PFt_L,0.61449033
AIP_L,0.63149196
EC_L,0.5746291
PreS_L,0.5643975
H_L,0.5775704
ProS_L,0.5553228
PeEc_L,0.5785499
STGa_L,0.6056139
PBelt_L,0.5866652
A5_L,0.6070548
PHA1_L,0.56891304
PHA3_L,0.56491476
STSda_L,0.6240762
STSdp_L,0.6390342
STSvp_L,0.6385793
TGd_L,0.60511965
TE1a_L,0.6230518
TE1p_L,0.6304926
TE2a_L,0.6034618
TF_L,0.5897283
TE2p_L,0.60924786
PHT_L,0.65139925
PH_L,0.5981184
TPOJ1_L,0.66862434
TPOJ2_L,0.6962304
TPOJ3_L,0.65796846
DVT_L,0.59710073
PGp_L,0.6430126
IP2_L,0.6180127
IP1_L,0.6389561
IP0_L,0.6478639
PFop_L,0.61883664
PF_L,0.6749295
PFm_L,0.6215262
PGi_L,0.67799485
PGs_L,0.65389633
V6A_L,0.6055331
VMV1_L,0.5657601
VMV3_L,0.56938004
PHA2_L,0.569645
V4t_L,0.5917879
FST_L,0.6229426
V3CD_L,0.58882016
LO3_L,0.5967148
VMV2_L,0.5719877
31pd_L,0.59336036
31a_L,0.5976833
VVC_L,0.57797205
25_L,0.6278331
s32_L,0.6234086
pOFC_L,0.6137584
PoI1_L,0.6121569
Ig_L,0.5780918
FOP5_L,0.64042217
p10p_L,0.6396888
p47r_L,0.6338581
TGv_L,0.5934974
MBelt_L,0.5972464
LBelt_L,0.58537155
A4_L,0.59409606
STSva_L,0.6301371
TE1m_L,0.6155263
PI_L,0.61627406
a32pr_L,0.63342553
p24_L,0.63065624
V1_R,0.5487623
MST_R,0.63952315
V6_R,0.60354173
V2_R,0.5602929
V3_R,0.56885225
V4_R,0.573018
V8_R,0.56901205
4_R,0.5650853
3b_R,0.56216365
FEF_R,0.6453709
PEF_R,0.6553131
55b_R,0.63000923
V3A_R,0.5749013
RSC_R,0.59412235
POS2_R,0.60794556
V7_R,0.594042
IPS1_R,0.6135475
FFC_R,0.6008775
V3B_R,0.60498935
LO1_R,0.5948162
LO2_R,0.59047717
PIT_R,0.5860612
MT_R,0.61743593
A1_R,0.6103207
PSL_R,0.68567693
SFL_R,0.6252488
PCV_R,0.64951175
STV_R,0.668941
7Pm_R,0.62716305
7m_R,0.601214
POS1_R,0.57548183
23d_R,0.62300885
v23ab_R,0.58512276
d23ab_R,0.60527295
31pv_R,0.6146986
5m_R,0.5717202
5mv_R,0.6081249
23c_R,0.63088197
5L_R,0.5697072
24dd_R,0.56995404
24dv_R,0.57592654
7AL_R,0.574812
SCEF_R,0.59852123
6ma_R,0.626041
7Am_R,0.6124595
7Pl_R,0.60247207
7PC_R,0.58925
LIPv_R,0.60365313
VIP_R,0.5848545
MIP_R,0.61354893
1_R,0.56478363
2_R,0.57947123
3a_R,0.56092066
6d_R,0.57536256
6mp_R,0.56394416
6v_R,0.58645695
p24pr_R,0.6116814
33pr_R,0.61418957
a24pr_R,0.6055805
p32pr_R,0.60250825
a24_R,0.60784763
d32_R,0.61440843
8BM_R,0.62287456
p32_R,0.592688
10r_R,0.61047643
47m_R,0.62910986
8Av_R,0.62980396
8Ad_R,0.626887
9m_R,0.60304445
8BL_R,0.6386151
9p_R,0.6372526
10d_R,0.59239393
8C_R,0.6940657
44_R,0.6604521
45_R,0.64384484
47l_R,0.6227893
a47r_R,0.61330545
6r_R,0.64004844
IFJa_R,0.7010635
IFJp_R,0.70435363
IFSp_R,0.6627905
IFSa_R,0.6500169
p9-46v_R,0.66403425
46_R,0.6570274
a9-46v_R,0.63869727
9-46d_R,0.6641264
9a_R,0.61410177
10v_R,0.6109323
a10p_R,0.6038801
10pp_R,0.60385424
11l_R,0.6110825
13l_R,0.6156757
OFC_R,0.6040382
47s_R,0.60060036
LIPd_R,0.630162
6a_R,0.6110276
i6-8_R,0.6222775
s6-8_R,0.6306906
43_R,0.60181075
OP4_R,0.59303355
OP1_R,0.5742914
OP2-3_R,0.583664
52_R,0.6238541
RI_R,0.58764106
PFcm_R,0.5943803
PoI2_R,0.61195934
TA2_R,0.61992264
FOP4_R,0.63240623
MI_R,0.6117827
Pir_R,0.5883815
AVI_R,0.6055918
AAIC_R,0.59457684
FOP1_R,0.61798346
FOP3_R,0.6140623
FOP2_R,0.597012
PFt_R,0.60916364
AIP_R,0.6266959
EC_R,0.57988966
PreS_R,0.5772477
H_R,0.58372855
ProS_R,0.5635192
PeEc_R,0.5853495
STGa_R,0.61863554
PBelt_R,0.5999201
A5_R,0.6198788
PHA1_R,0.5900049
PHA3_R,0.5898144
STSda_R,0.6469188
STSdp_R,0.65031564
STSvp_R,0.654049
TGd_R,0.60566914
TE1a_R,0.6253723
TE1p_R,0.6380735
TE2a_R,0.6085111
TF_R,0.59176415
TE2p_R,0.6061112
PHT_R,0.6565722
PH_R,0.59504783
TPOJ1_R,0.6568976
TPOJ2_R,0.69323367
TPOJ3_R,0.6724347
DVT_R,0.59691507
PGp_R,0.648142
IP2_R,0.6393812
IP1_R,0.6330882
IP0_R,0.6382741
PFop_R,0.6109281
PF_R,0.6637357
PFm_R,0.63033813
PGi_R,0.6601952
PGs_R,0.6448316
V6A_R,0.60232764
VMV1_R,0.5717949
VMV3_R,0.5643659
PHA2_R,0.5996023
V4t_R,0.5921133
FST_R,0.6225998
V3CD_R,0.5946898
LO3_R,0.60048074
VMV2_R,0.5770638
31pd_R,0.61573535
31a_R,0.63172877
VVC_R,0.5799658
25_R,0.6183148
s32_R,0.6140498
pOFC_R,0.60487694
PoI1_R,0.6238611
Ig_R,0.5911437
FOP5_R,0.65195876
p10p_R,0.6318267
p47r_R,0.6311677
TGv_R,0.5856638
MBelt_R,0.6180882
LBelt_R,0.58922565
A4_R,0.6097175
STSva_R,0.6403619
TE1m_R,0.61852735
PI_R,0.6361972
a32pr_R,0.6163595
p24_R,0.6220734
