region,megdelta
V1_L,0.2906807
MST_L,0.2846471
V6_L,0.2575729
V2_L,0.28385913
V3_L,0.27993524
V4_L,0.28920463
V8_L,0.30389568
4_L,0.29251757
3b_L,0.2809785
FEF_L,0.31910217
PEF_L,0.32959202
55b_L,0.32639998
V3A_L,0.24999842
RSC_L,0.3100606
POS2_L,0.25768274
V7_L,0.25140435
IPS1_L,0.24999547
FFC_L,0.3042168
V3B_L,0.2604628
LO1_L,0.28328317
LO2_L,0.29509646
PIT_L,0.29863468
MT_L,0.282092
A1_L,0.3134996
PSL_L,0.2860927
SFL_L,0.33955306
PCV_L,0.26501653
STV_L,0.28844047
7Pm_L,0.2558568
7m_L,0.26973677
POS1_L,0.297862
23d_L,0.31030294
v23ab_L,0.29525775
d23ab_L,0.29963827
31pv_L,0.29531533
5m_L,0.27367187
5mv_L,0.2855009
23c_L,0.30181253
5L_L,0.25996006
24dd_L,0.31039754
24dv_L,0.3231769
7AL_L,0.2563156
SCEF_L,0.32538924
6ma_L,0.327731
7Am_L,0.2554992
7Pl_L,0.24869357
7PC_L,0.25841656
LIPv_L,0.25914738
VIP_L,0.24983579
MIP_L,0.25080508
1_L,0.27283496
2_L,0.26901785
3a_L,0.29008144
6d_L,0.29237184
6mp_L,0.30298984
6v_L,0.3297641
p24pr_L,0.32492957
33pr_L,0.34001288
a24pr_L,0.34957582
p32pr_L,0.34109542
a24_L,0.38492942
d32_L,0.3719774
8BM_L,0.35443807
p32_L,0.3872904
10r_L,0.39448166
47m_L,0.369754
8Av_L,0.3504378
8Ad_L,0.36122617
9m_L,0.37688556
8BL_L,0.3604272
9p_L,0.37099934
10d_L,0.38303316
8C_L,0.35193595
44_L,0.35192397
45_L,0.36520305
47l_L,0.36243078
a47r_L,0.37899464
6r_L,0.33866853
IFJa_L,0.34820175
IFJp_L,0.34200275
IFSp_L,0.35493767
IFSa_L,0.36488774
p9-46v_L,0.36410132
46_L,0.36871707
a9-46v_L,0.37690908
9-46d_L,0.37344262
9a_L,0.3780091
10v_L,0.40207636
a10p_L,0.38604575
10pp_L,0.39256456
11l_L,0.38672093
13l_L,0.3762177
OFC_L,0.38946915
47s_L,0.35897106
LIPd_L,0.2670468
6a_L,0.32537353
i6-8_L,0.34207517
s6-8_L,0.3493047
43_L,0.3272208
OP4_L,0.30997714
OP1_L,0.3048103
OP2-3_L,0.31036067
52_L,0.3186911
RI_L,0.3002245
PFcm_L,0.29584658
PoI2_L,0.34650472
TA2_L,0.35432556
FOP4_L,0.33936247
MI_L,0.34234953
Pir_L,0.37652504
AVI_L,0.34745958
AAIC_L,0.36336893
FOP1_L,0.33191285
FOP3_L,0.32983276
FOP2_L,0.32155702
PFt_L,0.28523028
AIP_L,0.27106476
EC_L,0.34597865
PreS_L,0.31712455
H_L,0.32684064
ProS_L,0.3146567
PeEc_L,0.3497501
STGa_L,0.36286756
PBelt_L,0.30250084
A5_L,0.32345378
PHA1_L,0.31606725
PHA3_L,0.31641895
STSda_L,0.34222585
STSdp_L,0.3082242
STSvp_L,0.3116544
TGd_L,0.36812463
TE1a_L,0.33542812
TE1p_L,0.30986705
TE2a_L,0.3346263
TF_L,0.32685134
TE2p_L,0.31409168
PHT_L,0.29440293
PH_L,0.2960349
TPOJ1_L,0.29389092
TPOJ2_L,0.2858691
TPOJ3_L,0.27769774
DVT_L,0.26880088
PGp_L,0.26945215
IP2_L,0.2723151
IP1_L,0.26580063
