region,meggamma1
V1_L,0.01672577
MST_L,0.018258037
V6_L,0.016723517
V2_L,0.017568419
V3_L,0.017713731
V4_L,0.01776701
V8_L,0.017084463
4_L,0.024066277
3b_L,0.022776822
FEF_L,0.023977602
PEF_L,0.024063775
55b_L,0.024427045
V3A_L,0.017564349
RSC_L,0.025480125
POS2_L,0.01773618
V7_L,0.018286508
IPS1_L,0.018485222
FFC_L,0.017902037
V3B_L,0.016725555
LO1_L,0.018332567
LO2_L,0.02072173
PIT_L,0.019133244
MT_L,0.01817781
A1_L,0.016501507
PSL_L,0.018507674
SFL_L,0.026717644
PCV_L,0.019492356
STV_L,0.017827315
7Pm_L,0.019312505
7m_L,0.01870236
POS1_L,0.021073904
23d_L,0.027270997
v23ab_L,0.021896452
d23ab_L,0.023366721
31pv_L,0.021749366
5m_L,0.023298355
5mv_L,0.022914825
23c_L,0.024030264
5L_L,0.023371534
24dd_L,0.0242977
24dv_L,0.024313724
7AL_L,0.021399613
SCEF_L,0.024623513
6ma_L,0.025424924
7Am_L,0.020255648
7Pl_L,0.019867627
7PC_L,0.02007742
LIPv_L,0.018880632
VIP_L,0.02000349
MIP_L,0.018796418
1_L,0.023631325
2_L,0.021127708
3a_L,0.02256452
6d_L,0.02490503
6mp_L,0.025554841
6v_L,0.02548216
p24pr_L,0.026240574
33pr_L,0.023672013
a24pr_L,0.023998374
p32pr_L,0.023909327
a24_L,0.02610537
d32_L,0.026126124
8BM_L,0.026095847
p32_L,0.029376896
10r_L,0.032632638
47m_L,0.025933364
8Av_L,0.025776466
8Ad_L,0.025707765
9m_L,0.030596362
8BL_L,0.026646027
9p_L,0.027270244
10d_L,0.033994358
8C_L,0.024705576
44_L,0.025959661
45_L,0.024898764
47l_L,0.026398517
a47r_L,0.028697688
6r_L,0.024797114
IFJa_L,0.025006067
IFJp_L,0.023319125
IFSp_L,0.027946843
IFSa_L,0.029216047
p9-46v_L,0.0272894
46_L,0.028816357
a9-46v_L,0.031789713
9-46d_L,0.029354652
