region,parvalbumin
V1_L,126.96391621803056
MST_L,132.69019128027418
V6_L,128.04185151628508
V2_L,116.10384880039491
V3_L,121.17286747713206
V4_L,132.74260967657798
V8_L,137.2848276928421
4_L,141.94033061268027
3b_L,132.9683009470509
FEF_L,144.50941893975232
PEF_L,108.43736670905078
55b_L,121.87160962834278
V3A_L,119.88299308588476
RSC_L,136.20282650333283
POS2_L,127.47257264828522
V7_L,79.77155878647514
IPS1_L,114.23276854223676
FFC_L,132.28917478154375
V3B_L,124.35663594379685
LO1_L,122.6962384808788
LO2_L,141.97525741480572
PIT_L,134.06400276398884
MT_L,134.6007390671882
A1_L,140.99107630100207
PSL_L,150.05710224831404
SFL_L,104.0959541995863
PCV_L,118.03113542311264
STV_L,146.8862793540208
7Pm_L,125.19352160334306
7m_L,133.76695997094643
POS1_L,124.28271425552953
23d_L,156.22567584932654
v23ab_L,140.8467141082321
d23ab_L,152.49505520736074
31pv_L,143.44549541402483
5m_L,144.0190298787021
5mv_L,124.8695568184578
23c_L,135.50106143145493
5L_L,136.008859449911
24dd_L,139.8751042155027
24dv_L,127.32690000534058
7AL_L,128.87948860599354
SCEF_L,118.03058661060275
6ma_L,92.78992128334312
7Am_L,126.7165725793332
7Pl_L,127.39893382909348
7PC_L,115.59680591002076
LIPv_L,115.513227550641
VIP_L,117.0855567661293
MIP_L,122.45982345893567
1_L,118.68053107382632
2_L,135.33819722943878
3a_L,131.61899970719793
6d_L,122.2766345460757
6mp_L,142.16817793585037
6v_L,128.43135322622993
p24pr_L,143.14804099177488
33pr_L,129.8765796302503
a24pr_L,105.73850676382452
p32pr_L,109.41889482968811
a24_L,111.7394721440284
d32_L,104.42098635668196
8BM_L,103.42090506469756
p32_L,103.97791200313928
10r_L,111.04726823901764
47m_L,109.6497726099372
8Av_L,97.70913334540218
8Ad_L,93.64111674231204
9m_L,100.48960586146784
8BL_L,93.08616289652797
9p_L,92.0414939537882
10d_L,102.69202388804514
8C_L,111.9906756682128
44_L,120.17754809845394
45_L,88.54648936813864
47l_L,104.15741060587986
a47r_L,103.6016414834892
6r_L,126.35138749694484
IFJa_L,125.68214189959136
IFJp_L,100.71150038355871
IFSp_L,108.3201335647455
IFSa_L,105.30541867316153
p9-46v_L,96.87397668689115
46_L,90.89287010003804
a9-46v_L,104.00968146759546
9-46d_L,90.98433305151728
9a_L,102.57554751569324
10v_L,109.7987918059399
a10p_L,109.14547931427371
10pp_L,103.02035155863044
11l_L,104.53436317673189
13l_L,116.72761753566546
OFC_L,117.6803591627276
47s_L,102.57513017035448
LIPd_L,136.6169003973474
6a_L,135.69975051994658
i6-8_L,108.05810473258036
s6-8_L,95.485630330019
43_L,107.47172355853692
OP4_L,140.1396921975272
OP1_L,135.38221969631186
OP2-3_L,141.70484375085482
52_L,118.99938787219266
RI_L,141.79827613577936
PFcm_L,128.80429784571402
PoI2_L,122.4697926221913
TA2_L,123.37899709689816
FOP4_L,115.18662157525895
MI_L,128.4254582345206
Pir_L,108.37815340585524
AVI_L,112.17600087393748
AAIC_L,116.0664495624795
FOP1_L,136.4178509229235
FOP3_L,142.9317793741331
