region,r2-star
V1_L,31.61553238057064
MST_L,46.0164106176013
V6_L,31.62815315360175
V2_L,35.2250814308264
V3_L,32.19641084748426
V4_L,27.6039856189496
V8_L,32.3127607328714
4_L,38.88424808211912
3b_L,41.7677014762158
FEF_L,35.39506336309813
PEF_L,42.288651617999854
55b_L,52.801690660956325
V3A_L,43.21284569907581
RSC_L,38.33869219335373
POS2_L,33.96410463960379
V7_L,19.033867852801077
IPS1_L,20.71209168686376
FFC_L,28.384737902739207
V3B_L,25.34229425283579
LO1_L,36.10978628301786
LO2_L,28.6988709862678
PIT_L,36.20120213439492
MT_L,32.42156075999357
A1_L,49.79745865460263
PSL_L,27.82494003096368
SFL_L,46.37667732210814
PCV_L,29.505272226159445
STV_L,30.81261320999168
7Pm_L,24.12018575195232
7m_L,28.0484625621817
POS1_L,32.084166762543695
23d_L,32.367035057273675
v23ab_L,29.138562146131544
d23ab_L,33.09194431763201
31pv_L,25.0023000426452
5m_L,43.27366579823372
5mv_L,38.51971582367782
23c_L,34.43485029652505
5L_L,19.414673547210104
24dd_L,37.31713808197927
24dv_L,33.03135519991807
7AL_L,18.562459861549037
SCEF_L,41.07154342967207
6ma_L,43.80380791004914
7Am_L,27.845534430615377
7Pl_L,35.829770129265206
7PC_L,23.26154302287184
LIPv_L,21.04877355568467
VIP_L,34.13847890590511
MIP_L,26.13437262050529
1_L,43.97813771198649
2_L,37.13786392994095
3a_L,42.527081194044165
6d_L,36.15622781144124
6mp_L,22.15843612761447
6v_L,51.46579600120203
p24pr_L,30.9078141368273
33pr_L,41.27370884194191
a24pr_L,31.498927560846475
p32pr_L,48.5677056312561
a24_L,30.018546863471315
d32_L,45.27628545358564
8BM_L,49.16317197239745
p32_L,32.63772733976256
10r_L,45.23965100401663
47m_L,39.04758631676315
8Av_L,53.01350449187375
8Ad_L,45.05742883967441
9m_L,62.59355335698962
8BL_L,80.07919790975095
9p_L,52.88718774130749
10d_L,75.32995539819899
8C_L,51.69716128884141
44_L,57.84536400556009
45_L,74.4314392341352
47l_L,59.18202537433375
a47r_L,58.36902728290511
6r_L,45.23006721420789
IFJa_L,28.78165554953187
IFJp_L,43.23008779117039
IFSp_L,47.99816823680603
IFSa_L,57.396995275195614
p9-46v_L,63.81042482759992
46_L,65.15936845677807
a9-46v_L,58.18216850476205
9-46d_L,48.36155512829032
9a_L,60.66003597477901
10v_L,54.93682235984779
a10p_L,57.951632774143846
10pp_L,53.02014498154859
11l_L,40.28792442940997
13l_L,36.55001483475976
OFC_L,31.23723629066637
47s_L,41.60802606096527
LIPd_L,30.74828269264915
6a_L,43.58039905857988
i6-8_L,62.51067353854196
s6-8_L,57.01354094296573
43_L,38.101004187834455
OP4_L,60.81666807928839
OP1_L,53.31733714307914
OP2-3_L,55.2594690459783
52_L,35.994673468849875
RI_L,39.5301019580159
PFcm_L,27.16162628623032
PoI2_L,33.12578610066442
TA2_L,32.79651664614782
FOP4_L,54.59943177332137
MI_L,34.608502987667286
Pir_L,32.42515608231948
AVI_L,40.1381673011506
AAIC_L,38.8296825857001
FOP1_L,54.00588806338512
FOP3_L,23.76035991736821
FOP2_L,40.32822283858773
PFt_L,60.37751944556396
AIP_L,27.934078498671223
EC_L,52.394996877922345
PreS_L,36.01597813707967
H_L,27.791213052907697
ProS_L,30.874868009083286
PeEc_L,37.37402171491318
STGa_L,34.318941668667684
PBelt_L,44.10531350792276
A5_L,33.55474481731348
PHA1_L,44.5619078818957
PHA3_L,26.017445949472
STSda_L,31.437470076019675
STSdp_L,30.011187064647675
STSvp_L,45.322506745728845
TGd_L,28.948771396253864
TE1a_L,34.80176202379165
TE1p_L,30.45051289807438
TE2a_L,34.97846169727704
TF_L,29.407903410205165
TE2p_L,30.66955177418612
PHT_L,27.40188516131391
PH_L,31.177499322607737
TPOJ1_L,42.209278270654806
TPOJ2_L,37.42920720603332
TPOJ3_L,19.85611157663796
DVT_L,33.22352274186384
PGp_L,40.21520136634004
IP2_L,23.777740052574064
IP1_L,23.484293249130666
IP0_L,28.435747466913057
PFop_L,46.6883084203409
PF_L,31.933800268695897
PFm_L,26.32215611257428
PGi_L,35.056447943891705
PGs_L,29.95284815494585
V6A_L,41.97200261142152
VMV1_L,34.36219156565514
VMV3_L,25.29472747439158
PHA2_L,23.762997130216178
V4t_L,30.16454669333764
FST_L,39.177953475976224
V3CD_L,28.889261836309466
LO3_L,30.34412165231175
VMV2_L,22.600639926228776
31pd_L,25.49351400543805
31a_L,67.84484573030166
VVC_L,36.030146059698666
25_L,25.91787238126325
s32_L,27.14721659383466
pOFC_L,37.66151203019551
PoI1_L,36.74027355861993
Ig_L,52.545014004428666
FOP5_L,34.358327794695434
p10p_L,58.08988903281074
p47r_L,44.35456446705008
TGv_L,32.113677595956226
MBelt_L,40.89270744922898
LBelt_L,53.6668997922151
A4_L,52.06690044259204
STSva_L,36.13167304916686
TE1m_L,40.49211565818296
PI_L,36.866033885292296
a32pr_L,42.196746016698775
p24_L,38.23638110371344
V1_R,30.454821370140937
MST_R,35.95800109190559
