region,adaptation
V1_L,0.0741946441621386
MST_L,0.02403222753439578
V6_L,1.2549652425780433
V2_L,-0.10253170818608079
V3_L,0.5412092975458527
V4_L,1.8848941388783342
V8_L,4.7721101599305324
4_L,1.419905441529611
3b_L,1.4067593276613835
FEF_L,0.750323290241311
PEF_L,-0.829472366225217
55b_L,-0.25350439041971634
V3A_L,-0.22985197342337713
RSC_L,0.1397228883825553
POS2_L,3.4644721592656587
V7_L,0.14644200554526074
IPS1_L,0.17551981033065606
FFC_L,6.03919353197798
V3B_L,0.7653637534361662
LO1_L,-0.05220488051319715
LO2_L,1.884967626346355
PIT_L,2.6522485055510914
MT_L,0.28623266059457253
A1_L,1.3338681940040373
PSL_L,-0.7236400077019198
SFL_L,-0.9032512769618984
PCV_L,2.163774958109424
STV_L,-0.5412733713070598
7Pm_L,1.6514076339018324
7m_L,2.7660465149320554
POS1_L,0.7773056263086147
23d_L,-0.4092039657907886
v23ab_L,1.116790758848005
d23ab_L,0.042716802951612495
31pv_L,2.6915912232063004
5m_L,1.4825320402292863
5mv_L,0.7510932351258434
23c_L,0.14397784052810414
5L_L,1.1999120971721413
24dd_L,0.823794982084425
24dv_L,-0.6537820148703116
7AL_L,0.31065447408082864
SCEF_L,-0.9810978013896974
6ma_L,-0.4134229890779701
7Am_L,1.9567563101928211
7Pl_L,0.5848564787183568
7PC_L,0.024331175110147964
LIPv_L,-0.6266635420340215
VIP_L,-0.19683831298370622
MIP_L,-0.6008768165138625
1_L,0.29364415231482377
2_L,0.2207967483436002
3a_L,0.8854063081562186
6d_L,0.9677014426159785
6mp_L,0.6491575358953073
6v_L,-0.6101892714985111
p24pr_L,-0.8443707741663066
33pr_L,-1.7316239419005037
a24pr_L,-2.2964388519208017
p32pr_L,-2.2366739902179216
a24_L,-2.6930374233609413
d32_L,-2.248794343196504
8BM_L,-2.262864107314335
p32_L,-2.625768564334391
10r_L,-2.444602337630705
47m_L,-1.4325474162585852
8Av_L,-0.3831204576908966
8Ad_L,-0.7441531430340075
9m_L,-1.6300485311144322
8BL_L,-0.394970118545809
9p_L,-1.4582270298350073
10d_L,-1.0091254644828513
8C_L,-1.5989697799311267
44_L,-1.9362402835797765
45_L,-1.6750829479016878
47l_L,-2.057921016687599
a47r_L,-0.9353799409520775
6r_L,-1.9841239360974747
IFJa_L,-2.3470721125571457
IFJp_L,-1.9196592114345452
IFSp_L,-2.169880477428337
IFSa_L,-1.6782109451996587
p9-46v_L,-1.7085839725688143
46_L,-0.9957531858652231
a9-46v_L,-1.1987831763982761
9-46d_L,-0.9780535177170602
9a_L,-0.761472735587953
10v_L,-1.2989387886863941
a10p_L,-0.9253587933294672
10pp_L,-0.796823203349399
11l_L,-0.8209064954027973
13l_L,-1.3452705094666035
OFC_L,-1.0949733451747838
47s_L,-1.8475201978622158
LIPd_L,-1.766019489332613
6a_L,0.32288067849191027
i6-8_L,-0.3682481658123425
s6-8_L,-0.35385969749800517
43_L,-0.3517968730672749
OP4_L,0.4495720393849078
OP1_L,-0.24552445040101958
OP2-3_L,-0.7088256851623991
52_L,0.2776666335801318
RI_L,0.3680070702859707
PFcm_L,0.142732068454806
PoI2_L,-1.0280053556449373
TA2_L,-1.02443245959901
FOP4_L,-2.1949626064308343
MI_L,-2.565416077845863
Pir_L,-1.4907136960856313
AVI_L,-2.3905192314665604
AAIC_L,-2.5067621376005698
FOP1_L,-1.071312938559385
FOP3_L,-0.8747590764950846
FOP2_L,-0.9201893872875999
PFt_L,-0.36009089828674656
AIP_L,-0.18550532418905022
EC_L,-0.5487824486589034
PreS_L,-0.11332220321946161
H_L,-0.5733393757929628
ProS_L,0.29939849227297555
PeEc_L,-0.4664014553958129
STGa_L,-1.6337479837213842
PBelt_L,2.3044686800636716
A5_L,0.3806853014206145
PHA1_L,1.1045284615048183
PHA3_L,1.5773717449461089
STSda_L,-0.43980675430845634
STSdp_L,1.761486964495563
STSvp_L,0.03182992081375858
TGd_L,-1.064033470233975
TE1a_L,-0.9636446054490145
TE1p_L,-0.6683869939438896
TE2a_L,-0.9355087935197047
TF_L,0.2816831718194265
TE2p_L,1.0719377622566961
PHT_L,1.0585200606611198
PH_L,2.2413213472531397
TPOJ1_L,0.9486626710306022
TPOJ2_L,-1.2321643856877889
TPOJ3_L,-1.3146562516616878
DVT_L,0.9316776403198274
PGp_L,-0.3196946110905555
IP2_L,-1.656115630710897
IP1_L,-0.7807869689269152
IP0_L,0.06733510066561381
PFop_L,-0.10261022941492381
PF_L,-0.8650354761986911
PFm_L,-0.34548452374301974
PGi_L,-1.5088055911099996
PGs_L,0.1390460565460163
V6A_L,0.4387347486967334
VMV1_L,0.8569917309863904
VMV3_L,4.862774492773858
PHA2_L,0.6281737216984007
V4t_L,2.421321620194658
FST_L,2.0054174095194504
V3CD_L,0.2929738385582613
LO3_L,-0.497682366983323
VMV2_L,1.4867372257040725
31pd_L,2.2234252862169614
31a_L,0.43689628148455256
VVC_L,6.526701413006276
25_L,-1.8570481824956668
s32_L,-1.6751065574374604
pOFC_L,-1.4045196820108197
PoI1_L,-0.4596772018146877
Ig_L,-0.974170858694
