region,decision making
V1_L,-0.9284405480720181
MST_L,0.18916547237287631
V6_L,-0.8616453387936579
V2_L,-0.7274433043491265
V3_L,-0.6014870473899878
V4_L,-0.4811798189443738
V8_L,-0.01967096069589036
4_L,-0.19963218210936884
3b_L,-0.27041188605385147
FEF_L,1.0834959628935728
PEF_L,0.8056479828788323
55b_L,-0.4488526658935147
V3A_L,-0.7919581930950763
RSC_L,-0.2042126976141479
POS2_L,-0.6582280033569946
V7_L,-0.0791495135884733
IPS1_L,2.340111309694178
FFC_L,-1.090226162127901
V3B_L,0.025299507825858967
LO1_L,-0.009652391681401782
LO2_L,1.3543525474487852
PIT_L,1.7232208637070836
MT_L,1.19701012669235
A1_L,-2.887161481571394
PSL_L,-1.5187241458380163
SFL_L,-1.0033776396929905
PCV_L,-0.9705898290095084
STV_L,-1.7553316785934463
7Pm_L,-0.4469312289611763
7m_L,-2.311138464797736
POS1_L,-1.2620395894827596
23d_L,0.3528986673793643
v23ab_L,-1.0160084854220308
d23ab_L,-0.19911803919960624
31pv_L,-0.8115825735192129
5m_L,-1.232100863731158
5mv_L,-1.131219994290188
23c_L,-0.40485567007195294
5L_L,-0.7942010119918607
24dd_L,1.1641371047766376
24dv_L,2.3142037319786395
7AL_L,-1.2134560829519803
SCEF_L,1.2666983381376966
6ma_L,0.4293627551020691
7Am_L,0.07297191066400976
7Pl_L,1.4684218729154381
7PC_L,0.060492461787864736
LIPv_L,1.548187074508851
VIP_L,0.1715770739586082
MIP_L,1.9344269533447451
1_L,-0.46357772568250893
2_L,-0.6904290683140938
3a_L,-0.5167350541190368
6d_L,0.35546068390112806
6mp_L,-1.0236704186527323
6v_L,0.047472621459552306
p24pr_L,1.384799022125683
33pr_L,1.293045394100562
a24pr_L,2.494173358782331
p32pr_L,2.6455518082793374
a24_L,1.6964998180158117
d32_L,-0.8873220531082361
8BM_L,-0.7301068406322493
p32_L,0.895841341330165
10r_L,1.5610978860340405
47m_L,0.2198186366013745
8Av_L,-0.3135149435151671
8Ad_L,-0.05153477536074898
9m_L,-1.2117181991350465
8BL_L,-0.7816374965747764
9p_L,-0.7186841112856371
10d_L,0.023819200562809652
8C_L,0.04171017044315461
44_L,-1.4621877035945812
45_L,-0.8166226396861344
47l_L,-0.3232601432369314
a47r_L,-0.2064689917467054
6r_L,-0.450300749200293
IFJa_L,0.48426574916198795
IFJp_L,1.9452273361924437
IFSp_L,0.06250378720836156
IFSa_L,-0.8288693688438085
p9-46v_L,0.3125806398752896
46_L,-0.44219616427566233
a9-46v_L,0.23145534263528175
9-46d_L,-0.1755388971541871
9a_L,-0.3978085336013918
10v_L,0.7834356443500375
a10p_L,0.044432832380880714
10pp_L,0.5615488275211064
11l_L,1.2000586160628994
13l_L,0.9054022119010926
OFC_L,0.298143471941568
47s_L,0.8442702197475289
LIPd_L,3.607395162084255
6a_L,2.8161966086813477
i6-8_L,2.171329647640878
s6-8_L,0.4432733928507462
43_L,-0.8357360929424823
OP4_L,-0.9329106301028608
OP1_L,-1.8135203000175824
OP2-3_L,-1.4090805041604952
52_L,-1.857894559043744
RI_L,-1.0794889308133904
PFcm_L,-2.07770441264024
PoI2_L,-0.366565880798373
TA2_L,-1.671126889202437
FOP4_L,-0.3534132154667461
MI_L,1.5325238971401616
Pir_L,-0.6784847896450324
AVI_L,3.0129939046638405
AAIC_L,1.3506822959868852
FOP1_L,-1.3132499275738547
FOP3_L,0.08285920690677573
FOP2_L,-0.7026930348686924
PFt_L,-1.127366474386974
AIP_L,2.258356500350972
EC_L,-2.72955237565151
PreS_L,-2.2610267071520433
H_L,-2.813633120982915
ProS_L,-1.592401661580672
PeEc_L,-2.2125529666491888
STGa_L,-1.7266644591308105
PBelt_L,-3.33498010512835
A5_L,-2.5770145319706184
PHA1_L,-2.2285517645130692
PHA3_L,-2.2601062409360924
STSda_L,-2.3656986477238497
STSdp_L,-3.6379974573975473
STSvp_L,-3.5124582159028526
TGd_L,-1.8334340070980726
TE1a_L,-1.6789968891314098
TE1p_L,-1.8080041830205562
TE2a_L,-1.464834051251796
TF_L,-2.0699126963291072
TE2p_L,-1.4846807840945448
PHT_L,-1.4112603518693907
PH_L,-0.16269101655867524
TPOJ1_L,-2.3197438957520986
TPOJ2_L,-1.4676006661358407
TPOJ3_L,0.0285258692315544
DVT_L,-0.034109729127760245
PGp_L,0.059231842019555725
IP2_L,2.943687290209346
IP1_L,1.4928687075748595
IP0_L,0.9156942722534477
PFop_L,-1.4737013167679494
PF_L,-0.28833092962382534
PFm_L,-0.17973522540871076
PGi_L,-1.0931153610930702
PGs_L,-0.21717653135959458
