region,efficiency
V1_L,-0.11840487068274953
MST_L,2.544377619197804
V6_L,0.07812124569446231
V2_L,-0.46388650415452215
V3_L,-0.29052399412927676
V4_L,0.2688599459420816
V8_L,1.3429370352269698
4_L,0.37730862972676477
3b_L,0.5358578021045949
FEF_L,3.291144989297706
PEF_L,3.4792353666263782
55b_L,1.0553613262549852
V3A_L,-0.20708614258947766
RSC_L,-0.8765160622070067
POS2_L,0.39809944625453586
V7_L,1.792387780818788
IPS1_L,4.290105035920595
FFC_L,0.7944309090968725
V3B_L,2.045673026867876
LO1_L,1.0138872211976142
LO2_L,2.8900599759105776
PIT_L,2.894185808850591
MT_L,4.119212719019943
A1_L,-2.416372599671574
PSL_L,-1.2186558919281831
SFL_L,-0.6558965201953566
PCV_L,-0.9354725878878523
STV_L,-0.9270842305805788
7Pm_L,1.0195102303891934
7m_L,-1.4243113868209971
POS1_L,-0.6694293372189932
23d_L,-0.4934987553765446
v23ab_L,0.15090315409421468
d23ab_L,-0.8546379519098696
31pv_L,-0.7411132962862711
5m_L,-1.5297175302215094
5mv_L,-1.2053624146009472
23c_L,-0.5016227410046759
5L_L,-0.8390275318560919
24dd_L,2.045705517309866
24dv_L,3.96986824347678
7AL_L,-1.3719939200671223
SCEF_L,3.211194893100782
6ma_L,0.18785844314277217
7Am_L,-0.1051669937485658
7Pl_L,2.4382150753371983
7PC_L,0.9434863838854548
LIPv_L,3.022704364823497
VIP_L,0.6084729420967202
MIP_L,3.6374578109480598
1_L,-0.1052757741707411
2_L,0.2902947820806761
3a_L,-0.07922409316842342
6d_L,0.7694938655116228
6mp_L,-1.23966644226844
6v_L,1.704201516262934
p24pr_L,1.3215020683309602
33pr_L,-0.6724923227768641
a24pr_L,0.7873301094242896
p32pr_L,4.412214831028247
a24_L,-1.7813489612554458
d32_L,-1.3533904296312202
8BM_L,0.43447956469741106
p32_L,-1.7876594764800369
10r_L,-2.3953383415129985
47m_L,-1.4506656265912115
8Av_L,0.40573321605324475
8Ad_L,0.34952792250504244
9m_L,-1.2490040459836924
8BL_L,-0.8946097449193646
9p_L,-0.0012053605567777421
10d_L,-0.8009464817304791
8C_L,2.1006658701426946
44_L,1.5008951866597735
45_L,0.1541994595206705
47l_L,-0.8411068056970122
a47r_L,-0.8477908966949416
6r_L,2.158643411113378
IFJa_L,3.6443044445680246
IFJp_L,5.404338570769346
IFSp_L,3.6804796779343927
IFSa_L,0.9772819313064782
p9-46v_L,3.2367107469253296
46_L,0.6949005532934699
a9-46v_L,0.8120586614492403
9-46d_L,0.8609943589119796
9a_L,0.8399012562707393
10v_L,-1.3749075457792233
a10p_L,-0.25542038297522557
10pp_L,-0.47397644891147755
11l_L,-1.2290439777084392
13l_L,-2.454675253593484
OFC_L,-1.7499120425562618
47s_L,-2.3104701343660787
LIPd_L,5.905889432709546
6a_L,4.775240346687301
i6-8_L,4.120669209951708
s6-8_L,-0.23927699213202142
43_L,-1.0114773097593042
OP4_L,-1.5116107866623067
OP1_L,-1.9159653111489194
OP2-3_L,-1.513705275908817
52_L,-2.0046303648492714
RI_L,-0.9094459762252249
PFcm_L,-1.6416659778983447
PoI2_L,-2.1523419078869415
TA2_L,-1.7159301301286887
FOP4_L,0.39325269919163774
MI_L,0.22081380999084896
Pir_L,-3.2107757922047644
AVI_L,0.9460872654974843
AAIC_L,-1.394782064815267
FOP1_L,-0.9938190691027842
FOP3_L,-0.11328348414070637
FOP2_L,-0.49479910070993466
PFt_L,-0.7921120004949425
AIP_L,3.960629056705216
EC_L,-2.7996123029374878
PreS_L,-1.7293427513152133
H_L,-2.4130990713212457
ProS_L,-1.534609695569107
PeEc_L,-2.318763731579641
STGa_L,-1.2302326453422998
PBelt_L,-2.1718058156549622
A5_L,-1.7754487524964004
PHA1_L,-1.924860976201814
PHA3_L,-1.8019313583565721
STSda_L,-1.7750616675670747
STSdp_L,-1.7429236624273925
STSvp_L,-1.7847121092788059
TGd_L,-1.8001507319307246
TE1a_L,-1.1367825744162845
TE1p_L,-0.8722953900108175
TE2a_L,-1.1022607955820596
TF_L,-1.5736001807226419
TE2p_L,-1.069327297290652
PHT_L,0.0031000447954920487
PH_L,2.010181208104455
TPOJ1_L,-0.8443446039940117
TPOJ2_L,0.4334549309467759
TPOJ3_L,2.0971430116439462
DVT_L,1.3464843382503449
PGp_L,1.5890820075042464
IP2_L,5.228640333706412
IP1_L,4.0446426832475515
IP0_L,3.215683626888233
PFop_L,-1.336120756708043
PF_L,-0.06965478272284019
PFm_L,0.44093827450919176
PGi_L,0.04137279495916715
PGs_L,0.6803264757166421
V6A_L,1.480580597989925
VMV1_L,-1.078146054231452
VMV3_L,0.3129618560368775
PHA2_L,-2.0915202552151655
V4t_L,4.223527565964028
FST_L,3.855137902032865
V3CD_L,0.3993404077451608
LO3_L,3.3807158481884123
VMV2_L,-1.182963170921452
31pd_L,-1.1704352906644861
31a_L,-1.0260072930816042
VVC_L,0.14479964128623155
25_L,-2.427381329980931
s32_L,-1.5148147862979646
pOFC_L,-1.997060176084065
PoI1_L,-2.279733617561745
Ig_L,-1.4678870375593753
FOP5_L,0.5240797625588912
p10p_L,-0.6357740162324332
p47r_L,0.3019663080505543
TGv_L,-1.5415571334953402
MBelt_L,-2.002243908684976
LBelt_L,-2.446259508717713
A4_L,-1.6306480276195952
STSva_L,-2.037887127714468
TE1m_L,-1.0785193837120943
PI_L,-1.970861949305836
a32pr_L,0.5570763762005153
p24_L,-2.3680715249750737
V1_R,0.06674456059692245
MST_R,3.609559927453515
V6_R,0.45577772661544613
V2_R,-0.12406243369914996
V3_R,0.0812064532639097
V4_R,0.5360101851369586
V8_R,0.7347407517989009
4_R,-0.5857893290634257
3b_R,-0.48564590266449276
FEF_R,1.598946987600299
PEF_R,2.455260116487911
55b_R,0.43312676694508856
V3A_R,0.6519978889619503
RSC_R,-0.6967562521940687
POS2_R,0.8908729231059864
V7_R,1.9950323316784941
IPS1_R,4.392431279335466
FFC_R,0.35911621533174876
V3B_R,3.347489432714984
LO1_R,2.4027492586000627
LO2_R,0.8730945235162161
PIT_R,0.18555471563182266
MT_R,1.737269995731305
A1_R,-2.1733754217521284
PSL_R,-1.0504574692909283
SFL_R,-1.5015976588644269
PCV_R,-1.3467474025416823
STV_R,-1.1454699923235556
7Pm_R,2.4214979127357514
7m_R,-1.3492253689280385
POS1_R,-0.6172266269330244
23d_R,0.10469828481775549
v23ab_R,-0.7859170519402636
d23ab_R,-0.9479099271276153
31pv_R,-0.3899385028972848
5m_R,-1.7125672824321665
5mv_R,-1.1024936742599072
23c_R,-0.7812374557996778
5L_R,-0.46495731095028037
24dd_R,0.44266327300539277
24dv_R,1.7212512874328147
7AL_R,0.15745788418944728
SCEF_R,0.9081991333920333
6ma_R,-0.01275592800973332
7Am_R,-0.17786405856190807
7Pl_R,1.5449368483695711
7PC_R,0.2807784777751302
LIPv_R,3.0980143781593967
VIP_R,0.3538278833484525
MIP_R,3.1508511614579513
1_R,-0.6369593741200217
2_R,-0.3407725050760027
3a_R,-0.5676612818979871
6d_R,-0.07194583239285224
6mp_R,-0.4547915355028278
6v_R,1.073480541316087
p24pr_R,1.5122772105681284
33pr_R,-0.08282122666604147
a24pr_R,2.061081916658686
p32pr_R,3.2320142405590704
a24_R,-2.4296290841695307
d32_R,-1.185540246341573
8BM_R,0.44025057571463894
p32_R,-2.538009706390944
10r_R,-3.0040663677917845
47m_R,-0.43830730770219345
8Av_R,-0.4004293115225694
8Ad_R,0.3685355166685056
9m_R,-1.877647880366125
8BL_R,-1.3295347957212973
9p_R,0.6683809204929169
10d_R,-0.8125844952220752
8C_R,1.1711494460003604
44_R,0.04539296895675694
45_R,-0.821157749975827
47l_R,0.3043788443916295
a47r_R,0.5691827689634156
6r_R,1.4280671068177777
IFJa_R,2.125160394256371
IFJp_R,1.5050956885547089
IFSp_R,2.549162497710841
IFSa_R,0.015620273044107628
p9-46v_R,3.1333145007845626
46_R,2.2967993687063846
a9-46v_R,1.9980864327546488
9-46d_R,1.7002167567138593
9a_R,0.08069348897306637
10v_R,-1.6258014969708858
a10p_R,0.20286376849500581
10pp_R,0.5607016294943419
11l_R,-0.5991567230380189
13l_R,-2.54942659867451
OFC_R,-1.9693765756387156
47s_R,-1.4316948343847504
LIPd_R,5.345346928082235
6a_R,4.003291409089693
i6-8_R,2.0430258821977487
s6-8_R,-1.1499079547477666
43_R,-0.7899758189069384
OP4_R,-1.7339145919473344
OP1_R,-1.7975418441250395
OP2-3_R,-1.1763081735270602
52_R,-1.7129823762148213
RI_R,-2.0244274466005945
PFcm_R,-1.6699548605909786
PoI2_R,-2.0795424258953443
TA2_R,-2.3095315249099917
FOP4_R,0.6873396733143239
MI_R,1.1995974590068224
Pir_R,-2.7604587960900338
AVI_R,3.1061390412748726
AAIC_R,0.5881215244644098
FOP1_R,-0.8582141899493684
FOP3_R,0.05253647825723214
FOP2_R,0.5331387409260471
PFt_R,-0.8745897410674398
AIP_R,1.999032213019839
EC_R,-2.066826151020774
PreS_R,-2.1817717523868736
H_R,-2.3966540676338064
ProS_R,-1.6444587678820097
PeEc_R,-2.057783660710156
STGa_R,-1.392112092307399
PBelt_R,-2.484751001216299
A5_R,-2.517523743553618
PHA1_R,-1.5726378524313247
PHA3_R,-1.2369225489861526
STSda_R,-1.9236728618757188
STSdp_R,-1.652251590052591
STSvp_R,-1.5095645540422487
TGd_R,-1.2425374079100806
TE1a_R,-1.5140321926142948
TE1p_R,-0.9333406320824488
TE2a_R,-0.9742900490789372
TF_R,-1.5019648408649946
TE2p_R,-0.4075316732106619
PHT_R,-0.5439114516934238
PH_R,1.4293466954491763
TPOJ1_R,-0.8010291152352952
TPOJ2_R,-0.4323045712114019
TPOJ3_R,-0.7900373441135039
DVT_R,1.9856864541593078
PGp_R,0.38463468796947836
IP2_R,3.249419149078749
IP1_R,2.957242483872415
IP0_R,2.2912006737507205
PFop_R,-1.0554716296346183
PF_R,-0.8428045875064714
PFm_R,-0.042631355482610565
PGi_R,-0.6375299298957477
PGs_R,0.07760948149217228
V6A_R,1.757451035960547
VMV1_R,-0.6819146601217453
VMV3_R,-0.5820786589131244
PHA2_R,-1.346366443609353
V4t_R,3.3211595902589592
FST_R,2.7755265170761017
V3CD_R,1.590784817893159
LO3_R,1.260083344215258
VMV2_R,-1.2499005012338742
31pd_R,0.2556469699697418
31a_R,-1.1417248955120876
VVC_R,-0.06997430297882601
25_R,-3.2739123497428784
s32_R,-3.0481534955674223
pOFC_R,-3.3542229200687563
PoI1_R,-2.421540149207849
Ig_R,-1.7762699970662665
FOP5_R,0.7131730358173703
p10p_R,-0.41490065723255304
p47r_R,0.8851259958830189
TGv_R,-1.6557999292749364
MBelt_R,-2.072107190051895
LBelt_R,-2.118089377240204
A4_R,-2.3201552595689763
STSva_R,-1.248491264583599
