region,empathy
V1_L,-1.8787627288566509
MST_L,-1.4393139141928284
V6_L,-1.6452824700371311
V2_L,-1.8483792309980014
V3_L,-1.4788774825140418
V4_L,-1.7047002604583497
V8_L,-1.2775305527357705
4_L,0.05233293653830411
3b_L,0.9705460813375159
FEF_L,-1.3852453077752245
PEF_L,-2.2654980395363116
55b_L,-1.2550942284842863
V3A_L,-1.1975088108544956
RSC_L,-1.6079207385893861
POS2_L,-2.124597679043773
V7_L,-2.0702224525202397
IPS1_L,-2.748077290341383
FFC_L,-0.9409531133959643
V3B_L,-2.7277895928626785
LO1_L,-1.3547147900641079
LO2_L,-0.9005438147965572
PIT_L,-1.4429371608227195
MT_L,-2.054974418494689
A1_L,4.8276075894144155
PSL_L,0.9848628455404699
SFL_L,-0.7049750362443677
PCV_L,-0.722704441920198
STV_L,0.29383702313932897
7Pm_L,-2.2904298253791886
7m_L,-3.358636710006928
POS1_L,-2.7934182888273296
23d_L,0.24066928704419924
v23ab_L,-3.8661611284701887
d23ab_L,-2.5310397243390836
31pv_L,-3.1258180403600195
5m_L,1.5888169613970002
5mv_L,0.23364342189025572
23c_L,-0.2698360572875415
5L_L,0.617905869030096
24dd_L,0.10775263339691009
24dv_L,1.6511480544194073
7AL_L,0.6067938626422738
SCEF_L,0.32424222815305453
6ma_L,-0.9162805716449394
7Am_L,-0.3837965631996677
7Pl_L,-1.4600585122925314
7PC_L,1.5329821685556653
LIPv_L,-1.8236300556744853
VIP_L,-0.17098361835047257
MIP_L,-2.991285274833349
1_L,1.203067310244056
2_L,2.5119479433147416
3a_L,0.30159492339487776
6d_L,-0.5661030783723927
6mp_L,-0.3905663901666826
6v_L,-0.25405745481508873
p24pr_L,2.2957818605332645
33pr_L,3.9659373868725307
a24pr_L,3.4551947675625176
p32pr_L,1.4990804516472387
a24_L,-2.1094070094658615
d32_L,-0.84309933746045
8BM_L,-0.7291741241882331
p32_L,-2.363692960676441
10r_L,-2.196431824873132
47m_L,-0.31063880033567054
8Av_L,-1.558379044011131
8Ad_L,-1.4857021132579713
9m_L,-1.538017752466456
8BL_L,-0.5726841047137615
9p_L,-1.6796124628498366
10d_L,-1.2342223834142563
8C_L,-2.2137624065911505
44_L,-0.9202439754664681
45_L,0.2814545595436232
47l_L,0.23376786085753035
a47r_L,-0.9854363269642575
6r_L,0.03699354929085905
IFJa_L,-1.8944667035172589
IFJp_L,-1.949008481464578
IFSp_L,-1.3950441777040121
IFSa_L,-0.8495859846817763
p9-46v_L,-1.5260273155016224
46_L,-0.9113235311268278
a9-46v_L,-1.7606446991005353
9-46d_L,-1.2221640112111793
9a_L,-1.3236430000439263
10v_L,-0.6907446854110391
a10p_L,-1.447221173622926
10pp_L,-0.503936977109036
11l_L,-0.7289516013270845
13l_L,-0.6710749607590171
OFC_L,-1.1242259505878487
47s_L,0.5183334242031867
LIPd_L,-2.390501227216656
6a_L,-1.6929595240725106
i6-8_L,-2.7221045814052807
s6-8_L,-0.39680903010053387
43_L,3.772979581795001
OP4_L,2.680667818507958
OP1_L,5.175573751860787
OP2-3_L,3.7607902960176167
52_L,5.075857183288433
RI_L,2.1676490127924835
PFcm_L,4.401994895300512
PoI2_L,9.428328273108812
TA2_L,3.60559740942035
FOP4_L,5.2633961697642855
MI_L,11.480122548970602
Pir_L,1.704870941468172
AVI_L,4.090433235594847
AAIC_L,6.394942992398198
FOP1_L,5.952045362650861
FOP3_L,7.510754476238294
FOP2_L,4.741711893051338
PFt_L,3.3564067999044607
AIP_L,0.8155431984063772
EC_L,-1.0264523202458855
PreS_L,-1.7403696329392437
H_L,-1.658956437711774
ProS_L,-2.080612917183149
PeEc_L,-0.6971259997072419
STGa_L,1.0436985576947382
PBelt_L,2.2669766280874892
A5_L,0.980802245472957
PHA1_L,-1.6917674883416094
PHA3_L,-1.4209465566591724
STSda_L,1.2510152341890428
STSdp_L,0.10856852636379292
STSvp_L,-0.6293271352359596
TGd_L,-0.33421002632433866
TE1a_L,-0.07610285378928862
TE1p_L,-1.5566212158784782
TE2a_L,-0.81447117013037
TF_L,-0.9151407550183613
TE2p_L,-1.2271368620130532
PHT_L,-0.4384266799453544
PH_L,-0.9196942084989436
TPOJ1_L,0.9619759060095737
TPOJ2_L,-0.9983256426845475
TPOJ3_L,-3.3575483623338145
DVT_L,-1.8180019229021618
PGp_L,-2.0007800084325025
IP2_L,-0.75707758821655
IP1_L,-3.4116511236899982
IP0_L,-3.0742939035286483
PFop_L,4.200045928281826
PF_L,1.8000854914622153
PFm_L,-0.7287066634241595
PGi_L,-2.91710122809965
PGs_L,-2.0527328485417913
V6A_L,-1.332888609020055
VMV1_L,-2.1779557699752456
VMV3_L,-1.2661466407417148
PHA2_L,-2.388557773469035
V4t_L,-0.8494756754357929
FST_L,-0.5167337710214598
V3CD_L,-2.265968514005238
LO3_L,-2.195818341626372
VMV2_L,-1.8620014898553807
31pd_L,-3.411427862004356
31a_L,-1.0260169508582326
VVC_L,-1.1363340736874752
25_L,-1.9546624931027063
s32_L,-2.0069170001314607
pOFC_L,-1.2439020696335883
PoI1_L,6.511014947935477
Ig_L,5.454316496424746
FOP5_L,3.5014116870986576
p10p_L,-1.6849390397835584
p47r_L,-1.8476024410033434
TGv_L,-0.5850808356091917
MBelt_L,6.368054336050231
LBelt_L,2.1274839068623095
A4_L,1.6910162785409748
STSva_L,0.29259693349377175
TE1m_L,-1.2350318975656276
PI_L,3.0186907895123403
a32pr_L,0.24472828049330758
p24_L,-0.28475245430328433
V1_R,-1.763326186796518
MST_R,1.8445948472453453
V6_R,-1.822848252540398
V2_R,-1.7013934469652554
V3_R,-1.6965792594035978
V4_R,-1.3493444172573028
V8_R,-2.621175765697168
4_R,0.7843015726514416
3b_R,1.3921660415606842
FEF_R,-0.3396831219211273
PEF_R,1.0269139184919578
