region,face recognition
V1_L,0.4024779706548746
MST_L,0.2662256313018471
V6_L,-1.0099413188849224
V2_L,0.8048154117239935
V3_L,1.1125622872140861
V4_L,2.8477663089612455
V8_L,6.3334755371721885
4_L,-0.6378657560039441
3b_L,-0.8365089891221685
FEF_L,-0.6262079408794091
PEF_L,-1.4196912034597653
55b_L,-0.4991308971074166
V3A_L,-0.7580635052605822
RSC_L,-0.257722688272726
POS2_L,-1.294010969320321
V7_L,-1.0314649171195602
IPS1_L,-0.42795651854219496
FFC_L,7.6055234064638295
V3B_L,-1.0370691502327976
LO1_L,1.47552192298374
LO2_L,2.166802430543314
PIT_L,3.567605328638163
MT_L,-0.5117915360099085
A1_L,-1.0045771700014714
PSL_L,-0.4998127510477092
SFL_L,-0.4333065737843077
PCV_L,-1.404431017256948
STV_L,-0.15233715586446614
7Pm_L,-1.3366835195451912
7m_L,-0.5779978513580275
POS1_L,0.11719842392558603
23d_L,-0.8357561712239443
v23ab_L,0.40008572775855256
d23ab_L,-0.12434621480585899
31pv_L,0.6249449588576482
5m_L,-1.1775736241566397
5mv_L,-0.8765745928154397
23c_L,-0.9290724238918131
5L_L,-0.5329324433510908
24dd_L,-1.1372572526516955
24dv_L,-1.3947783225476182
7AL_L,-0.6115226231704936
SCEF_L,-1.4349155553851909
6ma_L,-0.7277021425237855
7Am_L,-0.9005419242734233
7Pl_L,-0.8281187286762489
7PC_L,-0.632448245457447
LIPv_L,-0.7339364527486578
VIP_L,-0.7634401674964956
MIP_L,-0.8183027901403521
1_L,-0.4794789309527751
2_L,-0.8845435620568894
3a_L,-1.097812316018501
6d_L,-0.6894202718986476
6mp_L,-1.0398906015080087
6v_L,-0.8840066232135964
p24pr_L,-1.525226973709967
33pr_L,-1.5826866331720075
a24pr_L,-1.5036447996711888
p32pr_L,-1.3542056289815727
a24_L,-0.5671103446043635
d32_L,-0.6455905710300578
8BM_L,-0.5910822383410699
p32_L,-0.06596091756240674
10r_L,-0.5891787236282499
47m_L,-1.5628486061665956
8Av_L,-0.37944488392176695
8Ad_L,-0.8300110510835161
9m_L,-0.6047635136480404
8BL_L,-0.5824748657553949
9p_L,-0.694416162347334
10d_L,-0.8054347664459286
8C_L,-1.2913422119568452
44_L,-0.5828849804454603
45_L,-0.6865231267236181
47l_L,-0.989512209067633
a47r_L,-0.7091073770905808
6r_L,-1.6237548387827303
IFJa_L,-0.986864470290525
IFJp_L,-1.64549571171821
IFSp_L,-0.6154346129044311
IFSa_L,-0.9368757879001204
p9-46v_L,-0.7058005690458491
46_L,-1.0096982178916512
a9-46v_L,-0.8499053499515354
9-46d_L,-1.3087629945070722
9a_L,-0.855402371027424
10v_L,-0.4824156754071183
a10p_L,-0.9446231016495902
10pp_L,-0.18258858401267322
11l_L,-0.6745052391170002
13l_L,-0.9898767036762879
OFC_L,-0.5734324646504729
47s_L,-0.5360527821093335
LIPd_L,-0.6521371046354503
6a_L,-1.5779001930817929
i6-8_L,-1.2829474835801653
s6-8_L,-0.18053539195379417
43_L,-1.0267356787856405
OP4_L,-1.2703793711603122
OP1_L,-0.5350999350645088
OP2-3_L,-0.8219398324715691
52_L,-1.154723765917751
RI_L,-0.49761483783158383
PFcm_L,-1.3926550119566947
PoI2_L,-1.019848723258506
TA2_L,-1.6901286941697407
FOP4_L,-0.8938032992551065
MI_L,-0.8031841687652461
Pir_L,-0.770824095879307
AVI_L,-1.4394035257778284
AAIC_L,-0.8915046103507955
FOP1_L,-1.4023087190666597
FOP3_L,-0.4662131766796224
FOP2_L,-1.201657105801871
PFt_L,-1.3051480965465707
AIP_L,-1.3071054155693578
EC_L,0.8778820903005914
PreS_L,-0.0325281216481651
