region,fear
V1_L,-0.7513187849519624
MST_L,-1.284458448286158
V6_L,-1.1907819487297935
V2_L,-0.9902385058921693
V3_L,-0.8389644064845732
V4_L,-0.5278646822062502
V8_L,0.4275524546216809
4_L,-1.4172604252745988
3b_L,-1.4065198325876467
FEF_L,-1.6478180018098152
PEF_L,-3.044722533790747
55b_L,-0.9322168042738549
V3A_L,-0.9102080253823422
RSC_L,-0.23674588908722755
POS2_L,-1.8539727511940751
V7_L,-0.7864058342350766
IPS1_L,-2.8033151356619785
FFC_L,0.4011371495073075
V3B_L,-0.04557031230982824
LO1_L,-0.13377938686443092
LO2_L,-1.0466730343136397
PIT_L,-0.20688169647165605
MT_L,-0.8374387278039204
A1_L,0.026112784875217804
PSL_L,-1.4236148402274276
SFL_L,0.2018509021591362
PCV_L,-0.6087536707524305
STV_L,-1.4206664988332525
7Pm_L,-1.9279668912129424
7m_L,-1.68076013665446
POS1_L,-1.6223279513087963
23d_L,-0.022249729704287458
v23ab_L,-1.0997636421766603
d23ab_L,-1.0096119393131777
31pv_L,-1.6856620930192037
5m_L,-0.41882029098163
5mv_L,-0.02118527626873741
23c_L,0.2130956931630784
5L_L,-0.451018528088597
24dd_L,-0.9540891124542034
24dv_L,-0.5866162303343658
7AL_L,-1.1066341502961654
SCEF_L,-2.0425604122850967
6ma_L,-0.7349506917283204
7Am_L,-0.8152171391092311
7Pl_L,-1.4796288267247069
7PC_L,-1.0487942746656527
LIPv_L,-1.8524142867297821
VIP_L,-1.173790410437207
MIP_L,-3.3042017984899004
1_L,-0.901487519471791
2_L,-1.374414050986338
3a_L,-1.3517308080710546
6d_L,-1.2195381374023524
6mp_L,-0.9621596226305371
6v_L,-1.766509281786345
p24pr_L,0.9062713322635868
33pr_L,1.9021161876580814
a24pr_L,0.6949953274563755
p32pr_L,-1.731500227042514
a24_L,1.4438445398066972
d32_L,-0.16442480182185884
8BM_L,-1.5274878178918692
p32_L,1.217832510237737
10r_L,0.34751106799204584
47m_L,0.320914704075493
8Av_L,-0.8114710463218131
8Ad_L,-0.19633379071409912
9m_L,-0.7448652493102085
8BL_L,-0.045204072547551
9p_L,-0.5162017907211276
10d_L,-0.14278946824787128
8C_L,-2.1908984626573385
44_L,-1.7180740225674542
45_L,-0.9268351763168499
47l_L,0.08291675925706976
a47r_L,-0.6366758115428014
6r_L,-2.891268994734017
IFJa_L,-2.3530050768895565
IFJp_L,-3.7566084795490418
