region,inhibition
V1_L,-2.0023711467351815
MST_L,-2.5619530173599947
V6_L,-0.8312982693246026
V2_L,-1.9115836042546401
V3_L,-1.4201562835813601
V4_L,-1.5960467443811281
V8_L,-2.0823016077550167
4_L,7.845844778884506
3b_L,7.879674610331576
FEF_L,6.07482611798657
PEF_L,3.1453008558193636
55b_L,2.051801667641345
V3A_L,-0.9794552410916406
RSC_L,-1.5333231388051218
POS2_L,-1.4782696022107678
V7_L,-0.40509213723441545
IPS1_L,1.3254706297354508
FFC_L,-2.3770091605019963
V3B_L,-1.367907407453051
LO1_L,-1.3674448191607285
LO2_L,-1.2694568974173281
PIT_L,-1.3236258346391805
MT_L,-3.047289795000037
A1_L,0.05787985241924036
PSL_L,0.13163369101725403
SFL_L,0.06276821455466355
PCV_L,-0.9035443781607044
STV_L,-1.3715889759098183
7Pm_L,-0.953329494759198
7m_L,-3.4054460316834354
POS1_L,-2.8131242478473824
23d_L,2.011959762929694
v23ab_L,-2.6519005761873613
d23ab_L,-1.6892505352073284
31pv_L,-2.2215120909677624
5m_L,3.5755680220093744
5mv_L,2.0758154348746873
23c_L,1.1663521936824965
5L_L,2.6059107696376245
24dd_L,9.039981871342498
24dv_L,6.6815463600968945
7AL_L,1.5134086747873943
SCEF_L,5.343814670246134
6ma_L,1.3001922175706548
7Am_L,0.8802647769627409
7Pl_L,2.4680416524809177
7PC_L,4.106200943271625
LIPv_L,2.2263191704145555
VIP_L,1.9039932408357036
MIP_L,2.4522411818390784
1_L,3.92346700868627
2_L,5.921337273698732
3a_L,5.329175056207225
6d_L,5.408951256953803
6mp_L,5.120946647858257
6v_L,2.4957139606026533
p24pr_L,4.807710675493089
33pr_L,0.9206483530571621
a24pr_L,1.0064131364176303
p32pr_L,1.9816278284388755
a24_L,-2.740562294808838
d32_L,-2.2456800071741445
8BM_L,-1.30051112433652
p32_L,-2.6445834851766126
10r_L,-3.630672764198197
47m_L,-1.6555912191557034
8Av_L,-0.4699690274919991
8Ad_L,-0.8858661883991092
9m_L,-2.5004772841262617
8BL_L,-1.177503497994297
9p_L,-1.393866335965619
10d_L,-1.391060029293243
8C_L,-0.27216164368235685
44_L,0.7097463666793755
45_L,-0.1344888644229803
47l_L,-1.1709443333372112
a47r_L,-1.2306556104485673
6r_L,2.37559985485507
IFJa_L,-0.10171097098896299
IFJp_L,0.43492849228879427
IFSp_L,0.11820185445408594
IFSa_L,0.008716780090413458
p9-46v_L,-0.202569647273708
46_L,-0.09491792837694855
a9-46v_L,-0.691009797454803
9-46d_L,-0.8466967126724758
9a_L,-0.8798992565371918
10v_L,-2.0677379585344635
a10p_L,-1.3590862293491912
10pp_L,-0.9396854651638936
11l_L,-1.7693108127207586
13l_L,-1.7882521893009078
OFC_L,-1.8612758075783573
47s_L,-1.8936427043066206
LIPd_L,1.1081175217034824
6a_L,6.283989909044574
i6-8_L,3.220603020899292
s6-8_L,-0.3970622819450167
43_L,3.2375403906546256
OP4_L,2.424556165888571
OP1_L,2.7421416438936004
OP2-3_L,0.9155206476309922
52_L,-1.281204655836545
RI_L,1.240180056038055
PFcm_L,2.9042397919038336
PoI2_L,0.9208447024246998
TA2_L,-0.43457007458453417
FOP4_L,0.9059035760409615
MI_L,0.995161574500564
Pir_L,-2.8970695424399553
AVI_L,-0.9045869608085952
AAIC_L,-1.5105256853884652
FOP1_L,3.6204611477167585
FOP3_L,1.8015555242759862
FOP2_L,1.9029150307815683
PFt_L,4.111852043906199
AIP_L,6.127548518125843
EC_L,-3.243344302000265
PreS_L,-3.2549290697954616
H_L,-3.334065554670176
ProS_L,-2.661015386805052
PeEc_L,-2.7305891404992155
STGa_L,-2.0074931306307957
PBelt_L,-0.3105273517923004
A5_L,-2.0427716189933927
PHA1_L,-3.1399983477120124
PHA3_L,-2.9349143333322956
STSda_L,-2.639233981904593
STSdp_L,-2.9396438434958867
STSvp_L,-3.5910747079148573
TGd_L,-2.0659872314757157
TE1a_L,-1.928474168208182
TE1p_L,-2.3750053029430918
TE2a_L,-1.5283507119100936
TF_L,-2.114680147209906
TE2p_L,-2.066648786074532
PHT_L,-1.3490570638537775
PH_L,-1.4630164279106865
TPOJ1_L,-0.9492958212525296
TPOJ2_L,-2.8343275829135433
TPOJ3_L,-2.05258154320349
DVT_L,-0.6883790920404249
PGp_L,-1.3759877740896787
IP2_L,3.3958551974803095
IP1_L,0.06452718877178423
IP0_L,-1.3055489342045588
PFop_L,2.525694937646414
PF_L,1.76098050558188
PFm_L,0.5858360531732122
PGi_L,-2.2160379851156757
PGs_L,-1.4186893784027121
V6A_L,0.0666615211615594
VMV1_L,-2.2783005242565557
VMV3_L,-1.369295292748938
PHA2_L,-3.629490839766849
V4t_L,-1.7540256280053457
FST_L,-2.3872979258995732
V3CD_L,-1.453297055105915
LO3_L,-1.8372010403388828
VMV2_L,-2.849545760476299
31pd_L,-3.068030501076653
31a_L,-0.09822826045191568
VVC_L,-2.6763177122962243
25_L,-2.9270128903044634
s32_L,-2.5604838130530907
pOFC_L,-2.125012580326772
PoI1_L,-0.34977088907323456
Ig_L,0.9029873141059145
FOP5_L,-0.07951774099345302
p10p_L,-0.8649584143186685
p47r_L,-1.0299919834952609
TGv_L,-1.3627634367863184
MBelt_L,-0.3393158662361282
LBelt_L,-1.3828373493926003
A4_L,-0.4058371966042503
STSva_L,-3.17642707405023
TE1m_L,-2.4870304063424253
PI_L,-1.87840035029789
a32pr_L,-1.3546627860059353
p24_L,-1.9977381851703102
V1_R,-1.886534970055565
MST_R,-1.919290136613866
V6_R,-1.642019042803468
V2_R,-1.9255358637350881
V3_R,-1.3671562255355911
V4_R,-1.8018224820291717
V8_R,-2.3781479595044375
4_R,5.638717508707649
3b_R,5.748081312160344
FEF_R,4.6488798410347885
PEF_R,2.614317473168502
55b_R,2.2775224528582827
V3A_R,-0.6847281244129104
RSC_R,-0.7841275833727405
POS2_R,-0.26328622820302106
V7_R,-1.058039627298455
IPS1_R,0.29915338836905475
FFC_R,-1.9682967582362731
V3B_R,-1.402837886194563
LO1_R,-1.299521911283772
LO2_R,-1.7362444909888681
PIT_R,-1.3724400386470672
MT_R,-2.330482969665769
A1_R,-0.038890964852359114
PSL_R,0.7283096960432283
SFL_R,-0.28561743418726154
PCV_R,-0.7030780195344909
STV_R,-0.2238338807658186
7Pm_R,0.23249601866703892
7m_R,-2.197203532901359
POS1_R,-2.1767022276545056
23d_R,1.4675332533450642
v23ab_R,-2.384700093600021
d23ab_R,-0.9622319990589064
31pv_R,-0.6871406744471961
5m_R,1.935535562416949
5mv_R,1.4665792137993487
23c_R,0.5131672709541731
5L_R,1.290147076991862
24dd_R,7.519733221115443
24dv_R,6.443966888639791
7AL_R,1.7961528025566733
SCEF_R,4.338387665894697
6ma_R,0.5157419143353109
7Am_R,0.5221841089566971
7Pl_R,0.4238059925397826
7PC_R,2.552745669496242
LIPv_R,2.447932707666382
VIP_R,1.757112160431036
MIP_R,1.2724909280769654
1_R,3.5734387244323087
2_R,5.435295059932521
3a_R,5.389696013229722
6d_R,4.7468310958252244
6mp_R,4.811939536720058
6v_R,2.5338877759817775
p24pr_R,4.253732738155377
33pr_R,1.0191285192603268
a24pr_R,0.7856259264355452
p32pr_R,1.6360504942533431
a24_R,-1.9163075650207493
d32_R,-1.456010494270204
8BM_R,-0.5660149884392244
p32_R,-2.216295774139422
10r_R,-3.362530795398064
