region,motor control
V1_L,-1.5072619162349337
MST_L,-2.2762682826164773
V6_L,-0.7239888485785572
V2_L,-1.365954376400392
V3_L,-1.000149488790458
V4_L,-1.2446584390903586
V8_L,-1.4475329239500303
4_L,10.201652061952524
3b_L,9.966988258199494
FEF_L,6.912390737961791
PEF_L,2.460605696083539
55b_L,2.4194648283543976
V3A_L,-0.23259351337032222
RSC_L,-1.951837060076794
POS2_L,-1.8966055918334666
V7_L,-0.32866142116576613
IPS1_L,0.09440218380118852
FFC_L,-2.0015663201294944
V3B_L,-1.7680912382099225
LO1_L,-1.1763700417613419
LO2_L,-0.5863150255307967
PIT_L,-0.7671668911775023
MT_L,-2.628426490561176
A1_L,0.3244049654527761
PSL_L,0.32459375661411655
SFL_L,0.13378582862110636
PCV_L,-1.281063021388232
STV_L,-0.9375555744834229
7Pm_L,-1.1937577766701146
7m_L,-3.017115311275677
POS1_L,-2.973007386818042
23d_L,1.972654508949018
v23ab_L,-3.061928827786471
d23ab_L,-2.055869855036092
31pv_L,-2.1081570739308853
5m_L,4.200785996298062
5mv_L,2.8653511516779164
23c_L,1.5214320356182431
5L_L,3.2321775736559717
24dd_L,10.698628717893067
24dv_L,5.826798701655212
7AL_L,2.2136110400538396
SCEF_L,4.608197185441676
6ma_L,1.4674346609761897
7Am_L,1.012452961904651
7Pl_L,2.2846307083322204
7PC_L,4.433190162181186
LIPv_L,2.4958733405176727
VIP_L,2.573275270095372
MIP_L,1.755340966001861
1_L,4.518744454566254
2_L,6.722960577807821
3a_L,6.901455791443145
6d_L,7.353122448878627
6mp_L,7.261437667968533
6v_L,2.3013297817205274
p24pr_L,3.7290756359320922
33pr_L,-1.355554243658208
a24pr_L,-2.0968207876254215
p32pr_L,-1.4157020674182605
a24_L,-2.664207023093917
d32_L,-2.6190973644676934
8BM_L,-2.402753233903709
p32_L,-2.1926996878441734
10r_L,-3.0660899503387378
47m_L,-2.583561981012508
8Av_L,-0.4875333497749172
8Ad_L,-1.244008690190418
9m_L,-2.5402940340850395
8BL_L,-1.0363356360604778
9p_L,-1.6291293091841552
10d_L,-1.1882148606932446
8C_L,-1.1700238472085196
44_L,-1.8561858044009043
45_L,-2.3203992271864156
47l_L,-2.573064210684833
a47r_L,-1.3058396209815437
6r_L,0.24980273106568932
IFJa_L,-3.0171861530426334
IFJp_L,-3.060943333378005
IFSp_L,-3.009184564802243
IFSa_L,-2.012968909500668
p9-46v_L,-1.555695800594048
46_L,-0.29872476700167877
a9-46v_L,-1.3155032419620143
9-46d_L,-1.0944898868837007
9a_L,-1.0357533351344967
10v_L,-1.782297058264634
a10p_L,-1.2918626655616512
10pp_L,-0.8627119746691412
11l_L,-1.502378066544396
13l_L,-1.775089315576685
OFC_L,-1.3505856979201112
47s_L,-2.565263060484738
LIPd_L,-1.5056777098879366
6a_L,6.512291442366753
i6-8_L,2.6123854411276026
s6-8_L,-0.3731194968604622
43_L,2.9725835241773075
OP4_L,2.7189325941860916
OP1_L,2.2578281004515417
OP2-3_L,0.6548836762791168
52_L,-1.0082256231262485
RI_L,2.0347420348163854
PFcm_L,2.8815096977320467
PoI2_L,0.2900761978057096
TA2_L,-0.15176218110621056
FOP4_L,-1.3506371950784732
MI_L,-1.4885907036674038
Pir_L,-2.384000520661993
AVI_L,-3.3645169636720507
AAIC_L,-3.2192884091552223
FOP1_L,2.6735958288619766
FOP3_L,-0.12100105720956834
FOP2_L,0.46397031951633944
PFt_L,4.465834587896199
AIP_L,5.64874657527383
EC_L,-2.1007539040471626
PreS_L,-2.1110930577257117
H_L,-2.333728190175725
ProS_L,-2.0250681706986557
PeEc_L,-1.7412752268855964
STGa_L,-1.524223722025193
PBelt_L,1.0328986744581756
A5_L,-0.45546704199061677
PHA1_L,-1.628620523605999
PHA3_L,-2.047273137603016
STSda_L,-1.4482897019117797
STSdp_L,-1.265594391569767
STSvp_L,-2.4323141864891764
TGd_L,-1.4038939048612846
TE1a_L,-1.1794854613831904
TE1p_L,-2.1021780518164888
TE2a_L,-1.1708946249419303
TF_L,-1.5215693949099098
TE2p_L,-1.8138729311616373
PHT_L,-0.9922876041385665
PH_L,-1.1301348492110108
TPOJ1_L,-0.5885337684271683
