region,perception
V1_L,2.468754624335206
MST_L,8.399726640892712
V6_L,0.714270337349344
V2_L,1.1422335361188751
V3_L,1.487651936701842
V4_L,3.7233855296749967
V8_L,5.076440105793981
4_L,-0.6204416927368933
3b_L,0.060988180335916665
FEF_L,0.7122284424120602
PEF_L,-1.0151449460994753
55b_L,-0.3607519185673828
V3A_L,1.9618352805258736
RSC_L,-1.5396896003841292
POS2_L,-1.3063961140985276
V7_L,4.592864421327067
IPS1_L,2.597834035159564
FFC_L,5.7348765002856945
V3B_L,5.707758694549459
LO1_L,5.689241144542399
LO2_L,9.801339709769808
PIT_L,9.372015808021946
MT_L,10.148866261128683
A1_L,3.813934317222089
PSL_L,1.2065027747611483
SFL_L,-2.1023710752115448
PCV_L,-1.051071440503601
STV_L,0.972023239708033
7Pm_L,-1.0586248261884994
7m_L,-3.260549360953445
POS1_L,-1.8806211039984553
23d_L,-1.183834178979806
v23ab_L,-3.0513383716779043
d23ab_L,-2.9054444394106067
31pv_L,-2.9166777130678714
5m_L,-0.1974332536938489
5mv_L,0.2859489490067565
23c_L,0.4268165256344442
5L_L,0.026787156295772982
24dd_L,-1.1497792457241867
24dv_L,-1.2617803335228677
7AL_L,0.8096652080740452
SCEF_L,-2.1290803381438326
6ma_L,-1.356005457474198
7Am_L,0.7620620296289472
7Pl_L,0.8238618791655434
7PC_L,1.8743332939081998
LIPv_L,3.4706746671089586
VIP_L,1.6472038665547712
MIP_L,1.0033234388887102
1_L,0.25769190269858744
2_L,1.1021572461335023
3a_L,-0.5296383044557913
6d_L,-0.3792174850066487
6mp_L,-1.5410653834700003
6v_L,-0.13801172306831594
p24pr_L,-0.7724714831034369
33pr_L,-1.0494769945668763
a24pr_L,-2.2967052642833687
p32pr_L,-2.302842032976215
a24_L,-4.311891428259691
d32_L,-3.723187350709147
8BM_L,-3.057501770931057
p32_L,-3.8639578693212053
10r_L,-3.5114568168807536
47m_L,-2.942066098318965
8Av_L,-1.5640089830463926
8Ad_L,-2.261332412559054
9m_L,-3.562449487191797
8BL_L,-1.8359769949180715
9p_L,-2.531485343818572
10d_L,-2.2866639523317787
8C_L,-3.1474897425005963
44_L,-2.458742668834188
45_L,-2.460596174351946
47l_L,-2.946107963888516
a47r_L,-1.8738327194442919
6r_L,-1.313862263627451
IFJa_L,-2.5564294227649
IFJp_L,-2.665268802442075
IFSp_L,-3.0351659931034036
IFSa_L,-2.4584267243327966
p9-46v_L,-2.312811979917693
46_L,-2.1743154150182646
a9-46v_L,-2.4465051001883147
9-46d_L,-2.8500838040271583
9a_L,-2.3274987441678383
10v_L,-1.5481102726584894
a10p_L,-1.8591343027024756
10pp_L,-0.8564989245468759
11l_L,-1.9677722877640607
13l_L,-2.402462930782684
OFC_L,-1.7319609715804705
47s_L,-2.9828060091480735
LIPd_L,0.9790958176149804
6a_L,0.3944397156970899
i6-8_L,-1.3207797247544961
s6-8_L,-1.4377544857185058
43_L,0.7625610755190453
OP4_L,2.041258941294428
OP1_L,2.0086979773971163
OP2-3_L,0.9969826952186671
52_L,2.4316006114956377
RI_L,2.2018750833060854
PFcm_L,2.8381032805764588
PoI2_L,1.1229994160343961
TA2_L,0.01769435410319887
FOP4_L,-1.2741624216453304
MI_L,0.22325889289983283
Pir_L,-1.8316335510118629
AVI_L,-2.251177369883976
AAIC_L,-2.648021739927998
FOP1_L,0.4992597074640391
FOP3_L,0.3322601319126884
FOP2_L,0.3574623026892873
PFt_L,1.9037491792835717
AIP_L,1.9515233096679725
EC_L,-1.47785107068709
PreS_L,-1.4474956992548291
H_L,-1.9325622659811332
ProS_L,-0.9227561538926552
PeEc_L,-1.0784721494043892
STGa_L,-0.47167652864064435
PBelt_L,5.881598037540577
A5_L,4.216179742869019
PHA1_L,-1.0881311756094627
PHA3_L,-0.2767734125630684
STSda_L,1.8748842384364257
STSdp_L,5.6392875078849345
STSvp_L,2.922932021946522
TGd_L,-1.202288791559335
TE1a_L,-0.0010638398177956264
TE1p_L,0.27963766558186526
TE2a_L,-0.7130011601202498
TF_L,-0.7150559136364716
TE2p_L,0.7055570840567803
PHT_L,2.844341017656947
PH_L,7.5725639049968985
TPOJ1_L,4.972312828797612
TPOJ2_L,1.4661793075641467
TPOJ3_L,-0.27787365190159147
DVT_L,0.9336063009305743
PGp_L,2.5387975945482038
IP2_L,0.9113923165641132
IP1_L,-0.003352791022949897
IP0_L,4.221149748077584
PFop_L,2.3981928314191756
PF_L,0.7190227661698787
PFm_L,-0.2434255244690448
PGi_L,-1.857546892759024
PGs_L,-0.3084638959885323
V6A_L,1.9264610209716333
VMV1_L,-0.4964846646109969
VMV3_L,2.606782816185991
PHA2_L,-1.9616207796795437
V4t_L,13.02346478664032
FST_L,13.702437685129125
V3CD_L,4.544954856831752
LO3_L,4.349939378574469
VMV2_L,-0.2359770650749435
31pd_L,-2.872155069363857
31a_L,-1.732027277108612
VVC_L,3.569283866622542
25_L,-3.6657698832908294
s32_L,-3.3510661365461263
pOFC_L,-2.131589662857133
PoI1_L,1.6123067393238357
Ig_L,0.5944354935062448
FOP5_L,-1.4989504559440525
p10p_L,-2.157162913586297
p47r_L,-2.8046599668123022
TGv_L,-0.7767138899664618
MBelt_L,3.694634948183094
LBelt_L,4.785417593781147
A4_L,3.586335964223949
STSva_L,0.5478532155952873
TE1m_L,0.004683895715703972
PI_L,0.2729390868493348
a32pr_L,-3.6093133479522215
p24_L,-4.549345584310164
V1_R,2.5104635066006615
MST_R,13.458286331955906
V6_R,3.6114786518684148
V2_R,2.029828370977369
V3_R,2.7024104152403203
V4_R,6.082876539689284
V8_R,6.762016465502569
4_R,-0.2208597685753893
3b_R,0.14768621661891398
FEF_R,1.4641840071011873
PEF_R,1.376586748046988
55b_R,0.8065811651100079
V3A_R,3.036370747535735
RSC_R,-1.3350069364967794
POS2_R,-0.13932586239215225
V7_R,4.21350394365856
IPS1_R,2.324882659428615
FFC_R,6.717033534462805
V3B_R,5.719693262070768
LO1_R,9.451680139456423
LO2_R,8.98195411021368
PIT_R,7.6452851832855675
MT_R,8.465443322194902
A1_R,4.659476317437073
PSL_R,0.5993198081748576
SFL_R,-1.8467691510292432
PCV_R,-0.0770992429563958
STV_R,1.7896076989679897
7Pm_R,1.5070679473567863
7m_R,-2.629112266316544
POS1_R,-1.084232512552537
23d_R,-1.192522074286071
v23ab_R,-2.3584966524860533
d23ab_R,-2.280120210348601
31pv_R,-1.4903629612733365
5m_R,0.4572095659032063
5mv_R,1.0851818298294422
23c_R,0.004097717440926618
5L_R,1.0887821131283333
24dd_R,-0.4877083891033383
24dv_R,-1.0077987897697362
7AL_R,2.0734060482168903
SCEF_R,-1.2776868423377046
6ma_R,-1.398021100897955
7Am_R,1.8754538750333725
7Pl_R,1.5033181754372487
7PC_R,1.976899207841319
LIPv_R,3.5517245663808037
VIP_R,3.255353361928685
MIP_R,1.755694770160627
1_R,0.06779225544542496
2_R,0.9449210597072051
3a_R,-0.6795370077632199
6d_R,-0.462729965607555
6mp_R,-0.8989414380308162
6v_R,0.74414605024392
p24pr_R,-0.646258600583172
33pr_R,-1.5444747864378718
a24pr_R,-2.9659615338223926
p32pr_R,-2.0810322164207196
a24_R,-4.467592040373962
d32_R,-3.438901046600781
8BM_R,-2.259621181977543
p32_R,-4.019394531787419
10r_R,-3.931190322587388
47m_R,-2.7521363087057504
8Av_R,-1.3746857209246075
8Ad_R,-1.3592571179862856
9m_R,-3.3206485013522817
8BL_R,-1.9423500116941987
9p_R,-1.5487539573010929
10d_R,-1.0487102409099571
8C_R,-2.359054935942388
44_R,-1.710199314557542
45_R,-1.9089028112077575
47l_R,-2.0238860056874315
a47r_R,-2.341997798010683
6r_R,-0.22539218765446128
IFJa_R,-1.7035948336688553
IFJp_R,-1.8050940495828547
IFSp_R,-1.9332454297552815
IFSa_R,-1.6985258802906176
p9-46v_R,-1.4819642878138768
46_R,-1.8345919500321972
a9-46v_R,-2.1901580060604893
9-46d_R,-1.9452972732665874
9a_R,-1.9482242975577053
10v_R,-2.202256289422173
a10p_R,-1.6706530607048065
10pp_R,-1.0721410484980682
11l_R,-2.2842220648006655
13l_R,-2.660377093403611
OFC_R,-1.5004184118163655
47s_R,-3.1987254633363214
LIPd_R,0.1479065649679656
6a_R,-0.006252937877120148
i6-8_R,-1.2730226915090066
s6-8_R,-1.5706360397735921
43_R,0.8234254900946654
OP4_R,1.240610390509087
OP1_R,2.898316527962307
OP2-3_R,1.2587833794516086
52_R,3.887963775540137
RI_R,3.6790480920153303
PFcm_R,3.671106665380981
PoI2_R,1.4668862360382582
TA2_R,1.7506281913000485
FOP4_R,-0.3636985006770568
MI_R,1.0380362294292753
Pir_R,-2.0203363599201363
AVI_R,-1.8026353703116742
AAIC_R,-2.5294676295139995
FOP1_R,1.620523130286479
FOP3_R,0.24159441967083453
FOP2_R,1.0313794790086093
PFt_R,1.478647811327386
AIP_R,1.895945271731327
EC_R,-0.6492474577546107
PreS_R,-1.7192839146997514
H_R,-1.5398854051006337
ProS_R,-0.6116699507332123
PeEc_R,-0.298807844638834
STGa_R,-0.21538998027668307
PBelt_R,4.17583846071856
A5_R,5.009767970368777
PHA1_R,-0.8318575848844607
PHA3_R,1.2652089620542495
STSda_R,2.8858517482832067
STSdp_R,6.543278560267732
STSvp_R,5.350929269929589
TGd_R,-0.9217628130125701
TE1a_R,-0.25484510057991416
TE1p_R,1.0725306128197465
TE2a_R,-0.20948556908153967
TF_R,0.35135159947664946
TE2p_R,1.5411707210227603
PHT_R,1.8264412719273853
PH_R,7.098796222204724
TPOJ1_R,5.945803305257774
TPOJ2_R,4.106566442891213
TPOJ3_R,-0.2935771274245825
DVT_R,1.8801236340834215
PGp_R,-0.05400542759551176
IP2_R,0.7983780455031019
IP1_R,-0.5884967049368768
IP0_R,3.5402771701829607
PFop_R,1.633185862870583
PF_R,1.7216962458081002
PFm_R,-0.15608590026614427
PGi_R,-1.0854823046661404
PGs_R,0.21131573904893292
V6A_R,1.8915013805763818
VMV1_R,1.636488462412204
VMV3_R,4.227040989924178
PHA2_R,-0.387879427160157
V4t_R,14.15725706547658
FST_R,11.217455511332291
V3CD_R,5.541240512447498
LO3_R,4.3409505729290245
VMV2_R,2.2170377683094333
31pd_R,-0.8031536204812684
31a_R,-0.8265122952105366
VVC_R,4.367803668422244
25_R,-4.083882223590038
s32_R,-3.2641204619624236
pOFC_R,-3.4257460420322805
PoI1_R,1.4050669921234131
Ig_R,2.004980440262863
FOP5_R,-1.405371370973012
p10p_R,-2.858185898931282
p47r_R,-2.248970785727959
TGv_R,0.0171798966778566
MBelt_R,4.141856458608425
LBelt_R,5.500961848143846
A4_R,2.67179953157985
STSva_R,2.3317889607048086
TE1m_R,0.4822907589510408
PI_R,0.3476818934234636
a32pr_R,-2.987372459023757
p24_R,-3.834187332187812
