region,priming
V1_L,1.387825908150618
MST_L,1.426493152057509
V6_L,4.204577609024257
V2_L,1.5871323986250065
V3_L,2.3178579397287415
V4_L,3.25924389903532
V8_L,7.49945547227345
4_L,-1.1655506682422796
3b_L,-1.039217068469477
FEF_L,-0.5668472061745243
PEF_L,-0.2914659500105433
55b_L,0.11825130829231342
V3A_L,1.7981010163465778
RSC_L,1.4513070164738964
POS2_L,8.521839510896001
V7_L,2.6723109310028783
IPS1_L,3.325029258472534
FFC_L,10.581917597050527
V3B_L,3.4582840644637005
LO1_L,3.2577422769648035
LO2_L,2.626231838276448
PIT_L,5.319313819882539
MT_L,2.031851089241268
A1_L,-1.6815184706942523
PSL_L,-0.11933390239783474
SFL_L,-0.34055897763689336
PCV_L,4.060296100953219
STV_L,0.6004931114689656
7Pm_L,4.455115448522638
7m_L,6.80389634306077
POS1_L,3.889277857081297
23d_L,-1.3801844709085678
v23ab_L,4.6453583673434276
d23ab_L,1.3567884360818594
31pv_L,1.5461880791579712
5m_L,0.7583166473046139
5mv_L,0.041744204449318305
23c_L,-0.4866097399339685
5L_L,0.4278124592352536
24dd_L,-1.6753290329964712
24dv_L,-1.70402397084162
7AL_L,-0.35139141792426454
SCEF_L,-0.5519595336521866
6ma_L,-1.1599751618729612
7Am_L,3.3577556404622015
7Pl_L,2.1675001552692836
7PC_L,-1.093785299105111
LIPv_L,-0.7082147043782577
VIP_L,-0.02882897350929795
MIP_L,1.0670176672878087
1_L,-0.867933192954495
2_L,-1.593140732483409
3a_L,-0.8783622633257637
6d_L,-0.9614997740614328
6mp_L,-1.570993038350349
6v_L,-0.4595018531196076
p24pr_L,-2.4000247414016664
33pr_L,-2.650924944922155
a24pr_L,-2.849250020350155
p32pr_L,-0.7749488370778191
a24_L,-3.027771139921882
d32_L,-2.1125966535996117
8BM_L,-0.9799430704923023
p32_L,-2.5200066320709236
10r_L,-1.8810356334027505
47m_L,2.1409167345682567
8Av_L,-0.18828068378342036
8Ad_L,0.2828870729226498
9m_L,-1.048594239379176
8BL_L,0.4180653953175885
9p_L,-1.1981806737579983
10d_L,-1.056339725859901
8C_L,-0.9319680866882386
44_L,0.7230775793476267
45_L,0.8491352553172289
47l_L,-0.05730911971595949
a47r_L,-0.048486291013303116
6r_L,-0.27139638767483537
IFJa_L,0.5146143398921558
IFJp_L,0.28762506563238266
IFSp_L,0.25248960576319956
IFSa_L,0.279771549002617
p9-46v_L,-1.0964237476219338
46_L,-1.5037012408852388
a9-46v_L,-1.1900688472905196
9-46d_L,-0.9892791094865062
9a_L,-0.6949633381949328
10v_L,-1.1324143854434796
a10p_L,-1.145264034582131
10pp_L,-0.7660997851205225
11l_L,-0.8203283133384146
13l_L,-1.035982771808726
OFC_L,-1.391742218922224
47s_L,-0.7925938929251904
LIPd_L,1.0322185136414326
6a_L,-0.9168946859522573
i6-8_L,-0.5637098633544124
s6-8_L,0.19582262105756418
43_L,-1.3274586700240711
OP4_L,-0.4547781243989145
OP1_L,-1.905513288649985
OP2-3_L,-1.223510286876135
52_L,-0.9530503934654039
RI_L,-0.8835563469800043
PFcm_L,-1.6875462342196925
PoI2_L,-1.5020138215390626
TA2_L,-0.3577616515315993
FOP4_L,-1.5353621763721346
MI_L,-2.8216769680249643
Pir_L,-0.8042632692276411
AVI_L,-1.289369742600451
AAIC_L,-1.8666040690064694
FOP1_L,-1.3931997912035772
FOP3_L,-1.775278816251181
FOP2_L,-1.0113954322974494
PFt_L,-1.7269949815936998
AIP_L,-0.5875113322383544
EC_L,-0.9167604748119338
PreS_L,0.4366771339064489
H_L,0.017046311348369377
ProS_L,0.6256026623611383
PeEc_L,0.689078499944806
STGa_L,0.46353992311504283
PBelt_L,0.3648601501185539
A5_L,1.1680321578346866
PHA1_L,1.7230626338161292
PHA3_L,2.754432131214121
STSda_L,1.2865875855754962
STSdp_L,2.0834681198669083
STSvp_L,2.927231295209329
TGd_L,0.3351003597999925
TE1a_L,0.6370460890189963
TE1p_L,2.1876764026071713
TE2a_L,0.20883097114199975
TF_L,2.3660071336700446
TE2p_L,3.9645989596335656
PHT_L,2.173010181350314
PH_L,5.061501406154543
TPOJ1_L,2.23908671877628
TPOJ2_L,1.608979136241275
TPOJ3_L,1.631279509780448
DVT_L,3.873226087523958
PGp_L,1.5587053041517114
IP2_L,-0.6717626144269648
IP1_L,2.3373972251124315
IP0_L,2.9293889610610813
PFop_L,-1.0346653309795917
PF_L,-0.7717074044291093
PFm_L,-0.387603286234523
PGi_L,0.3441171606419984
PGs_L,0.5642124537279998
V6A_L,1.7378470124960523
VMV1_L,2.0550492513949234
VMV3_L,6.26245675522462
PHA2_L,1.3051325959987765
V4t_L,1.6116870349804924
FST_L,1.9760001251172792
V3CD_L,3.259777834622439
LO3_L,1.4759155642581256
VMV2_L,1.6200919066144626
31pd_L,4.882230921880035
31a_L,0.7853169333573412
VVC_L,8.227230375565664
25_L,-2.4970404582435384
s32_L,-2.4462765653590357
pOFC_L,-1.908895625934825
PoI1_L,-1.0647346499489827
Ig_L,-1.5210890704264934
FOP5_L,-1.0872244806367464
p10p_L,-1.2865164035573569
p47r_L,-0.8505738742308697
TGv_L,0.5284745274142224
MBelt_L,-0.5544049696016936
LBelt_L,-0.3255204417661444
A4_L,0.2880759398312926
STSva_L,1.440650195180182
TE1m_L,0.39514019843582854
PI_L,0.22046813142100796
a32pr_L,-2.5827851119156646
p24_L,-3.207712130721814
V1_R,2.2159595531446796
MST_R,1.1594973721569026
V6_R,2.9412591668527877
V2_R,2.5939495396974235
V3_R,2.5579214962554824
V4_R,4.028809848738062
V8_R,7.403932707700469
4_R,-1.0092260535123303
3b_R,-0.7320457071504987
FEF_R,-0.637777266067504
PEF_R,-1.6835094980365584
55b_R,-1.1983620567252011
V3A_R,1.968592658728611
RSC_R,0.6868429991993755
POS2_R,6.758527530067944
V7_R,1.5055036429759123
IPS1_R,1.708943646267571
FFC_R,10.244560283272385
V3B_R,3.1416810790109806
