region,reasoning
V1_L,1.3934704114567176
MST_L,0.4138388848291192
V6_L,3.3555850770539064
V2_L,1.9505588103530842
V3_L,2.2131002235874857
V4_L,3.007875044241378
V8_L,2.6205722111579557
4_L,-0.3846018352433124
3b_L,-0.6522839345132357
FEF_L,2.954360452526487
PEF_L,3.212460805281177
55b_L,1.966413882488708
V3A_L,4.16335523054108
RSC_L,-1.1166048366456476
POS2_L,3.1942279722712117
V7_L,5.398358747545724
IPS1_L,6.981638267570906
FFC_L,1.365537629831103
V3B_L,4.356439074682399
LO1_L,5.234174880893607
LO2_L,3.6574417622794204
PIT_L,3.1282026092775004
MT_L,0.7994403633596606
A1_L,-3.1077910327265923
PSL_L,-0.04352166430020286
SFL_L,0.6063944326500321
PCV_L,1.098515778340417
STV_L,-0.8347453000733633
7Pm_L,2.9876901296110927
7m_L,0.5664818552117822
POS1_L,-0.06571745227227893
23d_L,-1.5551734168651925
v23ab_L,-0.09925735948295752
d23ab_L,-1.34296528359463
31pv_L,-0.7965664189906675
5m_L,-0.5778126815157518
5mv_L,-0.4170119420587763
23c_L,-0.9860045640608781
5L_L,0.1881933055301901
24dd_L,0.2455961765725732
24dv_L,0.8169466748917005
7AL_L,0.7604965500102251
SCEF_L,1.6737904970698532
6ma_L,0.2165149518424678
7Am_L,2.5948999367347487
7Pl_L,4.849703922935937
7PC_L,1.2965578718534656
LIPv_L,4.047917145953531
VIP_L,2.9979003438558416
MIP_L,6.56515812006158
1_L,-0.5048979951986009
2_L,-0.4392918339992138
3a_L,-0.39208749573622453
6d_L,-0.6442259462946979
6mp_L,-1.2238531106505433
6v_L,1.2779456912759957
p24pr_L,-0.8942767585012954
33pr_L,-2.4470894666582796
a24pr_L,-1.5638452618026737
p32pr_L,0.8096763880288468
a24_L,-3.5686320698191105
d32_L,-1.1166827931353909
8BM_L,0.7011598382222515
p32_L,-2.625237685848671
10r_L,-2.5938572252033625
47m_L,-0.3852878117767066
8Av_L,1.2676913209298888
8Ad_L,1.2767525660208463
9m_L,-1.4756206595527497
8BL_L,0.8629041640124134
9p_L,-0.16841594850270766
10d_L,-0.7643034673787574
8C_L,1.6913662527729865
44_L,3.391108669950048
45_L,1.0130381382708087
47l_L,0.22749950118175538
a47r_L,0.12285761798211037
6r_L,2.8812855102190325
IFJa_L,2.875794016767282
IFJp_L,3.6639825143574534
IFSp_L,2.5370662962759942
IFSa_L,1.064917879573923
p9-46v_L,1.1710247077933031
46_L,0.7279971383929905
a9-46v_L,0.4967225976224467
9-46d_L,0.05241703143655817
9a_L,-0.20092209193925067
10v_L,-0.8378741761748874
a10p_L,0.7584654822059729
10pp_L,0.075241566377122
11l_L,-0.2899687459997792
13l_L,-1.1404752621336853
OFC_L,-1.2794809552668418
47s_L,-1.3728565310794527
LIPd_L,6.835992300898098
6a_L,3.0493549967735722
i6-8_L,2.706066151236232
s6-8_L,1.3340840358061112
43_L,-0.24616339719163807
OP4_L,-1.24457449279274
OP1_L,-2.441632653786486
OP2-3_L,-1.305835335955458
52_L,-2.886971953165776
RI_L,-1.0546329011048658
PFcm_L,-1.3267925107407514
PoI2_L,-2.4653874617636578
TA2_L,-1.0177623799100914
FOP4_L,0.313378473925536
MI_L,-1.1811905359520318
Pir_L,-2.6103788825739374
AVI_L,0.15406007690484166
AAIC_L,-1.5598288139227896
FOP1_L,-0.19618048842146943
FOP3_L,-0.7384742261680108
FOP2_L,-0.8247156754386809
PFt_L,-0.3914398582966237
AIP_L,3.468977615258533
EC_L,-2.5587551461911278
PreS_L,-1.8387300978412362
H_L,-2.4258622863427353
ProS_L,-0.5087339493924792
PeEc_L,-1.015288281995364
STGa_L,-1.2793527268010587
PBelt_L,-2.7697140682191415
A5_L,-1.8097211441488061
PHA1_L,-1.8689790404010755
PHA3_L,-1.466199807210185
STSda_L,-1.4111116067836513
STSdp_L,-2.1430823164242803
STSvp_L,-0.4467603982732488
TGd_L,-1.1712787110889777
TE1a_L,-0.276273732587383
TE1p_L,-0.18535045818054255
TE2a_L,-0.1610406233593868
TF_L,-0.40093556254250806
TE2p_L,0.22775529323518884
PHT_L,-0.305181750723871
PH_L,1.268254386230963
TPOJ1_L,-0.21745992045464274
TPOJ2_L,-0.12775675702909883
TPOJ3_L,1.0370808115225874
DVT_L,3.814103232034562
PGp_L,3.3230689140733443
IP2_L,5.877469086720435
IP1_L,6.471551678663977
IP0_L,6.416014971538344
PFop_L,-0.9492915762949007
PF_L,0.7963598927953163
PFm_L,1.9579757972946397
PGi_L,0.6112417225641152
PGs_L,1.3499031505117915
V6A_L,3.2861278375300884
VMV1_L,-1.1487483970745942
VMV3_L,-0.09564013018409487
PHA2_L,-2.5688401478888596
V4t_L,3.49166838755036
FST_L,1.2288093342707038
V3CD_L,5.044891346799076
LO3_L,1.7209229937743864
VMV2_L,-1.1584294183094561
31pd_L,0.07033232627891507
31a_L,-0.5643721706540867
VVC_L,-0.08323114648712862
25_L,-2.5302532188400293
s32_L,-2.6000939524383635
pOFC_L,-0.9725217274723412
PoI1_L,-2.477683047095959
Ig_L,-1.1058194994993795
FOP5_L,1.231494354712145
p10p_L,0.3249128227046704
p47r_L,0.8847321693967377
TGv_L,-0.1233266014649324
MBelt_L,-3.1417326399434393
LBelt_L,-2.7418902569509647
A4_L,-1.6308435608316985
STSva_L,-1.2027034250766877
TE1m_L,-0.8318956295196476
PI_L,-1.2727507865116656
a32pr_L,-0.8970344705809912
p24_L,-3.230488432793509
V1_R,2.0771327376046798
MST_R,0.36422476820423105
V6_R,3.8315747530708406
V2_R,1.8215347695495665
V3_R,2.320306491192737
V4_R,4.303034035044887
V8_R,3.3490021801119436
4_R,-0.365476936488186
3b_R,-0.3029060050917501
FEF_R,0.8486147787621215
PEF_R,1.3534498084132174
55b_R,0.3227289162199021
V3A_R,3.696841137276406
RSC_R,-1.3970781178967073
POS2_R,4.009347774325313
V7_R,5.076833625087343
IPS1_R,6.187328915853116
FFC_R,-0.01847989821985225
V3B_R,6.664663909219624
LO1_R,4.281219520044035
LO2_R,3.279119541770838
PIT_R,5.174483903832636
MT_R,0.13444010184995608
A1_R,-2.5663643577565605
PSL_R,-1.3349562939067745
SFL_R,-0.9167473695115553
PCV_R,1.379351983596497
STV_R,-1.9053674913053047
7Pm_R,4.197101552322136
7m_R,0.624945229071195
POS1_R,0.1583405662394299
23d_R,-1.3083693592862482
v23ab_R,-2.021178565658862
d23ab_R,-0.6874430164315308
31pv_R,0.8455566447422099
5m_R,0.07337728592961579
5mv_R,-0.05249721475959725
23c_R,-0.35668166084153824
5L_R,0.9822783898053098
24dd_R,-0.4302061147211137
24dv_R,0.5298407301225512
7AL_R,1.9347857926592595
SCEF_R,0.29640093137083584
6ma_R,-0.38492758509884645
7Am_R,1.9518472843937755
7Pl_R,2.6858201234802177
7PC_R,1.6479873973255703
LIPv_R,4.145078643138639
VIP_R,2.988502709525099
MIP_R,5.048986377162135
1_R,-0.16090694480361337
2_R,0.36083219168959274
3a_R,-0.21404621909838206
6d_R,0.1058924947065081
6mp_R,0.16579854427227672
6v_R,0.543487337129568
p24pr_R,-1.2271149880125176
33pr_R,-2.6264961187664335
a24pr_R,-1.7916542419574129
p32pr_R,0.20068656389287481
a24_R,-3.2373209183417817
d32_R,-1.3644980476581225
8BM_R,0.16665195311892014
p32_R,-2.468143796627161
10r_R,-2.9112653581010286
47m_R,-0.4095195777070777
8Av_R,-0.4038603428773798
8Ad_R,-0.5219701602492507
9m_R,-1.8282169564076007
8BL_R,-0.8727701647195851
9p_R,0.1663311750725617
10d_R,0.06330360146422422
8C_R,-0.0688436140686852
44_R,0.2274706554122544
45_R,-0.08637809421507273
47l_R,-0.411436702604294
a47r_R,0.12530238597816729
6r_R,0.5930079037555015
IFJa_R,0.28145640429037766
IFJp_R,-0.00643252330074756
IFSp_R,0.3714823747414406
IFSa_R,-0.36043312903368036
p9-46v_R,0.6560571466949335
46_R,0.5975773546262464
a9-46v_R,-0.006897299660087787
9-46d_R,0.39571356668397334
9a_R,-0.15858080753548395
10v_R,-1.4390692079130636
a10p_R,0.3654211137732961
10pp_R,0.297989408058093
11l_R,-0.6414318917424421
13l_R,-1.3723942581387587
OFC_R,-1.0951615623038
47s_R,-1.1750160827489433
LIPd_R,5.193652600312029
6a_R,2.286830534693928
i6-8_R,0.44521709751563443
s6-8_R,-0.17982875605645518
43_R,-1.1989733581274893
OP4_R,-1.97303930386428
OP1_R,-1.5925678168620532
OP2-3_R,-0.5134349394310013
52_R,-2.699168779477753
RI_R,-2.6931967106909567
PFcm_R,-2.0725409558363435
PoI2_R,-2.5612650804156942
TA2_R,-2.1472298534526058
FOP4_R,-0.2854073820085646
MI_R,-1.653946942519273
Pir_R,-1.8722699625984747
AVI_R,0.24778860723641177
AAIC_R,-1.4073965285598746
FOP1_R,-1.9254245921296664
FOP3_R,-0.7698744936878555
FOP2_R,-0.5881741006211583
PFt_R,-0.3653880467113457
AIP_R,3.6465885117713714
EC_R,-3.105032335203459
PreS_R,-2.812671159014006
H_R,-2.9817665737614516
ProS_R,-1.2237207533617607
PeEc_R,-1.3017636732946662
STGa_R,-1.387411102253696
PBelt_R,-3.2224336528933324
A5_R,-3.0456278320006644
PHA1_R,-2.3870079078175173
PHA3_R,-1.4135204986927707
STSda_R,-1.9933892196866376
STSdp_R,-3.0588570299298077
STSvp_R,-2.943149142045971
TGd_R,-1.042884694139728
TE1a_R,-0.7774279415975539
TE1p_R,-0.8166606998918567
TE2a_R,-0.6651216083006386
TF_R,-0.3306404669349468
TE2p_R,-0.027596098186852373
PHT_R,-0.19462373365526442
PH_R,1.3383061411998733
TPOJ1_R,-2.243246032981562
TPOJ2_R,-1.9099436006551278
TPOJ3_R,-1.4486992461201385
DVT_R,3.8667471092167927
PGp_R,1.6549156368507196
IP2_R,4.827769191159134
IP1_R,4.007650131490209
IP0_R,6.265786869643633
PFop_R,-1.3661583629915661
PF_R,-0.2705563716160035
PFm_R,0.9062950705205388
PGi_R,-0.40843068502920993
PGs_R,1.745933799579806
V6A_R,2.5640110182273377
VMV1_R,-0.5949943840951791
VMV3_R,-0.7085649190535512
PHA2_R,-2.6107060819780643
V4t_R,0.9760635242932396
FST_R,-0.45257433425836563
V3CD_R,4.715090043632078
LO3_R,0.95121216073802
VMV2_R,-0.8401139047478503
31pd_R,1.7909453225728695
31a_R,0.5808589252753447
VVC_R,-1.0190598009842904
25_R,-2.959840912259947
s32_R,-2.519461742842798
pOFC_R,-1.2035253012954563
PoI1_R,-2.8367040502447862
Ig_R,-1.3823299908180562
FOP5_R,-0.4852047263117306
p10p_R,-0.6441599693346003
p47r_R,-0.3536017915357197
TGv_R,-1.0897402270324086
MBelt_R,-3.1270926486028205
LBelt_R,-2.921991576466632
A4_R,-2.4349063060045784
STSva_R,-1.463996577492895
TE1m_R,-1.081232428592967
PI_R,-2.647840091790924
a32pr_R,-0.9796986525265001
p24_R,-2.8514713451278064
