region,response inhibition
V1_L,-1.898235500958997
MST_L,-1.5840612334049007
V6_L,-1.0967728498105225
V2_L,-1.6532065785054357
V3_L,-1.1782345274822497
V4_L,-1.30638444508741
V8_L,-1.4061401591110618
4_L,2.623118520283441
3b_L,2.512251538657921
FEF_L,3.484732088444288
PEF_L,3.505234234481691
55b_L,1.2564275628364137
V3A_L,-1.7530726524007207
RSC_L,-0.6602401241291105
POS2_L,-0.8923409080304022
V7_L,-0.5832949306083979
IPS1_L,2.429191891256269
FFC_L,-1.5422303729981068
V3B_L,-0.7657710593250302
LO1_L,-1.263222307052796
LO2_L,-1.1164573453571758
PIT_L,-1.1140511482110718
MT_L,-1.9869401562622888
A1_L,-1.9859020788720854
PSL_L,0.16416881092457464
SFL_L,0.11021236034483103
PCV_L,-1.4568217081459
STV_L,-0.7234741906673591
7Pm_L,-0.4423329017300864
7m_L,-2.8278310297426743
POS1_L,-1.8828250577937156
23d_L,0.9858020454875953
v23ab_L,-1.5306973579327874
d23ab_L,-0.5255651514873579
31pv_L,-1.3426563655095172
5m_L,-0.05412088976561772
5mv_L,-0.6111548309871268
23c_L,-0.036049019624534
5L_L,0.3659979521554962
24dd_L,4.178930372491078
24dv_L,5.338805652174036
7AL_L,-0.3027087551796686
SCEF_L,4.826462722024736
6ma_L,0.24550390060165933
7Am_L,-0.23222415951623787
7Pl_L,1.7370511253310184
7PC_L,1.6143776154834977
LIPv_L,1.6901857558234243
VIP_L,0.7392010834723073
MIP_L,2.9681731721240197
1_L,0.9314823107515681
2_L,1.2057538305046829
3a_L,1.4901039306457993
6d_L,1.8273838134862248
6mp_L,0.9612770259108163
6v_L,2.5568137787157803
p24pr_L,3.4763969678702877
33pr_L,1.5135764426072038
a24pr_L,2.8454982456776334
p32pr_L,4.638788048859696
a24_L,-2.540054192095612
d32_L,-2.006989089688944
8BM_L,0.3475412796231035
p32_L,-2.6814179821514554
10r_L,-3.834001059520144
47m_L,0.005942878882422316
8Av_L,-0.4953861010797084
8Ad_L,-0.7498216233115516
9m_L,-2.0406094710371705
8BL_L,-1.2065199563745632
9p_L,-1.0718103627757212
10d_L,-1.358676583021311
8C_L,0.8672063660552489
44_L,4.851062712394345
45_L,3.5509102056133455
47l_L,1.536348109234441
a47r_L,-0.8396327380638782
6r_L,5.145288158878632
IFJa_L,3.643585249298566
IFJp_L,5.0379883624508555
IFSp_L,4.502076676969679
IFSa_L,2.913499966747489
p9-46v_L,1.3934542345413867
46_L,-0.14532770038892212
a9-46v_L,-0.08882795265864238
9-46d_L,-0.8880105450904529
9a_L,-0.7284131513653218
10v_L,-2.234556909889217
a10p_L,-1.5496960727590148
10pp_L,-0.9660324388583558
11l_L,-1.4910328733309373
13l_L,-1.1584094202869823
OFC_L,-1.9425817424383984
47s_L,-0.47265402841390913
LIPd_L,3.851239519560462
6a_L,4.149763048612654
i6-8_L,2.486441380576112
s6-8_L,-0.7382529573482041
43_L,2.416379199628608
OP4_L,0.07920807773993892
OP1_L,-0.17169506646908173
OP2-3_L,-0.3929866391371059
52_L,-1.583896174400383
RI_L,-0.14250474593182405
PFcm_L,-0.2278240472064924
PoI2_L,0.07853136224097558
TA2_L,-0.8383124068736848
FOP4_L,3.5031564143393017
