region,selective attention
V1_L,1.4415690610350356
MST_L,8.165323582227773
V6_L,1.1870137188280832
V2_L,0.28267469323853806
V3_L,0.5503660765431416
V4_L,1.9458480493685621
V8_L,1.5493441729737454
4_L,-0.48106126831981433
3b_L,-0.6534117705334548
FEF_L,2.008649355559879
PEF_L,0.6482448191432435
55b_L,-0.15026953752535613
V3A_L,1.248233896131092
RSC_L,-1.16518156700712
POS2_L,-0.4222521874316984
V7_L,4.574380940986188
IPS1_L,4.316338411477205
FFC_L,1.390816633387485
V3B_L,5.52555635847302
LO1_L,4.210748660101532
LO2_L,8.528835194759221
PIT_L,7.300330877113366
MT_L,10.257737915256161
A1_L,5.608227622204047
PSL_L,0.42306151631513067
SFL_L,-1.2415899371854144
PCV_L,-0.34510835344504953
STV_L,0.3888170603729772
7Pm_L,0.46824012605393783
7m_L,-1.9147867901633422
POS1_L,-1.3432431875821567
23d_L,-1.858824804597474
v23ab_L,-1.7115679925716638
d23ab_L,-1.6116233667176167
31pv_L,-1.5944810082127856
5m_L,-1.6624710347162557
5mv_L,-0.40580052867128047
23c_L,0.20510160266576918
5L_L,-0.5741008461906096
24dd_L,-0.9720183657810622
24dv_L,-0.5531614011800595
7AL_L,0.23920922427018987
SCEF_L,-0.6006441678031557
6ma_L,-0.5409880040176426
7Am_L,1.1074135257730302
7Pl_L,1.7516320794628617
7PC_L,1.8518054768047187
LIPv_L,5.589063973126865
VIP_L,2.2986880546837063
MIP_L,3.6820585869269333
1_L,-0.5700760559305844
2_L,-0.2991012111854976
3a_L,-0.9863930339093608
6d_L,0.41173620487403423
6mp_L,-1.2446976813883919
6v_L,0.4829350245656484
p24pr_L,-1.4447867892524653
33pr_L,-1.9616360888962723
a24pr_L,-2.221441286333617
p32pr_L,-0.8566044936594118
a24_L,-3.2251097139836733
d32_L,-2.213241252215468
8BM_L,-1.2274913893467223
p32_L,-2.9988090836031303
10r_L,-3.0344807462427554
47m_L,-2.573709724682571
8Av_L,-0.5618207652935523
8Ad_L,-1.0566512129567756
9m_L,-2.367826201462377
8BL_L,-1.2282391543543218
9p_L,-1.1495984674268491
10d_L,-1.378758916067943
8C_L,-1.1574050882959048
44_L,-1.4707751187183928
45_L,-2.23852578708383
47l_L,-2.6157404231713266
a47r_L,-1.5230564862628346
6r_L,-0.19912577094336376
IFJa_L,-0.1767066202171262
IFJp_L,0.9892952172865135
IFSp_L,-1.0007680206155474
IFSa_L,-1.0871630009757502
p9-46v_L,-0.5445357917747928
46_L,-1.172198335072925
a9-46v_L,-0.947307107824997
9-46d_L,-1.6191993750263667
9a_L,-1.4263305417405276
10v_L,-1.4226083365273954
a10p_L,-1.187671820831971
10pp_L,-0.7296617478363588
11l_L,-1.6277658755117117
13l_L,-2.1756923649811353
OFC_L,-1.544725966138759
47s_L,-2.9404184449149713
LIPd_L,4.671787331282571
6a_L,3.030268216653866
