region,skill
V1_L,-1.3291256735234056
MST_L,-1.7034584006873001
V6_L,-0.3629615888391456
V2_L,-1.2952225420777508
V3_L,-0.8883273544487729
V4_L,-0.8494822226431082
V8_L,-1.4270497515118792
4_L,9.446576637271239
3b_L,9.12229060499589
FEF_L,6.317368800053094
PEF_L,2.4202726714573153
55b_L,2.2236388057957885
V3A_L,-0.05403738004315186
RSC_L,-1.5869083265022552
POS2_L,-1.588947542149757
V7_L,0.17994645249666202
IPS1_L,0.8163934957965515
FFC_L,-1.1217586312125991
V3B_L,-0.858543131924856
LO1_L,-0.6099476153580221
LO2_L,-0.49357501934281767
PIT_L,-0.31797321148450447
MT_L,-2.1955955133460674
A1_L,-0.15390304359819623
PSL_L,0.16469438873642175
SFL_L,0.059148168377854714
PCV_L,-1.0005532217088768
STV_L,-1.017312286060615
7Pm_L,-1.1310676810626232
7m_L,-2.726280770501668
POS1_L,-2.4712753578665647
23d_L,1.7280744414688383
v23ab_L,-2.7115505825394655
d23ab_L,-1.8128510981735348
31pv_L,-1.8560149847639902
5m_L,3.855640604029286
5mv_L,2.7640738102125684
23c_L,1.3952859825445398
5L_L,2.8674734550890038
24dd_L,9.649314779849782
24dv_L,5.173168955535588
7AL_L,1.9328409200511967
SCEF_L,4.227051515429188
6ma_L,1.47816148300283
7Am_L,1.0870113142020152
7Pl_L,2.385580726623597
7PC_L,4.168997665512879
LIPv_L,2.7735822452067698
VIP_L,2.6521945463145946
MIP_L,2.433245045981793
1_L,4.10653910009544
2_L,5.965117255322282
3a_L,6.32627739519832
6d_L,6.6276521348297175
6mp_L,6.775996693968078
6v_L,1.9164573403225076
p24pr_L,3.2165958342895618
33pr_L,-0.9587064857092539
a24pr_L,-1.8666743290234733
p32pr_L,-1.1314891005307508
a24_L,-2.5805228956979036
d32_L,-2.195470704528504
8BM_L,-2.2921687042766035
p32_L,-2.0947737148616645
10r_L,-2.681284099758214
47m_L,-2.050865425146645
8Av_L,-0.3983987875401459
8Ad_L,-1.0312682750282822
9m_L,-2.3223772266267755
8BL_L,-0.9808589141175178
9p_L,-1.461856415895729
10d_L,-0.9953788478140911
8C_L,-1.0026860363599088
44_L,-1.7080621337823791
45_L,-2.059172605940599
47l_L,-2.3295207962624787
a47r_L,-1.1142462606974637
6r_L,0.13792653693282678
IFJa_L,-2.3850057910759865
IFJp_L,-2.3820470100595426
IFSp_L,-2.4463527599550887
IFSa_L,-1.5321114115686567
p9-46v_L,-1.4140408066462415
46_L,-0.25171545200502143
a9-46v_L,-1.0861418831385417
9-46d_L,-0.9543080001352819
9a_L,-0.8661065274565776
10v_L,-1.593805480534512
a10p_L,-1.1512449057916787
10pp_L,-0.7784946602647536
11l_L,-1.5329526635388
13l_L,-1.5677507084568094
OFC_L,-1.328427961636272
47s_L,-2.2286798979113356
LIPd_L,-0.22948549026604534
6a_L,6.240644614005861
i6-8_L,2.7618478432927747
s6-8_L,-0.3070564537326851
43_L,2.430007645783044
OP4_L,2.287238760610613
OP1_L,1.9582825634790046
OP2-3_L,1.0595368422651934
52_L,-1.1230211114871882
RI_L,1.7966066573884407
PFcm_L,2.3070916309207137
PoI2_L,0.27324304204404953
TA2_L,-0.24343439730917688
FOP4_L,-1.1822896975291572
MI_L,-1.4299934199033124
Pir_L,-1.9987616607544259
AVI_L,-2.8218615204295503
AAIC_L,-2.9323499630209273
FOP1_L,2.062555270114757
FOP3_L,0.2939598936988877
FOP2_L,0.7556182970735267
PFt_L,3.566567574968624
AIP_L,6.029995005100112
EC_L,-1.8022502476135245
PreS_L,-1.8260419503235752
H_L,-1.695984106084646
ProS_L,-1.4159859038559588
PeEc_L,-1.4701340947432149
STGa_L,-1.5009584974460712
PBelt_L,0.4038736253913324
A5_L,-0.9675183116895747
PHA1_L,-1.6079075477560136
PHA3_L,-1.577428454144509
STSda_L,-1.4515268058940092
STSdp_L,-1.5272781639490662
STSvp_L,-2.5266343794546735
TGd_L,-1.201345928746066
TE1a_L,-1.184931768411585
TE1p_L,-1.9289635111281895
TE2a_L,-1.0048777084121068
TF_L,-1.1098046525875598
TE2p_L,-1.2067043410184979
PHT_L,-0.7233097656574904
PH_L,-0.36098511312067694
TPOJ1_L,-0.5305455930922668
TPOJ2_L,-2.276949431197868
TPOJ3_L,-2.0233472694723935
DVT_L,-0.5431028978154768
PGp_L,-1.1024441996725562
IP2_L,2.023145418698071
IP1_L,-0.7816973904277457
IP0_L,-1.533886265855891
PFop_L,1.8952918192161794
PF_L,1.1448625063395441
PFm_L,0.10580567929215723
PGi_L,-1.824515785793169
PGs_L,-1.0724784055382488
V6A_L,0.23218581479957187
VMV1_L,-1.239736505160271
VMV3_L,-0.7691833257567425
PHA2_L,-1.8978203728956882
V4t_L,-0.8979368323801737
FST_L,-0.9322044947743916
V3CD_L,-0.4197786150428331
LO3_L,-1.614958460773559
VMV2_L,-1.8361204935475848
31pd_L,-2.19449038941788
31a_L,-0.10313832172840649
VVC_L,-1.6130778291903813
25_L,-2.258477814487726
s32_L,-2.184986967180381
pOFC_L,-2.068442442637288
PoI1_L,-0.6116936036156589
Ig_L,0.6686380199414247
FOP5_L,-1.9467254776017815
p10p_L,-0.5661503055328987
p47r_L,-1.7625350174172894
TGv_L,-0.6788413154535655
MBelt_L,-0.274383866782328
LBelt_L,-0.6462263672515149
A4_L,0.0390501104045359
STSva_L,-1.9370156375477274
TE1m_L,-1.8278962978479403
PI_L,-1.32500845169412
a32pr_L,-2.9801524316003922
p24_L,-2.8109836510952437
V1_R,-1.3683196786494545
MST_R,-1.3975701745692872
V6_R,-1.5976525712559764
V2_R,-1.4096214884498661
V3_R,-0.9089480407025935
V4_R,-0.9050984281443427
V8_R,-1.313993279464992
4_R,6.6342437008024095
3b_R,6.57022751759868
FEF_R,4.886167820309473
PEF_R,1.5822650403097138
55b_R,2.3276550165761933
V3A_R,-0.15238097539065093
RSC_R,-0.9042701427974155
POS2_R,-1.0117046112114803
V7_R,-0.7564931153458868
IPS1_R,-0.44291109355196767
FFC_R,-0.9337876731247047
V3B_R,-1.009328047083871
LO1_R,-0.5463309957721304
LO2_R,-0.7270711131891834
PIT_R,-0.1680814662817764
MT_R,-1.7121116780724919
A1_R,-1.2945933398827256
PSL_R,0.1885171341008859
SFL_R,-0.15449490520990403
PCV_R,-0.5387954247888372
STV_R,-0.5960935403871225
7Pm_R,-1.0118492600271733
7m_R,-1.8908367445659837
POS1_R,-2.0326242943774027
23d_R,0.9795891063977135
v23ab_R,-2.4848745366477045
d23ab_R,-0.8759771118430547
31pv_R,-0.4361197150389548
5m_R,1.9720062910022325
5mv_R,1.4072035199125255
23c_R,0.4981997294267257
5L_R,0.9959934558100003
24dd_R,8.30618347460013
24dv_R,5.669465961385078
7AL_R,1.5932551457729358
SCEF_R,3.6211867134772158
6ma_R,0.4345707690885098
7Am_R,0.8738561841632398
7Pl_R,0.4183108695962847
7PC_R,2.107122245580654
LIPv_R,2.057090819662433
VIP_R,2.4581425269741963
MIP_R,0.6648582261856661
1_R,3.9961948902077933
2_R,4.9888870779178305
3a_R,6.383935341731542
6d_R,5.479930826722492
6mp_R,5.3207952154912626
6v_R,1.7299803781176684
p24pr_R,2.7026818929596095
33pr_R,-0.8097764652693404
a24pr_R,-2.296253127283882
p32pr_R,-0.9735296481435146
a24_R,-2.3227009180674063
d32_R,-2.3552149490086975
8BM_R,-1.764219692249644
p32_R,-2.380937772331425
10r_R,-2.6097674650741673
47m_R,-1.509768567548969
