region,speech perception
V1_L,-0.3118239883178539
MST_L,0.25423720010682094
V6_L,-0.6983903993218047
V2_L,-0.19557139866735254
V3_L,-0.35650452292888873
V4_L,-0.26078966966971234
V8_L,-0.4871668177339146
4_L,0.12760831596351097
3b_L,1.0592774957848698
FEF_L,1.3994641541605388
PEF_L,1.8646900693980983
55b_L,1.6333572295309613
V3A_L,-0.13823085752222114
RSC_L,-0.5833576398707665
POS2_L,-0.616212539452677
V7_L,-0.542867835558839
IPS1_L,-0.9551207553935297
FFC_L,-0.3441489849964347
V3B_L,-1.1334697218361187
LO1_L,-0.09370402428320988
LO2_L,0.4095678955689886
PIT_L,0.08341474315200922
MT_L,0.39309411219023616
A1_L,2.9690520170884707
PSL_L,1.7422042362945422
SFL_L,-0.2891557578135271
PCV_L,-1.4610690582542678
STV_L,1.800571739543972
7Pm_L,-1.058736876705946
7m_L,-0.6973477322696525
POS1_L,-0.6510403288657572
23d_L,-0.4634968222656184
v23ab_L,-0.8092329739194505
d23ab_L,-1.1232150759672392
31pv_L,-1.0452207100478192
5m_L,-0.2467040266266617
5mv_L,-0.4535352559905298
23c_L,-0.25936613408792836
5L_L,-0.6438843653603412
24dd_L,-0.6014538776429126
24dv_L,-0.3784813436535469
7AL_L,-0.9214639965846994
SCEF_L,0.9866964906751228
6ma_L,-0.5543311066140054
7Am_L,-0.629929492445059
7Pl_L,-0.4130275514045163
7PC_L,-0.8379055799458223
LIPv_L,-0.9617537712845386
VIP_L,-0.7704867566586724
MIP_L,-1.23502846195356
1_L,-0.05725553726716707
2_L,-0.38573005843230335
3a_L,1.1639315458224724
6d_L,-0.9576874159444612
6mp_L,-0.39246473940491433
6v_L,1.7985312741474337
p24pr_L,-0.3069722882528089
33pr_L,-0.31594573260569014
a24pr_L,0.4876098167296776
p32pr_L,0.16968762355803957
a24_L,-0.21973807194947592
d32_L,-1.0337326835120193
8BM_L,-0.6847769525143226
p32_L,0.19729324724384698
10r_L,-1.4177430955216104
47m_L,-0.5512782470478064
8Av_L,-0.3715170060946948
8Ad_L,-0.12717274761023767
9m_L,-0.5387678578619997
8BL_L,-0.6457550237017848
9p_L,-0.7013556356849671
10d_L,-0.8549482007305564
8C_L,-0.04507697472940829
44_L,2.7816152706555646
45_L,1.4376641426124974
47l_L,1.1535392084745948
a47r_L,-0.2535883235716465
6r_L,3.7628358743050065
IFJa_L,0.2388429544282338
IFJp_L,-0.8008560111035482
IFSp_L,0.0671475160629649
IFSa_L,0.3131292145140099
p9-46v_L,-0.23086055762540336
46_L,-0.6240478670008424
a9-46v_L,-0.7988224621782211
9-46d_L,-0.7842936673292579
9a_L,-0.6008598995150825
10v_L,-0.7604500480035735
a10p_L,-0.19780723778717615
10pp_L,-0.28795455088367655
11l_L,-0.28739022798437247
13l_L,-0.8903336524822474
OFC_L,-0.4934121604902865
47s_L,-0.4964296618710104
LIPd_L,-1.4841905746415807
6a_L,-1.2267521086421966
i6-8_L,-1.0449546733973352
s6-8_L,-0.2103927528711516
43_L,3.802244435713029
OP4_L,3.9267272540606513
OP1_L,1.2035562863936822
OP2-3_L,0.9780371019569704
52_L,2.333771869611395
RI_L,2.750577185291452
PFcm_L,1.7975546824076303
PoI2_L,-0.11256534609464815
TA2_L,2.66773336583447
FOP4_L,1.8827907503900416
MI_L,1.5868366588117138
Pir_L,-0.8712081105991126
AVI_L,0.9828337988112987
AAIC_L,0.11381798632087209
FOP1_L,3.3284803859902334
FOP3_L,0.012775855174959435
FOP2_L,-0.017810188938432198
PFt_L,1.2275866704077223
AIP_L,-0.9604079696899943
EC_L,-1.0293438903658148
PreS_L,-0.008837519990471427
H_L,-0.44169411134008607
ProS_L,-0.05643918037312479
PeEc_L,-0.5456737336908453
STGa_L,2.34468594181233
PBelt_L,5.589258388705915
A5_L,8.21606623046389
PHA1_L,-0.2917832790367665
PHA3_L,-0.34444863825474203
STSda_L,4.891855140803887
STSdp_L,8.635265713275706
STSvp_L,7.315871669679249
TGd_L,-0.5320382986674781
TE1a_L,2.145668859185189
TE1p_L,1.8126004834879736
TE2a_L,0.07599950776377166
TF_L,-0.22027062868678207
TE2p_L,-0.10913665920108953
PHT_L,0.9192827604318932
PH_L,-0.5863498600430255
TPOJ1_L,6.31910286748106
TPOJ2_L,0.9166584716241568
TPOJ3_L,0.44367745421651184
DVT_L,-0.9126560286103957
PGp_L,-0.36584989366094445
IP2_L,-1.1553418488962204
IP1_L,-1.1458895002697551
IP0_L,-0.9829445554410313
PFop_L,2.030551371449109
PF_L,0.1130406845586214
PFm_L,-0.20149687030727287
PGi_L,0.32769157242927077
PGs_L,-0.15707831920644377
V6A_L,-0.3374299486895216
VMV1_L,-0.7453727089890319
VMV3_L,-0.642930099582067
PHA2_L,-0.785145538859976
V4t_L,1.1278500473977782
FST_L,0.475413128591722
V3CD_L,-1.126947859549956
LO3_L,-0.12482776597461998
VMV2_L,-0.7858549350898445
31pd_L,-0.9021263113545515
31a_L,-1.3028544319371103
VVC_L,-0.5406888247085674
25_L,-0.9245420123149285
s32_L,-0.9020129785971555
pOFC_L,-0.8691486652412244
PoI1_L,0.7120931461363766
Ig_L,0.06905183892391834
FOP5_L,0.9913277891492268
p10p_L,-0.4586843566195126
p47r_L,-0.4557324498249064
TGv_L,-0.40278430749201505
MBelt_L,3.2111134495484093
LBelt_L,5.089388810707636
A4_L,5.017819853867889
STSva_L,3.6367770047957553
TE1m_L,2.455818395782687
PI_L,1.0301792047364562
a32pr_L,-0.7966290172849982
p24_L,-0.685366934635331
V1_R,-0.4104329856064929
MST_R,-0.7886516251740537
V6_R,-0.894598733479907
V2_R,-0.22551838083745873
V3_R,-0.18428167031746118
V4_R,-0.15114005968523397
V8_R,-0.12266336875210179
4_R,0.5536048831956077
3b_R,1.0507895984623234
FEF_R,-0.03361621857264546
PEF_R,1.0819177406925933
55b_R,1.01999566433915
V3A_R,-0.3914116474074226
RSC_R,-0.3114985552240046
POS2_R,-0.9714232575159626
V7_R,-0.8091901575696572
IPS1_R,-1.382235731726371
FFC_R,-0.13372592449400464
V3B_R,-0.5082052395725624
LO1_R,-0.7173304523860962
LO2_R,-0.17016062689596811
PIT_R,-0.27803788352465153
MT_R,-0.6185641288024388
A1_R,3.0058866481608773
PSL_R,-0.23872086227791103
SFL_R,-0.47996593668421267
PCV_R,-1.3999806286593615
STV_R,0.042239420890843885
7Pm_R,-1.8459126087423445
7m_R,-1.1215711995518183
POS1_R,-0.834463053244905
23d_R,-0.7230436759707325
v23ab_R,-0.8062417890979773
d23ab_R,-0.6598254638116807
31pv_R,-0.351312324594439
5m_R,-0.304475427946678
5mv_R,-0.4342837219618162
23c_R,-0.8037122045146263
5L_R,-0.4602955690109359
24dd_R,-0.5511721095998843
24dv_R,-0.35349001508266076
7AL_R,-0.401045746456247
SCEF_R,-0.12063886529786941
6ma_R,-0.7289832216477163
7Am_R,-0.7098601841484168
7Pl_R,-0.7372966652850297
7PC_R,-0.33057351245016653
LIPv_R,-0.8586131890576113
VIP_R,-0.9371857125001909
MIP_R,-1.585141194110722
1_R,0.7907232359422808
2_R,-0.538255885698683
3a_R,0.6248460960688542
6d_R,-0.9390440179086258
6mp_R,-1.0696775153134288
6v_R,0.8737051709945478
p24pr_R,-0.35231973495781627
33pr_R,-0.48534614859037606
a24pr_R,-0.4426083273473802
p32pr_R,-0.2824420036230032
a24_R,-1.2556719252565247
d32_R,-1.153633616398722
8BM_R,-1.0465962170773702
p32_R,-1.4128139297765843
10r_R,-1.4056462859256305
47m_R,-0.935193932170561
8Av_R,-0.8625004175814454
8Ad_R,-1.0405424131533454
9m_R,-1.1511226392927405
8BL_R,-0.7014759082827502
9p_R,0.24666214131294414
10d_R,-0.5824634703461807
8C_R,-1.0498761181294651
44_R,-0.021193342089582165
45_R,-0.059920797135771045
47l_R,-0.6139322757747392
a47r_R,-0.8412195207671148
6r_R,-0.21910720232878228
IFJa_R,-0.39750267579024323
IFJp_R,-0.8992593406868926
IFSp_R,-0.7739335222552873
IFSa_R,-0.8975364416367088
p9-46v_R,-0.8972442104313031
46_R,-0.9440694502154511
a9-46v_R,-0.9264043225830652
9-46d_R,-0.5130377200602132
9a_R,-0.2908729473767208
10v_R,-0.9739895944584838
a10p_R,-0.608079951390933
10pp_R,-0.4261243743299283
11l_R,-0.48637486135936936
13l_R,-0.7108196401542416
OFC_R,-0.6780006259172136
47s_R,-1.0663542062640778
LIPd_R,-1.508192769976508
6a_R,-1.384913733745954
i6-8_R,-1.3092241323206577
s6-8_R,-0.7838941555882535
43_R,0.805054926617981
OP4_R,2.17811800445925
OP1_R,1.0160503899549844
OP2-3_R,0.49941415246418536
52_R,2.4234913999784022
RI_R,1.0666621780040944
PFcm_R,0.8501051835682607
PoI2_R,-0.8276146420432289
TA2_R,2.266760093902208
FOP4_R,-0.1634610671760127
MI_R,-0.5728750693510389
Pir_R,-1.0866626074604202
AVI_R,-0.6022552690062595
