region,strategy
V1_L,-0.5979984118053648
MST_L,-1.1475227834374302
V6_L,0.5045090456687416
V2_L,-0.7681762855062797
V3_L,-0.41995640443722054
V4_L,-0.15011515379639065
V8_L,-0.25037537164319673
4_L,-0.978893495718918
3b_L,-1.435127607784495
FEF_L,1.9690299145696344
PEF_L,2.005216141465129
55b_L,0.8645831539173482
V3A_L,0.46566126505217864
RSC_L,-1.2862186674639153
POS2_L,1.8235082139279593
V7_L,0.935955398298568
IPS1_L,2.9702642086462374
FFC_L,-1.0149081273058878
V3B_L,0.9668674175362039
LO1_L,0.3506679546495701
LO2_L,-0.7921799421625945
PIT_L,-0.39583657742301115
MT_L,-1.3053444652767905
A1_L,-3.0918483076406686
PSL_L,-1.041966787189135
SFL_L,1.249266833663974
PCV_L,-1.34804152677377
STV_L,-1.249718463845369
7Pm_L,1.2070473131977297
7m_L,-0.33767645199991614
POS1_L,1.1959488788062385
23d_L,-2.2551157578328627
v23ab_L,0.45414537915115305
d23ab_L,-1.4742302882385725
31pv_L,-1.7012763947453793
5m_L,-1.4432084103222622
5mv_L,-1.9005123757763491
23c_L,-2.1799857066773822
5L_L,-0.07604251516008935
24dd_L,-0.3391232376971854
24dv_L,1.8580222695543407
7AL_L,-0.02701329989835278
SCEF_L,2.2079275771975437
6ma_L,0.8836824312412138
7Am_L,0.5575391482570773
7Pl_L,2.1303964843884
7PC_L,-0.04671914822825024
LIPv_L,1.7929034809022504
VIP_L,1.0380918544639244
MIP_L,1.705275804725459
1_L,-0.8630791083178472
2_L,-1.4626029680812573
3a_L,-1.4325748993987177
6d_L,0.1388578082715699
6mp_L,-0.646385188432672
6v_L,1.2766644931426308
p24pr_L,-0.3730642248808628
33pr_L,-1.3998182828768757
a24pr_L,-0.17831330086656666
p32pr_L,2.7928049355737214
a24_L,2.1309691544778318
d32_L,1.6347956511738875
8BM_L,2.394981948159249
p32_L,1.7823824228754637
10r_L,1.1261282586510788
47m_L,2.3884000421303724
8Av_L,2.271301402874182
8Ad_L,1.7054028351559742
9m_L,2.2524450167680357
8BL_L,1.3858757715644945
9p_L,1.670201599532774
10d_L,1.4946668523522662
8C_L,2.782292270551732
44_L,2.0784846437193485
45_L,1.2806455437658202
47l_L,1.6893263639591183
a47r_L,1.5026398667931462
6r_L,0.798301600610814
IFJa_L,2.509207833266459
IFJp_L,1.7748732964023946
IFSp_L,4.615963178538216
IFSa_L,1.9760931029990085
p9-46v_L,3.298588725241745
46_L,2.09012994794073
a9-46v_L,2.724704542765302
9-46d_L,2.0098724661938387
9a_L,1.371927913412552
10v_L,0.6617562607324002
a10p_L,1.3675481257429432
10pp_L,0.25654589261333516
11l_L,0.13262344700230436
13l_L,-0.834262004755583
OFC_L,-0.0417382006470815
47s_L,0.22864226722836725
LIPd_L,3.203936765486812
6a_L,2.2145847938595575
i6-8_L,2.914943224591487
s6-8_L,1.4152109288391699
43_L,-0.7337908382030593
OP4_L,-1.4165247263091523
OP1_L,-2.6927730240876553
OP2-3_L,-1.701269554149755
52_L,-2.26295126102838
RI_L,-1.379529376383854
PFcm_L,-2.07167119768807
PoI2_L,-2.079204279926666
TA2_L,-1.6889048309610277
FOP4_L,-0.13575743304893306
MI_L,-0.6257336250731479
Pir_L,-1.8156852796991396
AVI_L,1.831090040766433
AAIC_L,-0.19847682425337068
FOP1_L,-0.6264212149303495
FOP3_L,-0.7142919251712865
FOP2_L,-0.9553336711053739
PFt_L,-1.1374880355177834
AIP_L,0.39423033695145393
EC_L,-0.6682768615827721
