region,sustained attention
V1_L,0.7547441484371241
MST_L,-0.3316796461586791
V6_L,0.7355452593487551
V2_L,0.26907322515437493
V3_L,0.45362765914459824
V4_L,1.1223547221089964
V8_L,2.1400936722657358
4_L,0.11554916993336682
3b_L,0.817711836902732
FEF_L,2.0672684593232464
PEF_L,1.3766797606275578
55b_L,0.08508356006731914
V3A_L,0.3631063177662882
RSC_L,-0.8012386147420139
POS2_L,0.8711593419032779
V7_L,3.0292785045075084
IPS1_L,5.980685730115228
FFC_L,0.5312897192830084
V3B_L,2.78577167949703
LO1_L,1.3080594971182506
LO2_L,1.4415403698657865
PIT_L,1.7635752744983537
MT_L,0.46082618200003406
A1_L,-0.0910464243238537
PSL_L,-1.059150273904254
SFL_L,-1.4678038427034596
PCV_L,0.049069511341149626
STV_L,-1.4213483130535023
7Pm_L,1.78873547162106
7m_L,-1.9250896082585984
POS1_L,-1.2414378620102031
23d_L,-0.2177535105962435
v23ab_L,-1.1781915170258306
d23ab_L,-1.356620377085345
31pv_L,-1.3999702039135329
5m_L,-0.11599646326791893
5mv_L,-0.49343928323500524
23c_L,-0.504315426706954
5L_L,0.34623798438824854
24dd_L,1.993018084215251
24dv_L,3.1373361866385054
7AL_L,0.6995762776717249
SCEF_L,1.5543531094817569
6ma_L,0.056449063769573066
7Am_L,1.379214625653315
7Pl_L,3.5096167571210954
7PC_L,2.6532402176395156
LIPv_L,5.236320886414047
VIP_L,2.4085027389775258
MIP_L,5.489215631837781
1_L,1.053431653265505
2_L,3.3369516263743346
3a_L,0.204698010545714
6d_L,0.03567217543058681
6mp_L,-1.493445443025204
6v_L,1.0252029639521762
p24pr_L,1.4543278787460208
33pr_L,-0.9960333867141044
a24pr_L,-0.30249052348172095
p32pr_L,2.556512252231769
a24_L,-3.358428276354971
d32_L,-2.6585865520714798
8BM_L,-1.1318235134683228
p32_L,-3.397189253075381
10r_L,-3.3539545949053347
47m_L,-2.9395106387608627
8Av_L,-0.3080829282913426
8Ad_L,-0.40531642668601164
9m_L,-2.5002442486968657
8BL_L,-1.4519099040727366
9p_L,-1.4879731974944188
10d_L,-1.418193911289705
8C_L,0.011246418269754622
44_L,-0.27368378969243423
45_L,-1.3729507430273094
47l_L,-2.443468613090686
a47r_L,-1.518580784103894
6r_L,0.8740348421569244
IFJa_L,1.7165848668999129
IFJp_L,4.0532647927599035
IFSp_L,1.0630651479284692
IFSa_L,-0.8451706845628815
p9-46v_L,0.7123571072138832
46_L,-0.5911487014543805
a9-46v_L,-0.44278053917203186
9-46d_L,-0.9385468549491895
9a_L,-0.8241211812485828
10v_L,-2.05211419525921
a10p_L,-0.977809593667916
10pp_L,-0.7375597780324441
11l_L,-1.491906498329027
13l_L,-2.821052444210718
OFC_L,-2.4677465537174506
47s_L,-3.1705276417910473
LIPd_L,7.5199641853448735
6a_L,3.344453541472166
i6-8_L,2.257576428359601
s6-8_L,-0.4569090745919954
43_L,-0.7237331907163802
OP4_L,-0.1988167204356149
OP1_L,1.1326313866284685
OP2-3_L,-0.4665912331364956
52_L,-1.7334288776457651
RI_L,0.1258864653553459
PFcm_L,1.7411675264671422
PoI2_L,-1.362782723702879
TA2_L,-2.322113714195487
FOP4_L,-0.5426242517294994
MI_L,-0.18461425950313726
Pir_L,-3.38355304257866
AVI_L,-0.024304945565900512
AAIC_L,-2.3645886579112436
FOP1_L,-1.1408670320768168
FOP3_L,0.21363186694960637
FOP2_L,-0.19045628473887205
PFt_L,2.019410783347945
AIP_L,6.40536493712061
EC_L,-3.388925528763745
PreS_L,-2.088925090328803
H_L,-3.2764715858251963
ProS_L,-1.3527481710681928
PeEc_L,-2.8058789945347544
STGa_L,-2.536977724047986
PBelt_L,-0.41329156212404516
A5_L,-2.1747993031171156
PHA1_L,-1.9568004133671302
PHA3_L,-2.1432542179768017
STSda_L,-2.839771594731925
STSdp_L,-2.0212905430035324
STSvp_L,-2.951623176615671
TGd_L,-2.5577867703603885
TE1a_L,-2.1196874091090843
TE1p_L,-1.4109066863781652
TE2a_L,-1.4400753125432633
TF_L,-1.9823222861555991
TE2p_L,-1.3073806519461668
PHT_L,-1.3742544021263108
PH_L,0.6831395259036702
TPOJ1_L,-1.4482699673281065
TPOJ2_L,-1.2117365383855216
TPOJ3_L,0.43893626460907154
DVT_L,1.941285973615736
PGp_L,1.3684326640785116
IP2_L,7.036310267973426
IP1_L,5.176657499594686
IP0_L,4.412527899815859
PFop_L,0.7199593625313588
PF_L,1.2815148903044706
PFm_L,1.6522697526501
PGi_L,-0.7889731925210329
PGs_L,0.259690571859424
V6A_L,1.6887372581888975
VMV1_L,-0.635164743121888
VMV3_L,1.5225983173208633
PHA2_L,-2.937338151809161
V4t_L,1.34694707090962
FST_L,-0.15966044324706566
V3CD_L,1.3384052800652133
LO3_L,1.3870230600409859
VMV2_L,-0.8649368600770705
31pd_L,-2.0229061621143876
31a_L,-1.019960855590389
VVC_L,0.5751954107047778
25_L,-3.544288754288452
s32_L,-3.277626961139655
pOFC_L,-2.4246724273038387
PoI1_L,-1.6781470769743096
Ig_L,-0.8447346018988086
FOP5_L,-0.24963287194404038
p10p_L,-1.234217784432324
p47r_L,-1.2076905592614815
TGv_L,-1.7107251972867081
MBelt_L,-1.5415861540087157
LBelt_L,-0.7395198183356548
A4_L,-0.8745004721199867
STSva_L,-3.535599148540853
TE1m_L,-1.682806366255338
PI_L,-1.9505945935464815
a32pr_L,-1.052480650530359
p24_L,-3.542045306446211
V1_R,1.121438873525988
MST_R,0.20423175681278907
V6_R,1.99844261092697
V2_R,0.4999278918455892
V3_R,0.9505766353126877
V4_R,1.5055178481822378
V8_R,1.4983571965313573
4_R,-0.11169812795443548
3b_R,0.3323727054193348
FEF_R,0.5175196995927297
PEF_R,1.6428205601472148
55b_R,-0.45424624216803994
V3A_R,1.2883403065506525
RSC_R,-0.4759768022979003
POS2_R,1.8639402512774097
V7_R,4.273285484775273
IPS1_R,6.449963299251703
FFC_R,0.1449282488398748
V3B_R,4.877317749286907
LO1_R,1.7401537358776882
LO2_R,0.6702505128739511
PIT_R,0.7247116164123067
MT_R,-0.5496167927053613
A1_R,0.18502997990061468
PSL_R,0.05566544549288046
SFL_R,-1.6201539643552412
PCV_R,-0.33298065324100884
STV_R,-0.8708124962514847
7Pm_R,4.1352076664666635
7m_R,-1.7977444488662806
POS1_R,-0.9682251080135675
