region,task difficulty
V1_L,-0.04730011063931065
MST_L,-0.4594682405045961
V6_L,-0.1736022373711187
V2_L,-0.13169298826730375
V3_L,-0.031092231032529453
V4_L,0.3220531971053344
V8_L,1.7311150772271076
4_L,0.23800644384910272
3b_L,0.48366080604080364
FEF_L,2.1541666620139304
PEF_L,2.6113725728678396
55b_L,0.7914124810855147
V3A_L,-0.5821154607482439
RSC_L,-0.4139185450197298
POS2_L,0.4233818720897332
V7_L,0.5581223969370817
IPS1_L,3.4123708207690124
FFC_L,0.8409888821397994
V3B_L,0.4555035640815669
LO1_L,-0.017864197652784377
LO2_L,0.11020738990961255
PIT_L,0.867136782764188
MT_L,0.4661629819075865
A1_L,-1.678793034062499
PSL_L,-1.0730407880322788
SFL_L,-0.632309852788709
PCV_L,-0.6614850480982736
STV_L,-0.4894827602993942
7Pm_L,0.9238500451838965
7m_L,-0.6596114837964124
POS1_L,-0.22285590621130494
23d_L,0.26273793622966185
v23ab_L,0.054943389389566846
d23ab_L,-0.22662268696992868
31pv_L,-0.25812865097493864
5m_L,-1.1393655864910268
5mv_L,-1.440786618350254
23c_L,-0.8111491054156199
5L_L,-1.0419378222176607
24dd_L,2.7275163664420594
24dv_L,4.436416899530436
7AL_L,-1.316921186636384
SCEF_L,3.635910527137604
6ma_L,0.35494516846580815
7Am_L,-0.6222317957454369
7Pl_L,2.046710285623464
7PC_L,0.4844519739616363
LIPv_L,1.688158282224856
VIP_L,0.15835266866746692
MIP_L,3.1125177963629276
1_L,0.053398989895950794
2_L,0.7431477751355178
3a_L,0.12937582339501885
6d_L,0.08211982902831678
6mp_L,-0.8635099583422976
6v_L,1.1990239194831467
p24pr_L,2.1943481318100155
33pr_L,0.08334988750789439
a24pr_L,1.1021931404508418
p32pr_L,4.469936150188266
a24_L,-1.856525972425436
d32_L,-1.4183623128696232
8BM_L,0.43578361364435564
p32_L,-1.9851670076774155
10r_L,-2.0174935911260836
47m_L,-1.4432508735182146
8Av_L,0.03815247231738122
8Ad_L,0.09596051667113199
9m_L,-1.002077901225081
8BL_L,-1.0896952170590117
9p_L,-0.2143105234735275
10d_L,-0.8660735932285879
8C_L,1.3368948197570927
44_L,1.2657028653312528
45_L,0.29258006915590995
47l_L,-0.6485382335756824
a47r_L,-0.8417486914266304
6r_L,1.607890436427594
IFJa_L,3.2138682056116368
IFJp_L,5.3407323013061365
IFSp_L,2.6906835385945556
IFSa_L,0.47756514016194795
p9-46v_L,1.723416044012596
46_L,0.20509745298119178
a9-46v_L,0.22399359688859627
9-46d_L,0.05558530708010215
9a_L,0.40592154412758386
10v_L,-1.3651489678613178
a10p_L,-0.33992851681660496
10pp_L,-0.31074560231910836
11l_L,-1.0863297577753346
13l_L,-2.2400236023097246
OFC_L,-2.0889614802819714
47s_L,-1.7540518453066
LIPd_L,5.451409724918354
6a_L,3.3283929480725596
i6-8_L,3.0618633800580284
s6-8_L,-0.40188326808663793
43_L,-0.9515661476252657
OP4_L,-1.3962646136017909
OP1_L,-1.4456318308285532
OP2-3_L,-1.5477059136801752
52_L,-1.343664513317935
RI_L,-0.5507937734898134
PFcm_L,-0.9526588175536683
PoI2_L,-1.9769546906425894
TA2_L,-0.9222366385535816
FOP4_L,0.3896826757445608
MI_L,0.2715684289524089
Pir_L,-2.0734525026503117
AVI_L,1.246622813475364
AAIC_L,-0.6940742792183195
FOP1_L,-1.0294866112911907
FOP3_L,-0.5703079814825968
FOP2_L,-0.80937808243097
PFt_L,-0.6177223049399113
AIP_L,3.7363227639010685
EC_L,-1.6936308140506184
PreS_L,-0.8450800622521989
H_L,-1.413632423784878
