region,visual attention
V1_L,6.628025573756896
MST_L,4.770963800264364
V6_L,1.7065811430293225
V2_L,3.874108368960734
V3_L,3.784493007623086
V4_L,5.971614390162854
V8_L,6.563083102140487
4_L,-1.006383823441245
3b_L,-0.9926597257241027
FEF_L,0.07763629982314021
PEF_L,-0.5989463317100088
55b_L,-0.3871214776222667
V3A_L,2.7296452138399574
RSC_L,-0.32328522179631336
POS2_L,-0.005305570598645563
V7_L,5.306970061039062
IPS1_L,4.979267051665332
FFC_L,6.3571620746684685
V3B_L,8.13483607072835
LO1_L,5.667544307004823
LO2_L,7.103502625815048
PIT_L,7.576006917665083
MT_L,5.419500636789038
A1_L,-2.589100720116033
PSL_L,-0.9516357124227843
SFL_L,-1.5070074134779938
PCV_L,-0.607158716959317
STV_L,-1.1138018014434392
7Pm_L,0.5817790738415253
7m_L,-1.3615915514102235
POS1_L,-0.4556408576959169
23d_L,-1.3584437703127696
v23ab_L,-1.498926184151339
d23ab_L,-1.7593075124482802
31pv_L,-1.4142170564329748
5m_L,-1.1236464681733953
5mv_L,-0.6007923087740842
23c_L,-0.3306405280603967
5L_L,-0.3270023502418064
24dd_L,-0.11788815541909738
24dv_L,-0.4747573964079656
7AL_L,0.35139460573975884
SCEF_L,-1.2579201362302945
6ma_L,-0.8562661552879043
7Am_L,0.40097568738902317
7Pl_L,1.579031442255097
7PC_L,0.5781887602606591
LIPv_L,3.081026413099011
VIP_L,2.745677167176065
MIP_L,3.387303757622306
1_L,-0.44092538047486785
2_L,-0.10692431125161224
3a_L,-1.2320197345571329
6d_L,-0.652960837152313
6mp_L,-1.2445711613471782
6v_L,-0.7328606175072095
p24pr_L,-0.8282778409133678
33pr_L,-1.225746261031311
a24pr_L,-1.8636560166958018
p32pr_L,-1.0583205800344675
a24_L,-1.8313407552882808
d32_L,-1.787306284439403
8BM_L,-2.059955838125148
p32_L,-1.6477814339769814
10r_L,-0.8367047146400801
47m_L,-1.0558487206751785
8Av_L,-1.0555550598675927
8Ad_L,-1.462630995419003
9m_L,-1.8973541021434985
8BL_L,-1.2667268280775257
9p_L,-1.6760468478727448
10d_L,-0.8186118370805433
8C_L,-1.843700948618032
44_L,-1.6725180405956552
45_L,-1.5147116121686075
47l_L,-2.341371527865991
a47r_L,-0.8665877732143528
6r_L,-1.391059961361715
IFJa_L,-0.3334598207731268
IFJp_L,0.4618493231654621
IFSp_L,-1.2045562971405968
IFSa_L,-0.8830859905656074
p9-46v_L,-1.2600874738773644
46_L,-1.5505990003361543
a9-46v_L,-1.0388932024657707
9-46d_L,-1.4566793269122853
9a_L,-0.85975686036131
10v_L,-0.4481763163747988
a10p_L,-0.9117546087800517
10pp_L,-0.4979953558557771
11l_L,-0.5916213851099108
13l_L,-0.7420249634785803
OFC_L,-0.8802702975529927
47s_L,-1.6481304835252106
LIPd_L,1.7185978087272276
6a_L,0.379807148141658
i6-8_L,-0.5971868711619263
s6-8_L,-1.2102741537640052
43_L,-2.24728536576398
OP4_L,-1.9609475150015747
OP1_L,-2.415232828209936
OP2-3_L,-0.7342047815359448
52_L,-1.3357098236264275
RI_L,-1.0058444615261513
PFcm_L,-2.1121500703669973
PoI2_L,-1.3098514751660033
TA2_L,-2.5689689108297604
FOP4_L,-1.579880302975656
MI_L,-1.7190101342039135
Pir_L,-1.8772705294539667
AVI_L,-1.0014159800364444
AAIC_L,-2.4985508274326946
FOP1_L,-2.47394160388053
FOP3_L,-1.1311579172773247
FOP2_L,-1.5712566617345451
PFt_L,-0.9912413752278947
AIP_L,0.9965653703933569
EC_L,-1.268315997804752
PreS_L,-0.7998945164417763
H_L,-0.9205792047623618
ProS_L,0.11314446108133737
PeEc_L,-0.6690334263560912
STGa_L,-1.5680853357445919
PBelt_L,-3.09675966864169
A5_L,-2.285597759601861
PHA1_L,-0.4745731811565356
PHA3_L,0.7407081990559163
STSda_L,-2.416488780112509
STSdp_L,-2.0677705488900324
STSvp_L,-1.7053106670052631
TGd_L,-1.2393560739560923
TE1a_L,-1.308863760518453
TE1p_L,0.13102047212026968
TE2a_L,-0.37783056985999486
TF_L,-0.1965676994229807
TE2p_L,1.4080981741452363
PHT_L,0.40263663859742405
PH_L,6.800728716541406
TPOJ1_L,-1.160807775838604
TPOJ2_L,-0.5514886724460037
TPOJ3_L,0.13245180068090395
DVT_L,1.898783446034518
PGp_L,3.3961906376688265
IP2_L,0.3376767615632101
IP1_L,2.423838102106272
IP0_L,6.444834159644344
PFop_L,-1.0418106396649238
PF_L,-0.4772399612285737
PFm_L,-0.5795570387358242
PGi_L,-1.405809071090781
PGs_L,0.005036424340422349
V6A_L,2.1269512024039114
VMV1_L,1.7069763951420305
VMV3_L,5.006294930339197
PHA2_L,-0.6527185677652951
V4t_L,7.073589507111157
FST_L,7.13766622691643
V3CD_L,7.157145954573786
LO3_L,2.364671229275056
VMV2_L,1.3929625418633778
31pd_L,-1.3976268154240188
31a_L,-1.5100742644166452
VVC_L,4.5059989208771425
25_L,-1.701663594602734
s32_L,-0.9531970955073176
pOFC_L,-1.449892060454033
PoI1_L,-0.7341558942517463
Ig_L,-0.6096404631616618
FOP5_L,-0.843941992078319
p10p_L,-0.9217332294095236
p47r_L,-1.1035772620744553
TGv_L,-0.7822527667158435
MBelt_L,-2.2058048400377026
LBelt_L,-2.63012346666889
A4_L,-2.024557579349497
STSva_L,-2.2996214585773433
TE1m_L,-0.38827729743677125
PI_L,-1.952005100569093
a32pr_L,-1.917302804792211
p24_L,-2.476477339482027
V1_R,6.204789496604545
MST_R,3.8652022190963953
V6_R,4.938842455700757
V2_R,4.44391940355114
V3_R,4.935816643225183
V4_R,7.5664881034577185
V8_R,7.943885496142552
4_R,-0.5759649858131671
3b_R,-0.6312784854296747
FEF_R,-0.09419396610367112
PEF_R,1.1807190387720454
55b_R,-0.16762807437916002
V3A_R,4.261992260068886
RSC_R,-0.7179665491308562
POS2_R,1.1974887387184054
V7_R,6.56401613507008
IPS1_R,4.732524888852484
FFC_R,4.252087406047072
V3B_R,7.25993355861904
LO1_R,7.5111517940785735
LO2_R,7.243765481382656
PIT_R,6.9988267524898875
MT_R,3.1127787183750795
A1_R,-2.197922072171976
PSL_R,-0.8429135314903704
SFL_R,-1.1538572247660708
PCV_R,-0.003263826447970954
STV_R,-1.4622138743650461
7Pm_R,2.6215254054429975
7m_R,-1.4569446157022774
POS1_R,0.08520791359860856
23d_R,-1.2967926756073511
v23ab_R,-0.7137296455535772
d23ab_R,-1.7983882754032605
31pv_R,-1.275083549547373
5m_R,-0.8778429089948429
5mv_R,0.10592715169034501
23c_R,-0.2844486537319277
5L_R,-0.41566811471999116
24dd_R,-0.3025637536989062
24dv_R,-0.8091816613545585
7AL_R,1.1624173909013271
SCEF_R,-1.3788817021356166
