region,visual perception
V1_L,6.735563903800583
MST_L,4.899608589135846
V6_L,1.648505732306616
V2_L,3.9484321113094563
V3_L,3.8510503220126084
V4_L,6.0583325239935135
V8_L,6.668244432779868
4_L,-1.003372930977687
3b_L,-0.9822291498152126
FEF_L,-0.038000371390703676
PEF_L,-0.6860968356177165
55b_L,-0.407432896961152
V3A_L,2.772923782327977
RSC_L,-0.335242867859367
POS2_L,-0.11659380889130026
V7_L,5.2293132094462855
IPS1_L,4.675772275061807
FFC_L,6.482736023867029
V3B_L,8.137439147893575
LO1_L,5.738127629758603
LO2_L,7.202662427592844
PIT_L,7.682254413485761
MT_L,5.556373170855458
A1_L,-2.6232067236395036
PSL_L,-0.9416110856206137
SFL_L,-1.5307322360138722
PCV_L,-0.6522620689731295
STV_L,-1.0954660599042343
7Pm_L,0.44111851774284444
7m_L,-1.450969097185008
POS1_L,-0.4995544410159061
23d_L,-1.3535814420977368
v23ab_L,-1.7203848047777703
d23ab_L,-1.8436657827043532
31pv_L,-1.4993021698522264
5m_L,-1.0659316319602796
5mv_L,-0.560039944526461
23c_L,-0.2991322490646332
5L_L,-0.32733317240813714
24dd_L,-0.1627943260596617
24dv_L,-0.5625475764101716
7AL_L,0.3167963333024458
SCEF_L,-1.3680286484521815
6ma_L,-0.8889362799957051
7Am_L,0.2977971284249305
7Pl_L,1.406421900843848
7PC_L,0.4603015200896636
LIPv_L,2.720918911177839
VIP_L,2.5812762356471515
MIP_L,3.020406594934487
1_L,-0.4212076400351484
2_L,-0.12246518721449814
3a_L,-1.2373713012403276
6d_L,-0.650500266782551
6mp_L,-1.2054887963459615
6v_L,-0.8051027393297412
p24pr_L,-0.8262759646747913
33pr_L,-1.1715255741715398
a24pr_L,-1.8728440899656054
p32pr_L,-1.180692007009228
a24_L,-1.823223942815371
d32_L,-1.8071516540590538
8BM_L,-2.1290696733740204
p32_L,-1.6363539348238578
10r_L,-0.809470884475366
47m_L,-1.0004870533962753
8Av_L,-1.0930370731096255
8Ad_L,-1.5567088960489568
9m_L,-1.9148378447242471
8BL_L,-1.3168281170271792
9p_L,-1.6885203610863422
10d_L,-0.8441638345633828
8C_L,-1.9242804708416326
44_L,-1.7546966489999913
45_L,-1.4990149529505934
47l_L,-2.318769974186832
a47r_L,-0.8406192391880464
6r_L,-1.5272255618250756
IFJa_L,-0.4520290757115765
IFJp_L,0.2706376895272574
IFSp_L,-1.3116551725428673
IFSa_L,-0.9040337983912453
p9-46v_L,-1.3298055636063026
46_L,-1.5818360551817765
a9-46v_L,-1.0722920079041613
9-46d_L,-1.4695911326579878
9a_L,-0.847370742321731
10v_L,-0.42501201227988394
a10p_L,-0.9103897562081587
10pp_L,-0.4846977848822481
11l_L,-0.5340173916372957
13l_L,-0.6744497916248892
OFC_L,-0.8192483054059168
47s_L,-1.5640147485531062
LIPd_L,1.2393838339127403
6a_L,0.20223212343800415
i6-8_L,-0.7437891320545064
s6-8_L,-1.2635601860459433
43_L,-2.2691968933280715
OP4_L,-1.950148980524148
OP1_L,-2.39442909612494
OP2-3_L,-0.6955383809931329
52_L,-1.2953664656798687
RI_L,-1.0284365733768837
PFcm_L,-2.1366099370689584
PoI2_L,-1.2273781136110171
TA2_L,-2.4731668555825443
FOP4_L,-1.6183494586701905
MI_L,-1.755761402563513
Pir_L,-1.7054227947115246
AVI_L,-1.083234327722052
AAIC_L,-2.4445267888639868
FOP1_L,-2.4744900413109474
FOP3_L,-1.1573373406229195
FOP2_L,-1.5765497422907573
PFt_L,-1.0142417719307613
AIP_L,0.6799541913024133
EC_L,-1.099585787171081
PreS_L,-0.7042686714250744
H_L,-0.777218735925935
ProS_L,0.19260655872443866
PeEc_L,-0.5010603346656659
STGa_L,-1.4492325490404145
PBelt_L,-3.1540698198905703
A5_L,-2.237746066138696
PHA1_L,-0.3667216942289838
PHA3_L,0.8857662490105105
STSda_L,-2.294747105241723
STSdp_L,-2.0495699040184188
STSvp_L,-1.616976834769073
TGd_L,-1.1153673256498982
TE1a_L,-1.2302183880365023
TE1p_L,0.2013088431934844
TE2a_L,-0.3531175268378193
TF_L,-0.07035852247166939
TE2p_L,1.5012883620531297
PHT_L,0.4941289522622409
PH_L,6.924115856011573
TPOJ1_L,-1.1364172917438138
TPOJ2_L,-0.4824855464481166
TPOJ3_L,0.08977605864177586
DVT_L,1.78593311905312
PGp_L,3.375996607617804
IP2_L,-0.12473712500055252
IP1_L,2.063090458999702
IP0_L,6.3052957732528245
PFop_L,-1.0169623721374355
PF_L,-0.5231522989798292
PFm_L,-0.7287143431907817
PGi_L,-1.515526673225327
PGs_L,-0.11675623868682686
V6A_L,2.055895248344267
VMV1_L,1.8386278707377293
VMV3_L,5.128555433888867
PHA2_L,-0.510787820887179
V4t_L,7.1879547588249295
FST_L,7.31936238234133
V3CD_L,7.241442839899384
LO3_L,2.407695216965795
VMV2_L,1.5482717266092623
31pd_L,-1.5018895768484204
31a_L,-1.5424161516419819
VVC_L,4.636139933438155
25_L,-1.6485270888417414
s32_L,-0.9232184354039433
pOFC_L,-1.3854193373365282
PoI1_L,-0.6478713633162433
Ig_L,-0.5647634233582776
FOP5_L,-0.9172253329483716
p10p_L,-0.9297907372140428
p47r_L,-1.1263416693011992
TGv_L,-0.6930095289485191
MBelt_L,-2.1747792182695327
LBelt_L,-2.7055114380064533
A4_L,-2.0101516431131747
STSva_L,-2.1848920723637244
TE1m_L,-0.36494824978425056
PI_L,-1.8120633867290366
a32pr_L,-1.9414991520574627
p24_L,-2.4158730872172494
V1_R,6.3003626132233945
MST_R,3.924990647931238
V6_R,4.8907670800595
V2_R,4.519471499689101
V3_R,4.993065695904086
V4_R,7.663942795640453
V8_R,8.121732878587087
4_R,-0.5583510285910672
3b_R,-0.6231443129183216
FEF_R,-0.16404902365396518
PEF_R,1.1122001345362131
55b_R,-0.18313891155997558
V3A_R,4.244458799994963
RSC_R,-0.7187394532244529
POS2_R,1.0342350202872714
V7_R,6.374673266155977
IPS1_R,4.4252695755592875
FFC_R,4.412609860846736
V3B_R,7.175292649567689
LO1_R,7.608792005046869
LO2_R,7.40833956234185
PIT_R,7.153359979842671
MT_R,3.1732085432780237
A1_R,-2.2634514361809095
PSL_R,-0.8288090285256231
SFL_R,-1.1207573627756928
PCV_R,-0.036021542715458855
STV_R,-1.4615383420750268
7Pm_R,2.414954720510083
7m_R,-1.554730117696749
POS1_R,0.07056612430541022
23d_R,-1.2949058559073368
v23ab_R,-0.8344111130783755
d23ab_R,-1.882848964125881
31pv_R,-1.3276653445907316
5m_R,-0.8256625828591989
5mv_R,0.11807205306014354
23c_R,-0.2890532880516045
5L_R,-0.41427923357836605
24dd_R,-0.3053858701471215
24dv_R,-0.8969818865843424
7AL_R,1.0996121690114742
SCEF_R,-1.4324450418400554
6ma_R,-0.8993771067752745
7Am_R,2.1431121817684082
7Pl_R,2.717704141719842
7PC_R,1.1473042280530308
LIPv_R,3.150941645935009
VIP_R,3.111629753688309
MIP_R,3.755695608073732
1_R,-0.4764129636528721
2_R,-0.4596621380769903
3a_R,-1.171488920826166
6d_R,-1.0158985860152279
6mp_R,-0.6969674885026208
6v_R,0.38434298205600115
p24pr_R,-0.6056548501283179
33pr_R,-1.658227287439033
a24pr_R,-2.1824707662739535
p32pr_R,-1.4089538017914596
a24_R,-1.9626805470718574
d32_R,-1.9502670638770605
8BM_R,-1.7281286135656753
p32_R,-2.4399448145757914
10r_R,-2.054892928475233
47m_R,-1.5626847640029444
8Av_R,-0.6835216563482994
8Ad_R,-1.0348448043433862
9m_R,-1.5338782718277608
8BL_R,-1.121255334263
9p_R,-1.2148848964404924
10d_R,-0.004098513368243503
8C_R,-0.9515090723271725
44_R,-1.9063432694065894
45_R,-1.9828011924659013
47l_R,-1.3953984453126191
a47r_R,-1.481157664887701
6r_R,-0.8354602642777001
IFJa_R,-1.1638151283160194
IFJp_R,-0.5802971848675845
IFSp_R,-0.9452798705763271
IFSa_R,-0.97960279784072
p9-46v_R,-0.9073294144078273
46_R,-0.7757958737634953
a9-46v_R,-0.7530916329245617
9-46d_R,-1.1924739027107774
9a_R,-1.0922597709373882
10v_R,-0.6197437420679556
a10p_R,-0.7376185222902794
10pp_R,-0.5916402577954206
11l_R,-1.4463467803572148
13l_R,-1.352818262948538
OFC_R,-0.4908599449354091
47s_R,-2.1086753469486457
LIPd_R,1.5265955452558444
6a_R,0.9520428824052355
i6-8_R,-0.2928721046601904
s6-8_R,-1.2251736604560985
43_R,-1.4232399747345172
OP4_R,-2.170087872202472
OP1_R,-1.3823512846213692
OP2-3_R,-0.7876510899359149
52_R,-1.7110067419140962
RI_R,-0.9769644154647338
PFcm_R,-1.017975929365557
PoI2_R,-1.332343542805376
TA2_R,-2.0496071912273126
FOP4_R,-1.185962914733223
MI_R,-0.8442426378436736
Pir_R,-1.9177098480594754
AVI_R,-1.030432336674746
AAIC_R,-2.175374481641571
FOP1_R,-0.669876584313632
FOP3_R,-0.5924815831291347
FOP2_R,-0.0830568957163881
PFt_R,-0.14405822864546997
AIP_R,1.1295449720881046
EC_R,-1.138957466715778
PreS_R,-1.4523638554930962
H_R,-1.0882714717721573
ProS_R,-0.21274313612176635
PeEc_R,-0.5116981609725644
STGa_R,-1.725730471283396
PBelt_R,-2.7666080789838174
A5_R,-2.398950857517466
PHA1_R,-0.889459300617353
PHA3_R,0.63753072631078
STSda_R,-2.171647986660736
STSdp_R,-1.910623661682089
STSvp_R,-1.7103409919104868
TGd_R,-1.1534769310628636
TE1a_R,-1.443532701039791
TE1p_R,-0.31924833463429797
TE2a_R,-0.6793956632483942
TF_R,-0.030941756573611257
TE2p_R,1.7861316497813318
PHT_R,0.30197432554489667
PH_R,6.795849775000561
TPOJ1_R,-0.8475653866700656
TPOJ2_R,0.29716377072024586
TPOJ3_R,-1.3728788379048102
DVT_R,2.507901373718286
PGp_R,0.4960900880590207
IP2_R,-0.13528632096675486
IP1_R,0.6120255233347873
IP0_R,5.246653638208685
PFop_R,-1.653372047684944
PF_R,0.30880338099411353
PFm_R,-0.4729204997010118
PGi_R,-1.4507624663094787
PGs_R,-0.6639224891649
V6A_R,2.0073676507674123
VMV1_R,2.445369779394965
VMV3_R,5.52921318335713
PHA2_R,-0.2260209851946338
V4t_R,8.752857514865028
FST_R,4.743614045428989
V3CD_R,6.4901051490056725
LO3_R,1.6486570736253876
VMV2_R,2.5485792092301107
31pd_R,-0.2242029528021618
31a_R,-0.5212993072723894
VVC_R,3.2733191441826563
25_R,-1.8622715373765133
s32_R,-1.0844415355173886
pOFC_R,-1.8075582854250614
PoI1_R,-1.559813853811253
Ig_R,-0.5292273914237517
FOP5_R,-0.693532455755274
p10p_R,-1.1423848482973897
p47r_R,-1.3330925473159958
TGv_R,-0.5926197287351916
MBelt_R,-2.5043313692696665
LBelt_R,-2.2549627456275587
A4_R,-1.9989946975033848
STSva_R,-1.592194087548238
TE1m_R,-0.93493925368354
PI_R,-2.247744969582193
a32pr_R,-2.139439362267772
p24_R,-2.541898416661142
